start	end	text
2010	4512	You're listening to Orange Lounge Radio.
5132	7974	Our live talk program begins now.
19602	29529	Orange Lounge Radio may contain sexual and adult content and many instances of the F-word, which is not safe for children.
43928	44628	Goddamn, you.
44848	46509	Stop calling here.
46689	48430	Isn't it 4215, Pussy Wayne?
48830	49550	You bitch!
49590	51151	Now let me check the zip code.
51171	52591	212, fuck you!
52611	54092	You have no morals, darling.
54172	58533	I'd also like to add that I have my father's gun and the scorching case of herpes.
59254	61595	Kiss my grip, nooch.
61615	63956	Mecca lecca hi, mecca hi-dee-ho.
64056	66176	Oh my god, I hate throwing up in public.
66396	67397	Me too!
67497	68277	Fucker, yeah?
68457	70078	I'm working on it.
70158	70578	Loser.
70738	71278	Lame!
72279	73179	On the side of my face.
74187	86203	Breathing, breath, heaving breath, heaving whatever Now you all just sit there and keep your mouths shut While I go listen to my Britney Spears records I am your singing telegram
90473	98499	Somewhere inside the state of California, in the great nation of the United States of America, on the planet Earth, Orange Lounge Radio is now on the air.
98839	102661	You're tuned in to the Bomani Scene's newest and greatest radio station of all things Bomani.
102982	104983	My name is Rob Roberts, but you might know me as Sky.
105523	109126	Joining me as always is my lovely co-host, Jamie Summers, also known as DarkSakura.
110207	110687	Welcome back!
111347	113089	Yeah, I'm back, and I'm sad.
114777	116759	I am 100% glad to be back.
116879	118580	The trip was interesting to say the least.
118920	121482	And we'll definitely get into that a little bit more later, right Jamie?
121682	122043	Oh yes!
122263	122563	Alright.
123343	127467	So this is episode number 4 for July the 14th of 2002.
127607	130148	We are joined in studio once again by many, many, many guests.
130229	135973	We've got Matt, Dave, and Paul's here in the house.
136653	136853	And, um...
138208	142131	We'll be talking to all of them a little bit more later, but first we're going to take a real quick break.
142591	143992	Any other opening thoughts from you?
144472	145813	Did you say I get to break stuff?
146173	146794	Sure, if you want.
146954	148035	Just not anything I own.
148115	149175	You can break my roommate's stuff, though.
149195	149696	He's on vacation.
149776	150416	Oh, cool.
