start	end	text
2572	5054	You're listening to Orange Lounge Radio.
5675	8517	Our live talk program begins now.
20027	29956	Orange Lounge Radio may contain sexual and adult content and many instances of the F-word, which is not safe for children.
44355	46436	God damn you, stop calling here.
46616	49378	Isn't it 4215, pussy wave?
49418	49998	You bitch!
50018	51979	Now let me check the zip code.
51999	53020	212, fuck you!
53040	54501	You have no morals, darling.
54581	58963	I'd also like to add that I have my father's gun and the scorching case of herpes.
59664	61305	Kiss my great news.
62025	64367	Mecca lecca hi, mecca hidey ho.
64467	66748	Oh my god, I hate throwing up in public.
66788	67929	Me too!
68189	68669	Fucker, yeah?
68869	69850	I'm working on it.
70570	70970	Loser.
71151	71691	Lame!
72691	73612	I'm the size of my face.
74580	79083	Breathing, breath, heaving breath, heaving whatever.
79383	85167	Now you all just sit there and keep your mouths shut while I go listen to my Britney Spears records.
85607	87549	I am your singing telegram.
91673	98759	Somewhere inside the state of California, in the great nation of the United States of America, on the planet Earth, Orange Lounge Radio is now on the air.
99299	103542	You're tuned into the Bomani Scene's newest and greatest radio station of all things Bomani.
103602	105704	My name is Rob Roberts, but you might know me as Sky.
106365	109927	Joining me as always is my lovely co-host, Jamie Summers, also known as DarkSakura.
111068	114550	This is episode number seven for August 4th of 2002.
115251	120334	We are joined in studio once again by a whole buffet of guests, including two special out-of-towners tonight.
120374	122015	Say hello, everybody, to Jazz.
123315	123756	Hi.
124916	125777	And DDR Mike.
126918	128438	Hey, you fucking assholes.
129779	132501	Ooh, he's exercising his internet radio rights there.
134482	138064	And, of course, we're always joined by a bunch of our usual in-studio friends.
138124	139145	Say hello to Matt.
139165	139325	Matt.
140719	143581	Dave, and in the corner, Bradley.
144441	146523	You've got to be loud for once.
146763	147523	Get picked up there.
150606	156110	We'll be talking to everybody a little bit more later, but first we're going to take a quick break and playing some requests that we've had the past few weeks.
157250	159632	Any other opening thoughts from Miss Sakura?
161053	164295	I don't have a specific thought.
164435	166117	And we'll get to why in a little bit later.
166757	169239	But first up, a pretty quick break.
201383	202825	Thank you for watching!
443038	444659	Hi, this is Mel B of RTF.
444979	449900	And for an extra $1.99 a minute, my girlfriend Mel B can join us on all the fun together.
450581	456703	But hey, if you're a broke ass like I am, why don't you come to one place that costs absolutely nothing to go to and still the fun is just as great.
457023	458923	It's Orange Lounge Radio, Sunday nights.
459504	463945	Kick it with me and you just might realize the best things in life are free.
467486	469347	Hi, this is Mel B of R... Hi, this is...
472411	473752	Attention, attention!
474673	476294	Come on everybody, let's go!
476474	477434	Hop to it!
477534	480676	One, two, let's go!
480796	481177	Come on!
