start	end	text
1728	4249	You're listening to Orange Lounge Radio.
4889	19396	Our live talk program begins now.
19476	29481	Orange Lounge Radio may contain sexual and adult content and many instances of the F-word, which is not safe for children.
44042	46143	God damn you, stop calling here!
46323	47363	Isn't it 4215, pussywaves?
47403	48063	You bitch!
48424	52765	Now let me check this, it goes 212, fuck you!
52805	54446	You have no morals, darling.
54566	59428	I'd also like to add that I have my father's gun and the scorching kiss of purpose.
59468	61829	Kiss my great nooch.
61869	64209	Mecca lecca hi, mecca hi-dee-ho.
64349	66630	Oh my god, I hate throwing up in public.
66690	68051	Me too!
68091	68591	Fucker, yeah?
68791	69912	I'm working on it.
70512	70932	Loser.
71072	71632	Lame!
71812	73633	I'm the kind of my face...
74548	79112	Breathing breath, heaving breath, heaving whatever.
79152	85257	Now you all just sit there and keep your mouths shut while I go listen to my Britney Spears records.
85677	90741	I am your singing telegram.
90801	95886	Live, but not really, from Roseville Golf Land here.
96326	98288	This is Orange Lounge Radio.
98308	101170	This is a special edition of Orange Lounge Radio, I should say.
101270	102811	It's so special it rides the short bus.
103772	105093	It's episode number 10.5.
105193	107254	We're calling it 10 and a half.
107374	109195	Episode 10 and a half of Orange Lounge Radio.
109275	111096	Because this isn't Sunday, but we're fooling you.
111116	115418	This is our special Labor Day edition of Orange Lounge Radio.
115458	117740	Because we refuse to labor the day before Labor Day.
119207	121228	Yes, Jamie and I are going to be taking the weekend off.
121288	125729	So as you're listening to this right now, Jamie and I are off somewhere vacationing.
125749	127109	I don't want to know what you're off doing.
128470	129210	Somewhere sunny.
129250	131030	Since I know who you'll be with.
131330	138532	Well, actually, at the point that you're listening to this probably Sunday night at 7 o'clock, I'm probably going to be in Sunnyvale, actually.
138912	140753	So I might be getting interviews and things like that.
141313	144534	I wish I could, but I'm spending all weekend and, you know.
145194	146035	I'll just make Dan take me.
146175	147055	It's a private getaway.
147075	148396	Well, you should make Dan take you.
148576	150017	Now, Dan's going to be here tonight, correct?
150177	150617	Somewhere.
150677	152498	We're going to have to get an interview with him at some point.
152659	153159	Oh, God.
154320	164966	For those who are uninformed, Dan is my significant other, also known as the great and terrible DanmanX, also known as GunstarHero for people who have seen me mention that.
165146	165446	Right on.
165746	166207	So, yes.
166787	168389	Also known as Big Hater of Bimani.
168869	170331	He is not a Big Hater of Bimani.
170371	175016	He's the one who got all, you know, who, like, you know, creamed his pants when he played Guitar Freaks.
175877	176317	There you go.
176357	177378	Guitar Freaks is where it's at.
177759	178379	Visual.
