start	end	text
8724	9565	It's a videotape!
9966	10366	Put it in!
10406	10847	Put it in!
16172	19415	You're tuned in to Orange Lounge Radio.
19576	24160	Our live talk program begins now.
24200	25061	Boring!
29346	31148	This video sucks!
34734	38078	Orange Lounge may contain adult content.
38678	41361	Orange Lounge may contain nudity.
41942	45285	Orange Lounge may contain many four-letter words.
45706	48929	Hide Orange Lounge radio from the fucking children.
49710	52453	The last Metroid is in captivity.
53594	55656	The galaxy is at peace.
68692	71994	I guess there's just two kinds of people, Miss Sandstone.
72435	75277	My kind of people and assholes.
75957	76377	One.
78159	78679	One.
80000	80680	He's good.
81141	82702	Missed it by that much.
83042	84463	That's Dr. Evil's cat.
84803	85444	How can you tell?
85684	86885	I never forget a pussy.
87760	89802	I would like, if I may, to take you on a strange journey.
114212	116153	DarkSakura I hate nature!
116393	117753	I just wish the world would explode!
117913	119134	And then I could take over hell!
119254	121434	Sky Do I look like the weather girl?
121614	122395	Everything alright?
122435	123955	Yep, two corpses, everything's fine.
124255	130938	Orange Lounge Radio We are live and this is episode number 15 for October the 6th of 2002.
132438	136982	You're tuned into the Bimani Sing's most super-duper radio station of all things Bimani.
137382	139284	My name is Rob Roberts, but you might know me as Sky.
139784	141666	Joining me as always is our resident Happy Bunny.
141746	144729	Everyone, please say hello to Jamie Summers, also known as DarkSakura.
145129	146050	Hi.
147411	148492	You sound so weak tonight.
148532	149313	You sound weakened.
149573	150674	Hi!
151214	152916	DarkSakura needs food badly.
153336	154357	I had cupcakes.
154377	155458	That's my crack.
155738	156799	Now I have vanilla crack.
157099	157820	I've had nothing.
157840	158681	Did you have a ho-ho?
160347	161788	I don't need no ho, thank you.
161808	163089	What are you calling a ho-ho?
163109	169172	I can lay for free.
169632	171053	I can already tell it's going to be one of those nights.
172073	173834	Small, intimate little gathering tonight.
173914	176256	We've got our loyals here.
176276	178617	We've got Loki, who I don't think has missed a show yet.
179147	179887	No, I have not.
179907	180747	You're so cool.
181788	184949	And Loki, by the way, knows how to kiss some host ass.
185069	186569	We'll get into that later in the show.
186949	190770	How Loki won some major brownie points with Jamie and I tonight.
190990	195191	And of course, there's the always running into the last second he possibly can.
195271	196992	Dave, how you doing?
197072	197552	It's not my fault.
197572	203674	I wanted to go earlier, but my dad's like, hell no, I'm watching football game.
203834	204834	Damn, that's a soft drone.
204854	205194	Damn it.
205734	206594	Hey, that's a soft drone.
206614	207195	That's cool.
210718	217400	Okay, so we'll be talking to everybody else a bit later, but first we're going to take a quick break, and we're going to do some more of Jamie's picks.
217760	220040	That whole last hour was just nothing but Jamie picks.
220140	220740	It's special.
221140	222081	We're doing more Jamie picks.
222281	223061	How is it special, Jamie?
223081	225902	This particular one is one that I talked about last week.
226042	231863	It's basically Osamu Kubota and Tack live doing Presto and Era.
233483	238305	And the one after that is a song that's from Beatmania Final.
239125	239985	It's the Naoki track.
240678	241258	Sounds very good.
241278	242319	We're going to hear those.
242419	246001	And later on, we're going to be talking lots and lots and lots about Max USA.
246061	247821	Tons of news on that coming up.
248362	250022	And we'll talk about 8th Style.
250063	254064	We'll see if we can get Naoki Journals, your FUs of the week, and just a ton of shit tonight.
254104	255865	So tell everybody to listen.
256085	258527	Orange Lounge Radio is now on the air.
258947	259807	Dear Diary.
261408	262088	Dear Diary.
262168	263109	Orange Lounge is cool.
284665	285707	Thanks for watching!
325275	329076	Thank you for watching!
361764	363207	Thank you for watching!
401221	401861	Thanks for watching!
438181	439502	Thank you for watching!
549166	549883	Thanks for watching!
601949	608531	Nico Meow, Nico Meow, Nico Meow, Nico Meow, Meow, Meow Oh, Ash!
609051	611732	This randomness could only be brought to you by Orange Lounge.
615074	616894	Yes, that was very random.
617434	617794	Thank you.
618955	619595	Ash, Ash.
620195	621456	We have Jazz in the chat room tonight.
621556	622036	Hello.
623937	624657	Hello.
624857	625637	Hello to everybody.
625797	627838	We are very glad to have you back in the chat room.
628427	630008	Hello to everybody in our chat room.
630048	632150	We've got lots of people in there tonight.
632170	644159	And if you want to join our chat room, you've just got to go to any OtherSideIRC server like irc.eggheads.org or carma.othersideirc.net and you're just going to join Channel Pound Orange Lounge.
644460	646161	And we expect you a nice play again.
646681	646882	Yes.
649123	651165	So, wow.
651425	652246	Wow, big...
653414	654034	How was your week?
