start	end	text
8548	9449	It's a videotape!
9770	10210	Put it in!
10230	10691	Put it in!
16016	19239	You're tuned in to Orange Lounge Radio.
19400	24205	Our live talk program begins now.
24225	24905	Boring!
29210	30952	This video sucks!
34620	37982	Orange Lounge may contain adult content.
38583	41244	Orange Lounge may contain nudity.
41385	45187	Orange Lounge may contain many four-letter words.
45607	48849	Hide Orange Lounge radio for the fucking children.
49610	52372	The last Metroid is in captivity.
53513	55574	The galaxy is at peace.
68655	71917	I guess there's just two kinds of people, Miss Sandstone.
72417	75218	My kind of people and assholes.
75959	76319	One.
77679	78040	One.
80254	83255	Dear Diary, my teen angst bullshit has a body count.
83275	83775	I would like
114278	117220	DarkSakura, Sky, Orange Lounge Radio
136013	137853	But you are listening to Orange Lounge Radio.
137873	144955	This is Orange Lounge Radio episode number 15 and a half for this October the 13th, I think.
145115	145835	No, today's the 10th.
145855	146815	Today's the 10th.
146835	148395	Because I spent all day writing the 10th.
148435	151896	We're taping on Thursday, so let me do the math real fast.
152196	153796	Yes, the 13th.
153876	155696	13th of October.
156096	157537	You are listening to a pre-taped show.
157937	158217	Why?
158277	159857	Because Jamie and I are lazy.
160017	161317	We want to take a weekend off.
161337	161977	We want a weekend off.
161997	165178	Let me introduce for everybody out there, by the way, if you don't know her, you should.
165919	167139	It's Jamie Summers, ladies and gentlemen.
169540	171240	Oh my god, that's a first for this show.
171880	174961	Now that's usually me on Under Sedation Live.
176601	179861	That burp was brought to you by Berry Flavored Propel, a product of Gatorade.
181122	189043	You can find out more about Propel at www.GatoradeSucksButPropelOwnsMe.com It's going to be one of those shows, I can already tell.
189343	190383	My name is Rob Roberts.
190523	192164	You might know me also as Skye.
192524	192984	I don't know you.
193824	194464	Yes, you do!
195313	196034	You think you know me.
196654	197495	You will never know me.
197935	199536	You are lost and scared.
201077	202258	You're just a puppet.
204579	205000	Can I finish?
205060	205460	Can I finish?
205560	206721	Can I finish?
207281	209583	Hey, it was an obscure wrestling reference, you know.
211224	213926	Usually we'd be taking a break right now for the opening of the show, but we're not.
214006	216408	We're just going to kick right into things, start off the show here.
217008	217989	Let me introduce everybody who's here.
218009	220851	We've got a nice little crowd of people going on here at Scandia tonight.
220871	221811	They look very nice to me.
221831	222492	They look kind of mean.
224928	226809	They're all glaring going, what the hell is going on here?
228390	231071	This, by the way, is the site of DDR Shaft.
232512	237914	Sacramento hosts another... Sacramento, or Sacramento, sorry, hosts another fucking tournament.
238114	239134	I mean, fabulous tournament.
241255	243816	On November 9th, and Jamie will give us more details on that later.
244156	246197	But first, I would like to introduce everybody that's here tonight.
246237	246897	I'll start over here.
247298	248478	We've got Derek.
248498	249799	I remembered.
250119	251479	Yes, I remembered your real name for once.
251499	253020	But what would the online folks know you as?
254295	255496	Depends how long they've been there.
256316	257336	Let's say the recent folks.
257736	258456	Phalanx Zero.
259097	259757	Phalanx Zero.
259777	261117	Ooh, what an evil sounding name.
262178	263638	Hey, you'd get it if you read X-Men.
263658	265299	Phalanx X-Men?
266439	266779	Yeah.
267019	267399	What?
267499	270360	It was the whole thing that they introduced the Generation X in.
270600	271300	That sucks.
271941	272941	I'm original.
274261	274841	Hee hee.
275702	275942	No.
277262	278603	No, that's bad.
279223	282024	Now, I see the lovely lady that's with you here tonight is a little bit radio shy.
282044	283244	She's farting.
285113	285834	She's retarded.
285854	287595	That's not a nice thing to say to your lady friend.
287615	288436	You should smack him.
288456	290357	No, that's the nicest thing I said all day.
290377	292198	What do you have to say in response to that?
293119	294880	Just call him an ass like I always do.
295300	295481	Ass!
295541	296101	Hey, man.
296441	297082	What's your name, dear?
297462	297842	Lizzie.
298283	300404	And you're not really in the DDR community, though, right?
300884	301905	I play a little bit of DDR.
301925	303226	That's about it.
304207	305408	I'll ask the big newbie question.
305628	306729	What footers are you on?
306969	309471	Are you on five footers or seven footers?
310291	311652	Six, seven, something like that.
311992	313373	Round of applause for the six and seven.
313393	314054	Yay!
314074	314134	Woo!
316264	317345	Say hello everybody to J.B.
345393	347074	Jenny Rom owned me at Max 2.
347214	350396	Did she smack your ass and call you Papa?
350416	351076	He's our Jenny Rom fanboy.
351096	351477	Jenny Rom.
351497	353178	What is it about Jenny Rom that's so fucking cool?
368724	390776	I don't even know who she is Jenny Rom, you know I know what song she sings, they're annoying She has like this annoying, high-ass voice It's just like He doesn't know He just likes Oh, that was Oh shit, that's me She's like Too Much Coffee Woman Oh, the lady on the megaphone?
391756	393557	No, Jenny Rom Oh, Jenny Rom, oh, I'm sorry
395518	398139	You wouldn't be making fun of the... Someone put her processor on overdrive.
398159	401580	Uh-oh, he said the line.
401820	402280	Oh, ass!
402900	404360	No, I said Almas.
404640	405741	He said Almas.
405761	406761	No, Satan!
407401	408442	No!
408522	411442	This is going to be one of those shows where we have to fight with a loudspeaker the whole time.
412743	414443	It is an experimental show, ladies and gentlemen.
414463	414943	Let me remind you.
415003	421125	And remember, if you can't be... And remember, if you can't be an athlete, be an athletic supporter.
423118	423939	Yes, I like Grease.
424680	425901	I hate that damn movie.
425941	427082	I've seen it 50 million times.
427202	428864	I know all the damn songs.
429304	430145	Grease is classic.
430205	430806	It's on DVD now.
430826	431286	No, it's Satan.
431627	432307	Grease is Satan.
