start	end	text
2267	3148	Message for you, son.
3588	4529	Attention!
5450	9313	Do you want to hear the most annoying sound in the world?
10954	15998	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
19631	22554	Orange Lounge may contain adult content.
22874	26057	Orange Lounge may contain many four-letter words.
26637	29340	Orange Lounge may contain a scene of nudity.
29880	32783	Orange Lounge may contain hot monkey sex.
33563	33984	Just kidding.
34184	35765	Orange Lounge will not contain hot monkey sex.
35985	36646	In this episode...
42185	45326	I'm sorry, but all questions must be submitted in writing.
45466	47627	Why did they have to take the word gay?
73381	75402	We are live and this is episode number 24.
101829	109893	For December the 15th of 2002, you're tuned into the money scene's most hilarious radio station of all things be money.
110853	112994	My name is Rob Roberts, you might know me as Sky.
113434	118497	Joining me as always are my awesome co-hosts in this corner, the happiest bunny on the farm, Miss Jamie Summers.
119417	120037	Burr, burr.
120057	121278	Burr, burr is the word.
122158	124740	I'm freezing.
125740	126380	I'm freezing.
130931	132672	Y'all know her better as DarkSakura.
132732	136153	In that corner, say hello to our tech massa, Loki!
136433	137173	Hello, everybody.
138394	142255	And also in studio with us tonight, nobody!
144096	144796	Dead air.
145416	146437	It's just the three of us.
146677	152259	We're just feeling the love here tonight between the three of us.
152559	154199	Oh, they're telling me they can't hear us.
154279	155180	I don't have my mic around.
155360	156100	Oh, boy.
158314	162697	Hello, hi, our mics weren't loud enough during that whole intro, my bad, you wanna say hello again, Jamie?
163897	167580	I said I was cold, dammit And Loki, you wanna say hello again?
168080	186031	Yeah, sure, whatever Sorry about that, we're still new at this, 24 episodes into this and we still don't know what the fuck we're doing Uh, anyway, we got a whole bunch of fun things to talk about tonight, but we'll get to that pretty soon Actually, I don't know what the hell we're gonna talk about tonight, I think it's just, uh, the holidays kill everything, don't they?
188778	189338	Uh, sure.
189398	192999	Loki's kind of panicking right now, by the way.
194279	194819	What's the matter?
195920	198180	Okay, uh, my Tourney Mix 3 entry.
198220	198820	It's all done.
199280	200181	I just need to upload it.
200661	207282	My dial-up doesn't want to upload it, and I have to upload it here, but we can't because the stream, you know, might get cut out, so I'm stuck.
207342	208123	I have it on a CD.
208163	208663	It's all done.
209043	209743	I just can't get to it.
212699	215708	Alright, well, we'll panic about Loki's situation a little bit.
