start	end	text
4952	8875	Do you want to hear the most annoying sound in the world?
10476	15520	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
19168	22090	Orange Lounge may contain adult content.
22430	25611	Orange Lounge may contain many four-letter words.
26192	28913	Orange Lounge may contain a scene of nudity.
29453	32335	Orange Lounge may contain hot monkey sex.
33135	33556	Just kidding.
33756	36217	Orange Lounge will not contain hot monkey sex in this episode.
41756	44859	I'm sorry, but all questions must be submitted in writing.
45059	47180	Why did they have to take the word gay?
72205	74786	Nobody expects a Spanish exposition.
75026	75846	It's Kendo.
75946	78467	Hey!
78687	79747	DarkSakura.
79927	80527	Shut up!
80707	81387	Where's my gun?
81527	83888	This is my boomstick.
83948	84528	Sky.
84668	86449	Come on girls, it's time to drop the bomb.
86749	87349	Loki.
87489	90510	I can't for the life of me get the hooker to have sex with me.
90550	93371	What kind of warped human being would find that funny?
93591	94891	Orange Lounge Radio.
98112	102254	We are live, and this is episode number 25 for December the 22nd of 2002.
102314	110437	You're tuned into the Bomani Scene's most old-school station, as judged by the pre-show, correct?
111357	123062	Of all things bee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-ee-
124600	128322	Joining me as always are the other two pieces of the pie.
129162	133424	Say hello to the apple pie in that corner, Jamie.
133584	134264	The bunny pie.
134644	135145	Apple?
135465	136765	I don't know, what pie would you be?
137245	137886	Mincemeat.
139266	140327	Mincemeat pie.
142148	147570	And then that corner, the, I don't know, the Judging By His Christmas Present, he'd be the sugar pie.
150291	151392	Say hello to Loki.
151832	152192	Hey, buddy.
154834	162068	And also joining us tonight, the one, the only, you know him, you love him or you hate him, I don't know.
162209	163070	It's Black Lab.
163130	163411	All right.
167165	171228	I know, we got that stupid humming noise back tonight, I can't figure out what's going on.
171248	176432	I think I need to do a reboot, but I can't do the reboot in the middle of a show, so I don't know what to do.
176512	181215	We'll figure out if we can figure out what's going on, and we'll be back in a little bit.
