start	end	text
6029	9513	Do you want to hear the most annoying sound in the world?
11515	16561	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
20214	23096	Orange Lounge may contain adult content.
23456	26619	Orange Lounge may contain many four-letter words.
27199	29921	Orange Lounge may contain a scene of nudity.
30461	33343	Orange Lounge may contain hot monkey sex.
34144	34564	Just kidding.
34744	36345	Orange Lounge will not contain hot monkey sex.
36565	37206	In this episode...
42765	46227	I'm sorry, but all questions must be submitted in writing.
46247	48209	Why did they have to take the word gay?
73878	76339	DarkSakura, Sky, Loki, Orange Lounge Radio,
99529	103591	We are live, and this is episode number 31 for February 2nd of 2003.
103671	109393	You're tuned into the Bomani Scene's most grounded radio station of all things B-Money.
110034	111875	My name is Rob Roberts, you might know me as Sky.
112675	114636	Joining me as always are my awesome co-hosts.
115376	119018	In the invisible corner is the happiest bunny on the farm, Miss Jamie Summers.
119038	121199	You know her better as DarkSakura.
121239	123320	She's running in here like a chicken with her head cut off.
123380	123740	What's up?
124220	126141	Oh, okay, cool.
127721	127982	Did you?
128022	128542	Yay, thank you.
131948	132188	All right.
132969	135370	And you get... We have horrible mic noise again tonight.
135390	137911	And I swear to God, I fixed this problem before the show started.
137971	138752	It's pissing me off.
139292	139972	I'll see what I can do.
140713	141873	I'll see what I can do during the first break.
144190	147051	Also, say hello to our other lovely co-host.
147551	149052	I should say more handsome co-host.
149072	150232	I don't think he likes to be called lovely.
150592	151592	Our handsome co-host.
151972	153193	Say hello to our tech master, Loki.
153253	153673	Hello.
155514	158474	Also with us tonight, we have a whole buffet of guests in studio.
158534	159455	Say hello to Brad.
159675	160115	Buffet.
160295	160775	Mmm.
161135	161675	And pancakes.
162176	165717	And we haven't had this gentleman on the show before, but say hello to Zero.
166217	166797	Hey, how's it going?
167603	170404	and also out in the other room playing Animal Crossing's Irene.
170424	172584	She probably won't be on the show because she always plays Animal Crossing.
172704	174065	Bitch!
175365	175745	Pancakes.
176105	176545	Pancakes.
177586	177866	What?
179266	185188	Dave, are you listening?
185228	186128	You should be over here right now.
186148	186648	I don't know.
186668	187528	That is a good question.
187568	188849	Where has Dave been?
189009	189989	He hasn't been here for a few weeks.
192347	193867	Where's Puppy and Tal?
194007	195989	Puppy and Tal are at Scandia.
196069	199130	They were there for Tal's birthday and they were supposed to be here by now.
199150	201071	But they're not.
201351	203032	So that means punishment.
206593	207494	So, yeah.
208394	208715	Hello.
208835	210636	So, we're going to talk about a whole bunch of stuff tonight.
210936	215140	We have interviews from the tournament that happened on Friday at Milpitas, Milpitas Golf Land.
215160	215680	We've got those.
216240	217802	I know tons of you are just looking forward to that.
218862	222365	And we'll get to everything else a bit later, but first we're going to take a quick break.
223006	225728	And I thought we'd start off this first break with some...
227849	229431	Oh, any other opening thoughts from the folks here?
230432	231653	Oh, did the missing people just show up?
231853	232594	Oh, let's say hello to them.
232814	233474	Oh, there they are!
233755	234355	You're late!
234575	236397	You're late!
236917	237198	What's up?
237238	238138	Okay, we have Tau.
238178	238739	Say hello to Tau.
238919	239359	Hi.
239900	240781	And then we have Puppy.
240981	241541	Puppy's here.
241621	241962	Hi.
243443	245024	And then, in the back, there's Ryan.
245104	246045	Oh, shut the fuck up.
247629	247910	What?
248691	251113	Shock of Duval, I don't know, you know what I mean, right?
251254	252015	Okay!
252395	253196	Shock of Duval!
253376	259604	Oh, I'm, uh, I received a message from the chatroom, snub, just once told me Dave is in Houston, visiting the grandparents.
259644	259764	Really?
259784	260925	That's where Dave is.
260946	262387	Well, we were asking where Dave is.
265411	266492	Dude, what the fuck is that?
266512	266813	What happened?
269091	270492	I heard a can of soda opened.
270512	274835	The Mountain Dew's not supposed to smell like that, yo.
277016	278477	It's always exciting here at Orange Mountain.
278497	279818	The Red Mountain Dew smells like a fart.
282519	282839	Alright.
283840	284761	What the hell is this?
284841	285321	D&L?
286562	288163	It's 7 Up Upside Down.
288183	288863	What is this?
291212	299336	DNL is basically, it's like the opposite of 7up, as in the logo is upside down, and instead of being a green bottle with clear liquid, it's a clear bottle with green liquid inside.
300277	302638	It's caffeinated, instead of just being, like, fucking normal.
303218	306600	It tastes like 7up with a kick of Mountain Dew, and it's actually really good.
307721	309622	Yeah, but this shit I've been drinking, like, day and night.
309642	311122	It's, like, better than blue.
312063	312623	It's okay.
314544	315065	It's okay.
315205	315685	It's alright.
316465	317466	Okay, we're gonna take a break now.
317506	319647	We'll come back and talk about all the, uh,
320185	321566	Yeah, Surge was what I was going to say.
321586	322127	It's kind of like Surge.
322147	322387	Anyway.
322727	323228	I like Surge.
323428	324089	We'll take a quick break.
324129	324929	I hate knowing you.
325430	334598	And we'll be back to talk about all sorts of fun things, get to those interviews, maybe play some of the money match games, some of our favorite stuff, and taking your calls.
334918	335399	Just kidding.
335419	336199	We still have the phone.
336500	337000	We'll be back.
368625	369710	Thanks for watching!
592288	593529	Orange Lounge Radio.
593849	596010	We put your thing down, flip it, and reverse it.
596850	606434	Hi, we're back, and you're listening to Orange Lounge Radio, episode number 31.
