start	end	text
5773	9678	Do you want to hear the most annoying fan in the world?
11279	16305	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
19958	22880	Orange Lounge may contain adult content.
23201	26383	Orange Lounge may contain many four-letter words.
26963	29685	Orange Lounge may contain a scene of nudity.
30206	33108	Orange Lounge may contain hot monkey sex.
33888	34309	Just kidding.
34509	36110	Orange Lounge will not contain hot monkey sex.
36310	43756	In this episode... Hey, any balls down there?
44036	46518	That's the biggest bear you've ever seen, Jingleberry.
46598	48319	What's your favorite scary movie?
49739	50320	Showgirls.
51220	52321	Absolutely frightful.
52622	53442	What's yours?
53462	55924	There are no stupid questions, just stupid people.
55985	57206	Don't torture yourself.
57886	58727	That's my job.
58807	60609	Now's the time when Sprockets made me dogs!
60689	63771	I'll get you, my pretty.
63971	65313	And your little dog, too.
65713	66614	I know Kung Fu.
66994	69416	I'm sorry, but all questions must be submitted in writing.
69636	71498	Why did they have to take the word gay?
72359	75742	Nobody expects us to punish a physician.
76002	76722	It's Kendo.
79690	81491	DarkSakura, Shut up!
81691	82371	Where's my gun?
82491	84832	This is my boomstick!
84912	87433	Sky, Come on girls, it's time to drop the bomb!
87734	91495	Loki, I can't for the life of me get the hooker to have sex with me.
91535	94237	What kind of warping being would find that funny?
94497	102800	Orange Lounge Radio We are live and this is episode number 34 for February the 23rd of 2003.
103081	108343	You're tuned into the Mamani Scene's most angsty radio station of all things Mamani.
112057	114098	My name is Rob Roberts, but you might know me as Sky.
114198	121683	Joining me as always are my awesome co-hosts in this corner, the happiest buddy on the Happy Tree Friend Farm, no, Miss Jamie Summers.
124085	125446	You know her better as DarkSakura.
127847	128748	Makes Captain Jack cry.
133030	135192	Also in this corner, say hello to our tech master, Loki.
139130	141531	I think they're having a hard time hearing you guys tonight, so be sure to be nice.
143072	147013	Beautiful.
148534	148934	Excuse me.
149174	152155	Also in studio tonight, say hello to Zero's Back.
153856	155557	He's going to end up being like Loki.
155577	158498	He's just going to show up for every week until we decide to add him on.
160919	161799	No, no, it's cool, it's cool.
161819	162940	We're just fucking with you.
165580	166560	I thought she was waving hello.
167200	168281	Was that a hello or goodbye?
168741	169401	I hate English.
174983	175283	You know what?
175303	177363	They're thinking that that might be a dead mic.
177423	177763	Hold on.
177803	179144	We're having some technical difficulties.
179184	180824	Let's try this again real fast.
181144	181864	Here, use my mic.
182625	183125	Not funny.
183225	183765	Bored.
183825	184545	Goddammit.
184985	186026	Show's falling apart already.
186266	189646	Alright, go around and introduce yourself one more time with a mic that works, and I'll figure out what's going on with the other one.
190087	191427	Nom nom nom nom.
196072	196372	DarkSakura
222992	225395	Come on girls, it's time to drop the bomb!
226436	229439	I can't for the life of me get the hooker to have sex with me.
229479	230500	Orange Lounge Radio
236019	239922	We are still live, and this is episode number 34, take 2.
241163	241903	The Revenge.
242024	243284	We're not making a trilogy anymore.
243324	243885	Revengy.
244365	250330	For February 23rd of 2003, you're tuned into the Bomani Scene's most broken radio station of all things Bomani.
250750	252691	My name is Rob Roberts, and you might know me as Sky.
252751	257575	Joining me as always are my awesome co-hosts, and this quarter, the happiest bunny on the Happy Tree Farm is Jamie Summers.
257635	259336	I am not on the Happy Tree Farm!
259356	262519	You know her better as Dark Sakura.
263179	263359	Bye.
265080	266021	And this time you can hear it.
266481	269162	In this corner, say hello to our tech master, Loki.
269442	275785	Hey everybody, we're going to take episode 34 and we're going to add some CG, call it special edition, and resell it for hundreds of dollars.
276746	277906	You ain't bad, you ain't bad.
277946	279667	I put Jabba the Hutt back in the Sky Wars.
279947	281228	I go to school and I kill people.
281268	282248	I'm rolling games.
282288	282888	What am I?
285009	287670	Also with us tonight, say hello to Zero.
287690	288771	Hey, how's it going?
291172	292773	He's our host in training.
292793	294594	What exactly would you call Zero the sequel?
294834	294954	One?
295134	297035	Or is it zero squared is still zero?
297055	297675	He's a prequel.
298456	299176	Zero one.
299536	301097	Oh, I made up a mommy joke!
301297	301697	Ow.
302158	309141	He can be our host in training.
311402	312062	Or intern.
312082	313723	Does that mean he has to wear diapers?
315204	318626	Hey, you know, Walgreens had some depends on sale half price.
321893	323334	You can just put like heels on my feet.
323514	325895	Then you have a training bra.
325915	326715	Then you have Heelys.
326935	327676	But that's not funny.
328036	328936	How about a training bra?
330517	333638	He'd have to wear it on his head and go around to the screen.
333718	335579	I have a picture of Mel B with panties on his head.
335799	336639	I smell that picture.
337760	340281	I'm sorry, but you just made me think it's an understation joke.
340461	340921	Oh, what's that?
341161	343042	If you wore the bra on his head, he'd be Queen Amidala.
344435	345897	I'm Queen Amidala.
346738	347439	Hi, Travis.
348140	348941	Hi, Travis, if you're listening.
348961	351063	UnderStationLive.org, back up and running, by the way.
351083	355189	They moved, so they have this whole room now, their own studio, so check them out if you haven't yet.
355749	357391	You've got to know your roots.
357531	359314	Jamie and I's roots is UnderStationLive.org.
360995	361415	I burped.
361475	362555	I burped better than that earlier.
362575	363576	That was awesome.
363976	365676	You burped, like, bigger than my dad.
365716	367596	I burped artichoke hearts and vanilla coke.
367636	368937	That was the win.
369117	369717	Anyway, yes.
370877	371637	And mushrooms.
371877	372497	They were sauteed.
372537	373978	We'll be talking to everybody a bit more later.
375078	379859	We'll be talking about Cyber Beat tonight, the big tourney that happened in SoCal for a little bit.
379899	382419	We got some clips from the interviews and stuff.
382439	382979	That'll be fun.
382999	385360	That doesn't feel to be paid out of vinegar.
386562	386842	Yes?
