start	end	text
6119	10021	Do you want to hear the most annoying sound in the world?
11622	16666	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
20300	23221	Orange Lounge may contain adult content.
23541	26723	Orange Lounge may contain many four-letter words.
27303	30004	Orange Lounge may contain a scene of nudity.
30544	33445	Orange Lounge may contain hot monkey sex.
34245	34646	Just kidding.
34846	36446	Orange Lounge will not contain hot monkey sex.
36646	44109	In this episode... Hey, any balls down there?
44349	46850	That's the biggest bear you've ever seen, Jingleberry.
46930	48651	What's your favorite scary movie?
50077	50678	Showgirls.
51558	52719	Absolutely frightful.
52980	53540	What's yours?
53800	56262	There are no stupid questions, just stupid people.
56322	58184	Don't torture yourself.
58224	59245	That's my job.
59265	60946	Now's the time our sprockets bend me dogs!
61006	64129	I'll get you, my pretty.
64309	65751	And your little dog, too.
66051	66972	I know Kung Fu.
67332	69694	I'm sorry, but all questions must be submitted in writing.
69974	71836	Why did they have to take the word gay?
73437	76099	Nobody expects a Spanish exposition.
76340	77180	It's Kendo.
77260	77661	Hey!
80031	81833	DarkSakura, Shut up!
82034	82714	Where's my gun?
82834	84797	This is my boomstick!
85257	87781	Sky, Come on girls, it's time to drop the bomb!
88081	92106	Loki, I can't for the life of me get the hooker to have sex with me.
92146	94649	What kind of warping being would find that funny?
94909	96191	Orange Lounge Radio,
99961	104247	We are live, and this is episode number 35 for March the 2nd of 2003.
104307	112497	If you're tuned into the Lamonti Scene's most crowded radio station of all things bee money, my name is...
114181	115262	My name is Rob Roberts.
115302	116622	You might know me as Sky.
117783	118844	I'm a poet and I don't know it.
119304	120825	But your feet are short because they're long-fellows.
121805	122666	My feet are big.
123366	124087	You know what that means.
124147	125247	Attention guys out there.
125467	126528	Rob wears big shoes.
126808	135673	Joining me as always are my awesome co-hosts in this corner, the happiest and most loud-mouthed bunny on the farm, Miss Jamie Summers.
135693	139655	You know her better as DarkSakura.
140216	142297	In that corner, say hello to our tech master, Loki.
146714	149276	Also with us tonight, we have a whole ass load of guests.
149336	151699	Say hello to Shark Skrulls in the house.
152560	154662	Everyone else is in the other room playing Animal Crossing.
154682	155603	I'm thinking about joining them.
155984	156704	Hey, traitor.
157485	158807	Hey, I gotta get bones back.
160108	165314	And also with us, say hello to Mel B. I believe that children are our future.
171323	172323	Say hello to Dave.
173084	173544	Hello.
173564	174684	I haven't been here in a while.
175285	176805	And there's a whole bunch of other people.
176825	177505	Oh, wait, Brad.
177685	178606	Oh, say hello to Brad.
181887	182847	Why are you balking?
184068	184568	Ah, shit.
186209	188390	Oops, I had a little technical difficulty there.
188430	188870	Sorry about that.
189710	190010	Hi.
190330	190690	Say hello.
190771	191191	Oh, hi, Brad.
191251	192911	And then in the back is the Ice Queen.
194452	195292	Say hello to the Ice Queen.
195312	195652	Come on in.
199036	201617	Wow, that's twice this month I've been called a douchebag.
204658	207019	Tell me, Rob, do you feel not so fresh?
207039	209019	Oh yeah, that's right, we're in a new month now.
209299	211620	So that means next month somebody else has to call Rob a douchebag.
212801	214141	Who wants to take the turn this time?
215461	216222	Okay, you can do it.
216402	217442	Don't forget, April 1st.
217542	219903	No, you have to do it April 2nd because it's a joke.
219963	222084	I'm getting reports that all of our listeners might...
272003	272603	Thanks for watching!
338695	339656	Thanks for watching!
390222	395025	From StepSquad to OrangeLabs, this PDR sucks!
395105	400908	Holla, holla, holla, holla, holla, holla, holla, holla, holla, holla, holla!
404145	406587	Apparently Dave knows what camel piss tastes like.
408588	409848	Tastes just like it smells.
410109	410889	Alright, we're back.
412150	423537	Unfortunately what happened just before the break, for some reason, we didn't show ourselves as going down off the air, but all our listeners got dropped, so they're slowly coming back on the stream, and it's kind of ironic that they should come back to the beauty of silence.
424837	425158	Get it?
427819	428740	Ow, ow, I hurt.
429895	430956	You'll hurt after I kick you.
432397	434638	Okay, so, what's up?
434678	436519	Big round table, just stuff.
436539	437099	What table?
437380	437640	There's four.
437660	439001	We had round table pizza for lunch.
439201	440141	Indian chair?
440381	441622	Ooh, somebody else.
442523	443443	We had Eastern Buffet.
443543	445104	If it is Ryan, tell him where his letter is.
445124	447105	We ate somewhere much better than round table.
447366	448987	Okay, where'd you guys go for lunch today?
450007	450988	Where did we go for lunch?
451048	452168	Oh, we went to Eastern Buffet.
452209	454350	We had Chinese food and it was yummy.
456002	457943	So today's a little bit of a buzz show.
458924	463027	I'm downing a Smirnoff Black with Mel.
463547	466789	A toast to a non-crappy show for once.
466949	471312	No, I'm just kidding.
471933	472473	Who's all here?
472533	472893	Dang.
473154	475315	It sounded like five people just got here.
476896	477336	Who got here?
481879	482620	Oh my god.
483280	484021	Well, how's today?
484707	486788	Today it is kind of a full house.
487169	487489	Okay.
488410	488790	So.
491011	493553	Everywhere we go, everywhere you look.
493573	497075	Okay, after what we were watching today that showed what's your face from full house.
497336	498396	Candace Cameron.
498416	499257	Yeah, Candace Cameron.
502164	503966	What the hell ever happened to Candace Cameron?
504266	504927	She's very pretty.
505087	505608	I want to know.
505748	507170	I'm going on the website to look.
507210	514938	Candace Cameron met a hockey player by the name of Valerie Brewery and got engaged in Paris and got married and has two kids.
514998	515439	Go fig.
515479	518102	And she looked like a slut for a long time because she had platinum blonde hair.
518755	519536	DarkSakura, DarkSakura, DarkSakura
544560	546301	Oh, hello to our other guests who just got here.
546321	546741	What's up?
547461	548522	Say hello and introduce yourselves.
548542	549842	I don't have much room on the mics here.
552083	552543	Hey, what's up?
552603	553204	Everyone knows me.
553384	553824	I'm Zero.
553984	554464	How's it going?
554864	555524	The intern.
556305	556685	What's up?
557125	559026	This is Johnny, a.k.a.
559086	559546	Bombay.
562307	565588	Okay, and now I'm going to finish talking about Candace Cameron.
567029	568850	Oh, Billy the Big Fat Queer is here!
570250	570991	Say hello, Billy!
572151	572511	Hi.
573412	574012	How are you, Billy?
574653	575193	Peachy Keen
592771	594512	I gave some guys... Wait, no, no, no, no.
595413	595773	Hold on.
595933	597474	First Candice, then your story.
598235	599876	Oh, hi, you're listening to Orange Lounge, Bomani Radio.
599896	602017	Sometimes we talk about the game with the arrows.
602297	602998	I hear it's popular.
603038	605039	Anyway... And we talk about porn a lot.
616449	632921	Since her years as DJ Tanner on the long-running sitcom Full House, she has had the lead role in six movies, guest starred on four television shows, and executive produced an entertaining child safety show.
633061	633501	Really?
636633	644963	She is married to ice hockey player Valery Bire, who sucks ass, and has three children.
646064	647746	I don't want to know what their association is.
648246	651169	They're named Suck, Ass, and Who.
656907	657808	Come here, suck.
658068	658828	Come here, ass.
658929	659149	Okay.
659729	669175	Since I was 10 years old, Candice has been a distraught role model for me through her varied acting roles and admirable participation in organizations like the Starlight Foundation.
669496	670316	Which sucks ass.
670536	671917	Hey, that's a charity.
672598	673558	It's an ass-sucking charity.
673959	676120	Her openness and love... Oh, wait, wait, wait.
676200	676781	Here's the best part.
677181	680283	Her openness and love for Christianity is refreshing.
683058	684201	and the Church of Ass-Sucking.
685744	687588	So she sucks little boys' asses then.
690832	692133	Oh, okay.
692214	693174	Hello.
693475	695356	Refreshing is this nice malt beverage right here.
695436	698679	And then it talks about growing up with Candice.
698720	703864	So if you want to visit All About Candice Cameron, go to www.candicecameronbure.net.
705286	706266	If you want to suck some ass.
708629	709249	Okay.
710450	712773	Speaking of sucking ass, let's get to story time with Billy.
714534	716375	Storytime with Billy!
740385	741785	This better be the Jerry Halliwell version.
741825	742666	It is the Jerry Halliwell.
742866	744246	It's the DDR Jerry Halliwell version.
744786	745666	Tell your tale, Billy.
746107	749988	Well, it was Mardi Gras night, and we had quite a bit of fun, and I got a couple beats here and there.
750388	751648	Wait, and how did you get beats?
753148	753769	How do you think?
756049	757570	Did you show your titties to some lesbians?
757770	760510	I did show my titties to some lesbians.
760570	762431	And then some cute boys just walked in and gave me beats.
762471	763611	I didn't have to show them anything.
763771	764171	Wow.
765012	770153	So anyways, on the way out, there was a cute drunk boy, and he saw, I didn't give him any beats, so I'm like, what are you going to give me?
773704	775105	Billy just cut right to the chase.
775425	777125	What are you going to give me?
777145	779306	I'll let you stick your hand down my pants.
779366	781727	And I'm like, well, okay.
784468	785389	Not that I'm complaining.
785469	786949	I've got quite a handful.
789150	793912	And then Matt got a C. And I got a hold of it and see it.
793952	796533	So it was a wonderful, fun night.
796633	797173	Oh, Matt's here.
797413	798014	Matt, come here, come here.
798054	799594	Do you have anything you want to add to this story, Matt?
