start	end	text
1791	2672	Message for you, son!
3112	3973	Attention!
4974	8859	Do you want to hear the most annoying sound in the world?
10480	15506	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
19153	22075	Orange Lounge may contain adult content.
22395	25578	Orange Lounge may contain many four-letter words.
26158	28860	Orange Lounge may contain a scene of nudity.
29400	32303	Orange Lounge may contain hot monkey sex.
33083	33503	Just kidding.
33703	35305	Orange Lounge will not contain hot monkey sex.
35505	42770	In this episode... Hey, are there any boys down there?
43250	45152	The biggest fairy you ever seen, Jingle Fairy?
45292	46993	What's your favorite scary movie?
48428	49029	Showgirls.
49909	51070	Absolute fright.
51330	52131	What's yours?
52151	54613	There are no stupid questions, just stupid people.
54673	56554	Don't torture yourself.
56574	57394	That's my job.
57495	60557	Now's the time on Sprocket's going to be dogs!
60657	63979	I'll get you, my pretty, and your little dog, too.
64399	65320	I know Kung Fu.
65680	68062	I'm sorry, but all questions must be submitted in writing.
68322	70043	Why did they have to take the word day?
71665	74327	No one expects a Spanish exposition.
74567	75387	It's Kendo.
75467	75908	Hey!
78240	80043	DarkSakura, Sky, Loki, Orange Lounge Radio,
97961	102166	We are live and this is episode number 37 for March 9th.
102306	103067	No, it's not the 9th.
103107	104869	It's the 16th of 2003.
105029	106812	Rob's doing the time warp again.
106852	107312	Hello.
107693	112498	You're tuned into the Mamani Scene's most buzzing radio station of all things Mamani.
112819	113920	My name is Rob Roberts.
114080	115041	You might know me as Sky.
116041	117781	Joining me as always are my awesome co-hosts.
117801	120222	In this corner, the happiest bunny on the farm is Jamie Summers.
120262	121522	You know her better as DarkSakura.
121562	122202	I'm not happy.
122942	124843	In that corner, say hello to our tech master, Loki.
125143	125423	Hello.
126563	130044	And with us here also in the studio tonight, we have... Here!
130084	130704	Nobody!
131084	132124	This is amazing!
132504	134125	There is nobody else here tonight.
134205	135425	It is just the three of us.
135585	136565	This is craziness.
137285	138045	Zero's not even here.
138065	138926	He was supposed to be here tonight.
139366	140346	Yeah, I guess.
140746	140846	And...
141926	143487	Brad and Irene said they were going to be here tonight.
143647	145787	We need to make our intern do something really crazy.
145907	147188	That is messed up.
147448	149288	So it's just us here feeling the love.
149529	153330	But we also have the mic, microphone, making lots of noise to entertain us.
153390	154170	We apologize.
154210	156291	We know we have a really badly buzzing microphone.
156311	157531	We're doing what we can about it.
158291	159672	But we really don't know.
159712	160652	We're kind of out of options.
160692	163273	We've rearranged the whole room here.
163673	165753	And we think the subwoofer might be contributing to it.
166774	167214	I don't think this...
167694	168295	Mine does that.
169035	173540	I can turn off the subwoofer, and then we won't hear anything, but I think they still get the buzzing even with the subwoofers off.
174601	175682	But, I don't know.
176202	178925	So, life sucks, and you'll just have to bear with us tonight.
178945	180026	We'll do what we can.
182108	185411	But in the meantime, we're going to play some break songs.
185832	187213	And what songs are we going to hear this break?
187273	188594	These are songs that no one listens to.
188675	191277	These are songs that no one listens to, but you're going to now, so enjoy.
191537	191958	We'll be back.
192970	197598	Check one, check one, when I come down, I come down right to the sun.
197899	200564	Get right down, get right down to the gym.
200584	201325	Round and round.
220883	223145	I'm a friend of the best Who's in the juice?
263540	264561	L-O-V-E-N-S L-O-V-E-N-S
572076	572496	Hello?
573277	573558	Hello?
573598	574298	Is this thing on?
574358	574859	Testing.
576040	576901	Testing 1-2.
577482	581426	I'm looking in the index, but I don't see anything for how to run a radio show.
581526	582006	Hello?
582667	584129	I don't understand this.
584149	585510	Does this thing work?
585530	587132	This thing reads like stereo instructions.
587212	587913	Is this on?
587933	589494	What the hell?
590836	592237	Orange Lounge Radio.
592417	594499	Broke down Get Open Body Radio.
602304	602945	Yeah, hello!
617319	618380	Thank you for watching!
652256	653418	Thank you for watching!
661160	661861	All right, enough of that.
662702	664183	We were supposed to be back before that was over.
664223	665544	Apologies about that.
665624	666945	Is that irony or what?
667205	670768	That, you know, broke down ghetto-ass radio and then we can't even get our fucking volume.
670788	671548	We can't get it up.
671568	672989	We're impotent.
673390	683077	We actually, what's funny is that during the break I was trying to fix the buzzing problem we've got tonight and I went behind the computer and kind of unplugged the splitter because Loki said, hey, look at the splitter.
683117	683898	Maybe something's wrong with that.
684298	686900	And lo and behold, I went and I plugged it back in the wrong hole.
687901	689182	I stuck it in the wrong hole.
691821	693943	Okay, Rob, do you have whole priorities here?
694163	695264	Yeah, I have whole problems.
695405	696546	I think I'm dyslexic!
697987	705614	Anyway, in that break of Little Played Bomani songs, pretty controversial in the chatroom, because every time one of them would play something, we'd go, hey, I'd play that.
707196	709418	How many people really play Minimalian?
709478	709899	Thank you.
710461	716924	We had Chiang Ma with Love This Feelin' and then Minimalin from 4th Style, which was also the background music in 3rd Style, if I'm not mistaken.
718185	718805	Yes, I think so.
719225	723588	And then after that, the Sampling Masters with Tablets from 5th Style.
723988	728270	And then Usama Kubota with Presto, which is somewhat debatable because actually a lot of people play that song.
728650	732132	But what happened is I was actually looking for 5 Regrets and I couldn't find it.
732752	738375	So then I tried to find, I was going to put 1989 in, but a lot of people would have beat me up if I played 1989.
738435	739396	I actually kind of like it.
741132	743333	I should have played Entrance.
743473	745274	Yeah, that was the one I was trying to think of, I think.
745294	745675	Yay!
762899	766466	Every Kubota song could have been in Keyboard Mania.
766486	767227	Presto was.
767287	767808	Yes, Presto was.
772721	776863	Um, you are listening to Orange House Radio, and again, we apologize for having some buzzing issues tonight.
776903	777964	We don't know what's causing it.
778024	780265	We've dissected everything going on.
780285	785427	About the only way I think I'd be able to... The bee is angry for, you know, you defacing its song.
787048	789069	So, I don't know what we can do about it.
789229	790930	We'll just have to bear with it tonight.
790950	792650	Although it has been worse in the past.
792670	796832	The one episode we did, it was just unbearable almost, but we did it anyway.
797473	799774	And you guys stuck with us because you love us, and we love you.
801094	808041	You were funny last night, you were drunk You were drunk, drunk, drunk, drunk, drunk Giggling and then I fell asleep
