start	end	text
6624	10529	Do you want to hear the most annoying sound in the world?
12131	17178	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
20829	23730	Orange Lounge may contain adult content.
24070	27230	Orange Lounge may contain many four-letter words.
27811	30531	Orange Lounge may contain a scene of nudity.
31051	33952	Orange Lounge may contain hot monkey sex.
34752	35152	Just kidding.
35352	36952	Orange Lounge will not contain hot monkey sex.
37172	44594	In this episode... Hey, are there any balls down there?
44894	47355	That's the biggest bear you've ever seen, Jingleberry.
47435	49175	What's your favorite scary movie?
50592	51173	Showgirls.
52073	53194	Absolute fright.
53494	54275	What's yours?
54315	56777	There are no stupid questions, just stupid people.
56837	58098	Don't torture yourself.
58738	59759	That's my job.
59779	61460	Now's the time our sprockets made me dogs!
61520	66144	I'll get you, my pretty, and your little dog, too!
66564	67425	I know Kung Fu.
67845	70447	I'm sorry, but all questions must be submitted in writing.
70507	72348	Why did they have to take the word gang?
73970	76412	No one expects a Spanish exposition!
76872	77713	It's Kendo.
77773	78153	Hey!
80540	86605	DarkSakura, Sky, Loki, Orange Lounge Radio We are live and this is episode number 38 for March 23rd of 2003.
86645	87505	Hey, shut up, no buzz this week.
108573	108993	We hope.
109173	110554	We hope it stays this way through the whole show.
111555	118200	You're tuned into the Vimani Scene's most Oscar-nominated radio station of all things Vimani.
119181	120902	My name is Rob Roberts, but you might know me as Sky.
121422	125445	Joining me, as always, are my awesome, wonderful, happy, and Oscar-nominated co-hosts.
125785	132250	In this corner, in her lovely Versace gowns, say hello to the happiest bunny on the farm, Miss Jamie Summers.
137617	139198	You know her better as DarkSakura.
139538	140799	I still think it's Versace.
141179	147062	In that corner wearing a lovely Calvin Klein garb is Loki.
147562	149803	I didn't know Calvin Klein made these.
154766	159168	And also say hello to the other folks assembled in here and the lovely Vera Wang.
159848	161149	Say hello to Intern Zero.
161169	162590	They said Wang.
163760	166201	And the Oscar goes to me for coming up with Versnatchi.
167982	171604	And also here in a... I'm wearing bum clothes.
173466	173866	Who are you?
174126	176607	Oh, he's the guy who found the Oscars in the dumpster.
177028	179009	He's the... No, he's the key grip.
181050	181730	Fuck you, man.
181750	185212	It's a radio.
185792	187313	And then our best boy.
188174	189955	Say hello to JB.
191496	192056	How you doing?
193993	194894	It's okay to talk on the mic.
195475	196977	Quit giving head to the propel and talk.
197537	200160	It's not going to hurt you.
200521	201582	Oh my god, it's cute.
201622	202363	He's turning purple.
202823	204946	Whoa, he's getting really red.
205787	208670	Wearing a lovely Jolly Rancher face is...
211957	213478	Okay, we also have some other guests coming.
213498	214599	They're just not here yet.
214759	219383	A rice princess is somewhere in the house, but she must be... Oh, she went to get food.
219483	220463	We have DDRholic coming.
220704	223406	And then we also have Asian Innovations coming.
223846	224527	Mike Ngo, you know him.
224547	224887	And Dark Child.
225007	225567	And Dark Child.
225868	226368	That'll be fun.
226388	226708	If they get here.
227048	227569	If they get here.
228069	228950	Hopefully they didn't get lost.
228990	230391	You did draw them a good map, right?
230651	231131	Of course.
231272	231592	Of course.
231832	234734	I gave written directions and then I drew a map that said which house it was.
235315	236716	Because I didn't remember your house number.
237771	238792	Oh, okay.
239893	243375	Rob lives at blank, blank, blank, blankity, blank, blank.
243435	243955	Hey, you know what?
243995	247137	I'm moving in a month, so it won't matter.
248418	249279	Yeah, he probably don't.
249439	250900	He thinks Pomani's weird enough as it is.
250940	252901	Oh my god, it's this guy's house.
