start	end	text
2010	8472	Do you want to hear the most annoying sound in the world?
10472	15534	You're listening to Orange Lounge Radio, the Monty Talk, and then some.
19171	22092	Orange Lounge may contain adult content.
22412	25614	Orange Lounge may contain many four-letter words.
26174	28895	Orange Lounge may contain a scene of nudity.
29415	32316	Orange Lounge may contain hot monkey sex.
33097	33517	Just kidding.
33717	35318	Orange Lounge will not contain hot monkey sex.
35518	42961	In this episode... Hey, are there any balls down there?
43241	45722	That's the biggest fairy you ever seen, Jingle Fairy.
45802	47983	What's your favorite scary movie?
48954	49534	Showgirls.
50435	51315	Absolute fright.
51835	52435	What's yours?
52675	55136	There are no stupid questions, just stupid people.
55196	56497	Don't torture yourself.
57077	57957	That's my job.
58037	60018	Now's the time when Sprockets made me dogs!
60758	64540	I'll get you, my pretty, and your little dog, too.
64900	65820	I know Kung Fu.
66220	68541	I'm sorry, but all questions must be submitted in writing.
68861	70702	Why did they have to take the word gang?
71562	74763	No one expects us to punish exposition!
75063	76004	Yes, yes, yes!
78908	80709	DarkSakura, Shut up!
80909	81589	Where's my gun?
81729	83669	This is my boomstick!
84130	86650	Sky, Come on girls, it's time to drop the bomb!
86950	90672	Loki, I can't for the life of me get the hooker to have sex with me.
90752	93532	What kind of warping being would find that funny?
93793	95173	Orange Lounge Radio.
97606	101930	We are live and this is episode number 41 for April the 20th of 2003.
102010	108295	You're tuned into the Bomani Scene's most egg-citing radio station of all things.
108675	110537	Be... Mommy!
111037	112138	That was bad.
113839	115721	I came up with that joke all by myself.
116201	116622	Hand.
118063	118203	Ow.
119224	120044	Did everyone hear that?
120124	120965	Here, I'll do it louder.
122947	123147	Ow!
123707	124228	Mommy!
125987	127308	Battle Royale Manga Battle Royale Manga
150747	151468	DarkSakura.com
174790	176411	The guy rocks, man.
176431	178372	He rocks even more in freaking manga.
178452	180013	We're going to start off with some 2DX music.
180033	180494	We'll be back.
180534	180794	Enjoy.
222746	226388	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
252365	264976	I'm kissing, I'm touching, I give you all my life I love you, I'm falling, I need you all my life I always miss you
539918	542882	Music Music Music Music Music
656866	658711	Orange Lounge Radio With the Ping Pong Ball
665782	667743	I think that's my favorite sound effect that Jamie ever did.
669344	673545	Welcome back to Orange Lounge Radio, episode number 41, April the 20th of 2003.
674626	679908	Happy Easter to all you kids out there listening, and if you aren't down with Easter, then happy Sunday to you.
680248	682950	I totally forgot it was Easter, that's why the arcade was empty.
683150	684010	You didn't do anything today?
684730	684970	No.
685711	689552	I went over to my parents' house and had a little ham, and that was it.
690193	694054	We had ham a week ago, so I just ate food.
694655	695315	Just ate food.
697345	699366	A late happy birthday wish to Jamie.
700346	702347	She was one year older as of yesterday.
702887	703807	Happy birthday wishes to you.
703827	704127	Thank you.
704567	705708	Because your birthday was yesterday.
706868	707268	Thank you.
707728	709048	And how did you celebrate?
709649	710289	I killed people.
711369	711929	Oh, wait.
712289	712809	I'm sorry.
713530	718331	I went to the auction, and I got Legendary Axe for the TurboGrafx.
718851	719351	Cool.
720211	721872	I didn't know they made that for TurboGrafx.
722112	722212	Yep.
723152	727299	And I got, um, uh, what was it?
728580	732106	Some game for the Atari adapter for the ColecoVision.
733484	734325	I don't remember what it was.
734905	735325	Centipede.
735906	736246	Oh, cool.
736266	737006	Turns out I already had it.
739808	743151	This lovely bit of literature that you gave me.
744031	745973	Ah, yes, my present, which are always the best.
745993	747954	Which I'm busy trying to remember.
748975	753198	It sucks because I'm so out of practice on my Hiragana that I'm having problems reading some of these names.
753298	757160	I haven't gotten anything yet because I had to buy my mom something her birthday's tomorrow.
757741	758261	That's fine.
758281	759442	You know, priorities and all.
760804	762867	And you gave me a gift certificate around here.
763287	765570	So I can go buy my Battle Royale novel when it's in stock.
765590	768873	So you can indulge more in that Battle Royale-ness.
770195	772197	That big inside joke that just won't die.
772757	774239	It's beyond an inside joke at this point.
775300	776041	It's a lifestyle for some.
776061	778303	I got a really cool card from Brad and Irene.
778524	780406	It's one of my favorite first...
782400	787163	One of my favorite Farside ones is the Many Expressions of the Irish Setter, which are all the same.
789105	794769	And I got money from Grandma, which I put in the bank to pay bills because I'm currently not working.
796330	798792	And I got lunch from Jessica.
800213	804416	And she bought me a clip-on desk lamp so that I can not go blind when I draw.
804816	805297	Very cool.
806297	809860	And I got... You can maybe double and use it with your Game Boy, too, if you want to.
810498	811719	My Game Boy has an afterburner.
813220	814782	Oh, I've got an afterburner.
814902	816003	I've got lots of ice cream.
816483	818164	Ooh, ice cream's always good.
818345	819426	Did you have cake and ice cream?
819626	820386	No, I didn't have cake.
820647	821667	I had brownie and my ice cream.
821988	823289	Well, that's close enough to cake.
823309	823809	Cake pie!
824910	826832	Cake pie!
826952	827973	I want ice cream.
828593	829314	Julie got me boba.
830322	832182	We can go get, let's get ice cream after tonight's show.
832302	832642	Okay.
832702	833403	I want ice cream too.
833423	834223	Are you going to get me ice cream?
834483	835063	I guess I can.
835243	835403	Woohoo!
835423	836323	Because I'm broke.
836343	837443	See if I didn't spoil you enough.
838063	838584	That's alright.
838804	839984	I need more ice cream.
840124	842064	I'm only looking for cake pie ice cream though.
843064	848065	We should take, we should get some cake batter ice cream and some like pumpkin pie ice cream and mix them together.
848125	848485	Voila!
848565	849286	Cake pie ice cream.
849306	850546	They don't have pumpkin pie ice cream.
851226	852386	They don't have pumpkin pie ice cream?
852406	854987	But you know what my favorite is now is getting the cake batter ice cream.
855007	855067	Huh?
855087	857047	Get pumpkin ice cream.
857850	858610	I'm so fucking hungry!
885595	889037	My favorite now is the cake batter ice cream with brownie and coconut.
891198	894100	I used to get cheesecake with graham cracker and cherries.
894620	897462	This is like Iron Chef where the secret ingredient is cold stone.
898282	903665	By the way, do you want to see a really painful way to die?
904045	905666	Okay, because this will be great radio.
905826	907087	Isn't this a great picture of...
908117	911519	That's... Oh my god, he looks like Nine in that picture.
911559	912639	Or are you talking about the other one?
912740	913300	Oh, hello.
913480	914861	Okay, I'm gonna scan this.
914901	915581	He's sexy.
916161	920104	And send pictures of this to everybody here because this is like the best manga ever.
920564	921684	It shows this guy here.
921905	922825	I forgot which one he is.
922845	926507	It has this picture of him, of Nimura hugging the younger one to comfort him.
926987	929008	And then these bullets going through his face.
930129	930289	Aww.
930429	933551	And like it has the bullet time trail like in, um, what was that game?
934528	935008	on PC.
936069	937049	Dead to Rights.
937509	938210	No, no, no.
938670	940971	Where he'd go into bullet time and he'd dodge all the bullets.
941311	941772	Dead to Rights.
941792	942212	Max Payne.
942392	943032	Max Payne.
943092	943652	Max Payne.
943953	947414	You know what I have to say about that?
947454	947995	He looks like Big Boy.
948015	948855	Death to Frodo.
949175	950055	That's what it looks like.
951116	951996	Death to Frodo.
952777	953677	He does look like Frodo.
955918	960060	And look, when he falls on the ground, his head busts open and there's brains all over the place.
961181	961221	Ew.
962213	967937	and he got shot across his belly and his intestines start coming out so he freaking duct tapes them back in.
968437	969117	Oh, nasty.
969258	970999	Are they ever going to make a Battle Royale video game?
971579	972099	Why don't they?
972419	972900	They should.
973400	974101	Why don't they?
974401	977002	Because we suck.
977222	979104	They won't make a video game because we suck.
979744	982886	Damn right, because the stupid Americans get offended by everything.
983206	984487	Oh my god, it's red!
984687	986148	Which insinuates blood!
986388	987289	Which is bad!
987689	990531	As he's bleeding to death, he wires a bomb.
991724	992564	This is so cool.
994185	996205	I don't know if I'm going to regret buying that for Jamie.
996305	997726	She might come up with too many ideas.
998086	999626	And then he tries to pull up Kiriyama.
999706	1001787	And Kiriyama, by the way, looks like the Uber Bishonen.
1002767	1005127	Instead of looking like the Japanese guy who's not.
1005908	1010369	If you hear of any large explosions in the Sacramento area, I've never met Jamie.
1010709	1011409	Never knew her.
1014037	1014478	Anyways.
1017802	1019985	So, orders of business tonight.
1020526	1025833	As you may or may not know, tonight, ladies and gentlemen, is the last episode of Orange Lounge Radio.
1027736	1028437	In this studio.
1030936	1034160	Just had to get him going for a minute.
1034240	1043852	Yes, tonight's the last episode of Orange Lounge Radio in this studio, in this lovely little house that I'm in right now in Orange Lounge World headquarters in Citrus Heights, to be specific, California.
1043932	1046636	It's the last one here because we're going to have Battle Royale here tomorrow.
1048908	1051391	We'll invite a bunch of people that I don't like and then I'll kill them.
1052673	1053194	Then I'll die.
1054035	1056698	So, we have the chat room going for a minute.
1056718	1057560	They're all, no!
1058561	1059102	I love lag.
1059843	1062706	Anyway, actually it's... Haha, fooled you!
1064108	1064969	We got a lame alert.
1066591	1070696	Actually, what's going to happen, next week's show, okay, what's happening next Saturday is the big move.
1070736	1073159	And what's happening is I'm moving out of the house I'm in right now.
1074220	1078845	And I got to give a big thank you on the show, even though he's not listening right now to Brian, my current roommate.
1078865	1080107	I don't know if he is listening.
1080167	1080447	I don't know.
1080808	1082149	But he's put up with a lot of crap.
1083925	1084465	DarkSakura, DarkSakura
1109329	1110250	I'll have the computer set up.
1110270	1111591	That's like priority number one.
1111651	1112812	I can't live without my computer.
1112832	1114193	You said we might not have the internet in time.
1114213	1114813	That's my problem.
1114833	1116435	You have the computer set up and there might not be an internet.
1116475	1116615	Why?
1116755	1118336	We have to call this week and get it set up.
1118356	1119517	I know, I know, I know.
1119557	1122359	They might not come out until Monday or Tuesday if they're not open on the weekend.
1122780	1123460	I have to dial up.
1123781	1124781	I still have my internet.
1124841	1125862	We'll figure something out.
1126062	1126703	We'll figure something out.
1127223	1130146	But bare minimum, there'll be a tape show next week.
1131006	1132908	There'll be some kind of show, new show this Sunday.
1133268	1133969	And then after that...
1135587	1137168	New show, that'll be interesting.
1137949	1139350	We'll get you a stripper.
1140731	1146255	My birthday's coming up, and this is a big one, because I'm 25 this year.
1146875	1148857	I can't believe I just gave my age over here, God.
1149357	1154501	Now I'm like, I just placed myself in that, I'm an over 20 DDR player.
1154521	1160445	I was very happy because the guy at Coldstone, first of all, Julie made them sing to me.
1161838	1164218	I wanted to die.
1164258	1171020	Secondly, the guy behind the counter, in all seriousness, because I looked to be sure, asked me if I was turning 18.
1171120	1175521	I was like... Did you get carded to an R-rated movie?
1175961	1178221	Hey, that's not funny.
1178801	1180101	That's not funny at all.
1180461	1183082	Stupid freaking dead man at Campus Chico Theater.
1183222	1183862	You suck.
1184582	1187663	At least he didn't ask for my... Hi, can I speak to your mommy?
1187903	1189323	No, you can't fucking talk to my mommy.
1190157	1192678	Why would the Coldstone guy want to talk to your mommy?
1192999	1193359	No.
1194920	1198102	See, I don't mind when I'm looking face-to-face with someone.
1198482	1200323	Hey, little girl, I bet your mommy's pretty hot.
1201343	1201804	What the hell?
1201824	1202944	Why would he want to see your mommy?
1203344	1205085	No, I'm talking to him.
1205125	1205366	I know.
1205486	1205906	I know.
