start	end	text
8177	12360	Toto, I have a feeling we're not in Kansas anymore.
15943	20827	You're listening to Orange Lounge Radio, for Monty Talk and then some.
21528	24230	Uh, mostly the and then some part of that.
24590	28654	Orange Lounge Radio is created by a bunch of potty-mouthed adults.
29214	33978	Orange Lounge may contain sexual, perverted, and mildly retarded content.
34608	38355	You probably shouldn't let your children listen to Orange Lounge Radio.
38636	40118	Yes, I will spank your child.
40519	42262	If you're not going to do your job, goddammit, I will.
44887	45048	Well...
47952	49133	Here's my big opening.
49593	50734	A sphincter says what?
50914	53035	I'm super, thanks for asking.
53395	55976	Oh, you little bitch trove from hell.
56016	57657	What am I doing here?
58057	59658	No.
59878	61219	Dodge this.
61679	63560	This is a tasty burger.
63780	66282	Look, you stupid bastard, you've got no arms left.
66462	67102	Yes, I have.
67522	69343	Look, there's a flesh wound.
69564	75607	Searching for a boy in high school is as useless as searching for meaning in a polyshorum.
76753	77554	Oh, yeah?
77694	80995	Well, I hope your babies look like monkeys.
81236	82296	DarkSakura.
82516	83357	I've got a sniff.
83637	84217	Skye.
84297	86378	But I'm playing it for the bartender, so suffer.
86759	87279	Loki.
87519	88520	I hate you!
88960	90981	Orange Lounge Radio.
92342	97685	We are live, and this is episode number 48 for June the 8th of 2003.
98365	104929	You're tuned in to the Beemani Scene's most bitchy radio station of all things Beemani.
105936	108116	My name is Rob Roberts, but you might know me as Sky.
109417	111257	Joining me as always are my awesome co-hosts.
111317	114298	In this corner, the happiest bunny on the farm, Jamie.
114478	115498	Miss Summers, if you're nasty.
115538	116898	Shut up, I'm watching Transformers.
118799	120299	You know her better as DarkSakura.
121159	124520	In that corner, say hello to our TechMassa Loki.
124960	125280	Hello.
126300	127201	I lied, you guys.
127221	127841	This is episode number 47, not 48.
127881	128081	My bad.
128101	128921	I lost count.
128961	129161	Oops.
135267	135887	So what?
136108	137168	Everybody makes mistakes.
137228	137809	Leave me alone.
139810	140431	Go away.
140571	140991	Die.
142873	145995	Also with us tonight, say hello to nobody.
148377	148997	That's right.
149577	149998	It's empty.
150058	152179	It's a ghost town here in Orange Lounge Radio headquarters.
154841	156663	Nobody loves Orange Lounge Radio anymore.
157723	158324	I had a cry.
160561	161422	I missed it.
162423	165785	They showed, like, the crappiest Transformers, though, when they showed the commercials.
165906	168928	And we're getting phone calls as if we could, like, take calls on the show.
169128	170069	I'm getting more carrots.
170790	171430	How rude.
172291	173432	I am being a good girl today.
174132	175033	How are you being a good girl?
175053	175894	I'm eating carrots.
177836	178656	As opposed to?
179337	180097	Eating candy.
182399	182780	Alrighty.
183701	190265	Well, we'll be talking to us, ourselves, since there's no guests here, we'll just be talking to ourselves a little later.
191566	197609	And first, we're going to take a quick break, though, featuring some five key songs.
199030	199870	Yay!
200451	204253	And this first song is called Waterflame, and it's by Kay.
205314	211617	And actually, a buddy of mine, Navi, who's been on the show before, he picked up the Kay album not too long ago.
211677	212298	It's pretty cool.
212538	212718	Cool.
213601	213841	Yes.
214522	216525	So, lots of fun stuff coming up tonight.
217026	219490	We're going to do listless tonight because we haven't done it in forever.
220151	221993	And, yeah.
222234	223676	So, enjoy.
223776	224257	We'll be back.
364412	365513	Thanks for watching!
400326	406111	In the city where neon lights shine, that person left a shadow and disappeared.
406131	408814	Suddenly, he said goodbye and said he loved me.
408934	412837	At that time, I realized that memories are in dreams.
412857	414458	They wake up when they're forgotten.
429054	434836	I love you, I love you, I love you, I love you, I love you, I love you, I love you
498688	499632	I do it, I do it
537521	539923	It's more contagious than SARS.
541405	543267	It's Orange Lounge Radio.
544088	544888	That's right.
545209	546830	You are listening to Orange Lounge Radio.
548091	550774	And you just listened to a whole bunch of 5 key songs.
551174	551995	Didn't you enjoy that?
553036	556380	Athletics with Disco Dog from 7th Mix.
556460	557921	Before that, Love to Me.
558161	559763	Hey, Athletics did Please Don't Go.
559943	560343	That's right.
560423	561805	Athletics also did War Game, right?
562392	562712	I think.
563052	568276	Before that, the Japanese version of Love to Me, as it's easily called, from Third Mix.
568576	569256	That's debatable.
570777	579543	Before that, GTS featuring Melody Sexton from Fourth Mix, Brand New World, and starting that off, K from Seventh Mix with Water Flames.
579623	581184	I can't get my single propeller open.
581344	583325	That sounds like that Margaret Cho joke.
583385	584326	Water's flame.
586860	588861	So yeah, it's pretty mellow here tonight.
588901	590822	We don't really have a whole lot going on.
591662	595564	Not a lot going on in the land of Orange Lounge Radio this week.
595664	599465	Actually, there were a lot of changes that happened at the station on June 1st.
599525	601026	Hopefully they've been invisible to you.
601874	604915	There's been some positive changes and there's been some negative changes.
605135	606575	And this is all due to Live365.
607135	610596	Positive changes, we've been given a lot more web space.
611136	613856	So, we're gonna add a whole bunch of new songs.
614076	617397	So, Jamie brought me a whole bunch of new stuff to add into the normal playlist.
617437	618537	And you get to hear it all tonight.
619338	620158	And, um, yes.
620918	622358	I've got some good news and bad news.
623198	626439	The good news is, I saved lots of money by calling Geico.
628539	629660	What the fuck is that?
629700	630180	You're an idiot.
