start	end	text
8581	12727	Toto, I have a feeling we're not in Kansas anymore.
16368	21230	You're listening to Orange Lounge Radio, the Monty Talk and then some.
21931	24632	Uh, mostly the and then some part of that.
24992	29014	Orange Lounge Radio is created by a bunch of potty-mouthed adults.
29655	34417	Orange Lounge may contain sexual, perverted, and mildly retarded content.
35017	38739	You probably shouldn't let your children listen to Orange Lounge Radio.
39059	40540	Yes, I will spank your child.
40940	42661	If you're not going to do your job, goddammit, I will.
47455	49516	Well, here's to my big opening.
50016	51156	A sphincter says what?
51436	53457	I'm super, thanks for asking.
53817	56418	Oh, you little bitch troll from hell.
56438	59699	What am I doing here?
59739	60019	No.
60279	61640	Dodge this.
62080	63961	This is a tasty burger.
64181	66662	Look, you stupid bastard, you've got no arms left.
66862	67522	Yes, I have.
67962	69763	Look, there's a flesh wound.
69963	76025	Searching for a boy in high school is as useless as searching for meaning in a polyshorum.
77162	77902	Oh yeah?
78123	81424	Well, I hope your babies look like monkeys.
81644	82725	DarkSakura.
82905	83685	I've got a sniff.
84065	84606	Skye.
84706	86787	But I'm playing it for the bartender, so suffer.
87167	87687	Loki.
87947	88948	I hate you!
89368	91409	Orange Lounge Radio.
93430	96191	We are live, finally.
97592	98492	And this is episode number 61.
100598	101879	Well, at least a fraction of it.
102380	105142	The first 20 minutes is gone forever, but that's okay, we didn't do them.
106404	113350	For September the 21st of 2003, you're tuned into the Bomani Scene's most Comcast-hating radio station of all things B-Money.
114271	116113	My name is Rob Roberts, but you might know me as Sky.
116574	118355	Joining me as always are my awesome co-hosts.
118415	121018	In this corner, the happiest bunny on the farm is Jamie Summers.
121038	122279	You know her better as Dark Sakura.
122920	123701	Get that thing out of my face.
125279	127260	She's too busy playing Dance Summit right now.
127280	130081	Well, um, you know, we have other things going on, like the show.
130162	131202	That's more important.
131722	132823	The game will have to come later.
134083	136125	Uh, in that corner, it's Mother.
136225	137945	Say hello to her tech, Master Loki.
139006	139726	Hello!
139746	142948	You chance her up late playing that damn game.
142968	144629	Well, we had to do something without a show.
147489	148669	Why is it snowing indoors?
149470	150150	Oh, it's not outdoors.
150170	151010	Why is it snowing?
151110	151610	It's petals.
151690	153311	Oh, God, I thought you were talking about real life.
153371	154311	I was like, what the hell?
154431	155551	Is the ceiling caving in?
156412	158092	Yes, Rob, it's snowing outside.
158132	160253	That, you know, special 100 degrees snow.
162114	163074	We know.
163874	164914	Turn it off.
166635	168756	No, you didn't want to talk when you had the mic.
168916	169716	So, meh.
175871	182911	I like Dance Summit Okay, next Alright We're not going to take an opening break tonight We're just going to go right into the show
184232	186374	Yeah, you had a 20 minute opening break before the show, so deal.
187875	191117	So, hello and welcome to Orange Lounge Radio episode number 61.
192358	193599	We're going to get right into it.
194279	199643	If you want to join our chat room, www.callybomani.com, click on Orange Lounge and click on chat.
200523	202745	If we're a little dazed, you just have to forgive us.
202805	205386	It's taking us a minute to kind of get back in the groove here.
205487	206187	Trying to do the show.
206247	207268	Hey, get in the groove.
207288	208428	I made a DDR.
208989	209189	No.
210010	212511	Do you want to... Ow!
212751	212972	Okay.
213872	214733	Get out the whip, babe.
214994	215535	All right.
216075	218238	If you want to visit our... We'll come out later, I'm sure.
218258	227311	If you want to visit our webcam, because we have a lot of guests in the studio tonight, go to our chat room and they'll tell you how to get to the webcam because we're not giving out the URL here because that's incentive to go to the chat.
228112	228473	Okay.
229534	232277	Let's go around and say who's here tonight, because we have a lot of guests here.
232297	234499	So you know DarkSakura and Loki, of course, by now.
234659	235260	We also have.
235480	235900	Say hello.
236701	238763	It's Puppy over here.
238863	240305	Tepp Puppy is in the house.
240865	243247	Yes, after... Be careful with that!
244328	245249	If you break something...
246090	253676	Also with us tonight, say hello to, and this is somebody who's new, never been to the show, say hello to Violet Hypergirl Hello, how are you?
254836	264784	She brought her whip and everything, so she's going to, oh hello Not in the house, not in the house dear, unless it's in the bedroom Wait, you're 18 now, huh?
267946	269187	When's your first movie coming out?
269247	273130	I'm just kidding It's not going to happen with me, don't worry I already went clubbing, so yeah
274254	274935	Ah, you went clubbing.
274955	278077	Where'd you go?
278117	287203	We went with Randy, Yellow Jacket Boy, also known as DJ Taka on the boards, or Taka Shonen, as you guys might know him on Calibumani.
288084	293848	We also went with Aori, we went with BJ, and we went with Psycho Joe.
294669	295029	Wow.
296450	296870	Yeah.
297531	300112	Apparently clubbing is a place where everyone's either drunk or high.
301413	302074	Not when I go.
302194	302934	Well, drunk maybe.
304648	305469	I get drunk a lot.
305569	306249	I don't get high.
306309	306869	I don't do that.
307429	308470	I don't endorse weed.
308810	312371	Now, drunk on the other hand, that's different.
312771	314312	Yeah, drunk on the other hand, completely different story.
316252	320114	Okay, I'm noticing we're still having some connection stability issues.
320194	323795	Like, our chat room's running fine, but the station seems to be having...
325071	325851	Thanks for watching!
344718	372120	California, Oregon, Washington all had an outage on Comcast so we all went down for about 10 minutes but for some reason some areas went down for an hour and we were one of those lucky areas so anyway bear with us the show will be played back in its entirety on Wednesday and Thursday of course the webcam is also being switched over to one minute refresh because of the traffic on the net right now because of this Comcast outage so I'm switching it over to one minute refresh
373553	378175	I think the buffer, introduce yourself one more time, dear, because I think the buffer hit right when you were introducing yourself.
379415	381316	Hello, it's VHG.
382036	383236	Yeah, okay.
383376	384917	Hi.
385077	385417	All right.
388658	389858	Do you need to let out a burp, Jamie?
389958	390599	Just let it out.
390899	391599	Let it out, girl.
392919	394720	I'm going to exercise the burp.
395380	398601	My burp is stuck in my esophagus.
399641	401042	Yeah, pat her on the back like a baby.
402688	409411	I couldn't help because it's like my throat is coated in Pepsi vanilla.
430779	432300	You're like a gassy baby right now.
434862	443107	I knew you were full of hot gas, but... I cannot put that in my hair.
444608	444868	No.
446449	448130	VHG, do not give her the whip.
448170	448791	That's bad.
449311	450372	She doesn't need the whip.
451152	452453	We still have more people to introduce.
452673	456196	We have a guy here from halfway across America we haven't even said hello to yet.
456276	457196	So let's get over here.
458437	459458	Let's go around the couch here.
460313	460894	Say hello.
462555	462955	Hello.
463455	463916	Hi, Joey.
463956	464316	How are you?
464476	464796	I'm good.
464836	465517	You're back!
466077	466598	I'm back.
466638	470080	Joey played his very first game of DDR today.
470240	470601	I did.
470801	477446	This is exciting that one year into Orange Lounge Radio, we can still find DDR noobs and kind of like follow them along as they're getting into DDR.
477466	478106	It's so cute.
481549	483991	Dude, Matt built a ferret launcher.
484011	484611	That's awesome.
484631	487353	You missed it.
487673	488554	Oh, you booked it?
488754	489515	It wasn't that good anyway.
493953	494794	The burp of all burps.
495075	495395	Ferret.
495636	495956	Ferret.
496337	497078	I need the ferret.
497699	498800	Okay.
499221	499682	I need one.
500983	501885	Let's see who else is here.
501905	502285	There he is.
505080	505801	Yeah, baby.
506261	507101	Pass it on.
507942	508723	And here we go.
509083	512305	All the way from Kansas is Shane.
512705	513286	Hi, Shane.
513506	513986	Hi, Rob.
514326	514827	How are you?
514947	515267	Good.
515747	517709	And what's your name online for people that might know you?
517849	518970	Oh, nobody knows me online.
521491	522372	I know you online.
522392	524613	Then it'd be Zex and Shad.
525434	528216	Did you say you posted on some Kansas City board or something?
529135	530496	Yeah, Miklatov.
530656	531477	But you posted Shane?
532197	533398	No, I posted Miklatov.
533678	533898	Oh, okay.
534659	536199	Well, hello and welcome to California.
536340	536640	Thank you.
536960	538441	What brings you to California this week?
538721	540722	Family business and to get away from school.
541282	541623	Right on.
541843	542243	Good deal.
542603	544765	And what do you think so far of California?
544785	545905	We're a little crazy here, huh?
546365	546986	Just a little.
547046	548066	The ferrets flying.
549367	550128	And the burping.
550148	552609	No show for 20 minutes.
555811	559593	And it's nice to find Dance Summit, like, people that like it.
559633	561454	Dance Summit was pretty cool, I've got to admit.
561474	563956	That's what we were kind of filling in our downtime with, so that was fun.
564636	566537	So, a big hello to you, thank you for being here.
566657	567057	Thank you.
567117	573181	This is neat, because just like, what, two weeks ago we had John Fields here all the way from, like, way back east, Connecticut.
573801	574101	New York.
574121	575042	New York.
576082	583486	And, um, he came... Yeah, all the way from Connecticut, and now here we have another fan all the way from Kansas.
