start	end	text
10091	14157	Toto, I have a feeling we're not in Kansas anymore.
17816	22698	You're listening to Orange Lounge Radio, where Monty talks and then some.
23379	26080	Uh, mostly the and then some part of that.
26460	30462	Orange Lounge Radio is created by a bunch of potty-mouthed adults.
31103	35885	Orange Lounge may contain sexual, perverted, and mildly retarded content.
36485	40187	You probably shouldn't let your children listen to Orange Lounge Radio.
40507	41988	Yes, I will spank your child.
42388	44109	If you're not going to do your job, goddammit, I will.
46753	48723	Thank you for watching!
49815	50955	Here's to my big opening.
51475	52636	A sphincter says what?
52656	54916	I'm super, thanks for asking.
55276	57857	Oh, you little bitch troll from hell.
57877	59757	What am I doing here?
59937	61498	No.
61738	63138	Dodge this.
63538	65398	This is a tasty burger.
65658	68079	Look, you stupid bastard, you've got no arms left.
68319	68979	Yes, I have.
69359	71180	Look, there's a flesh wound.
71420	77781	Searching for a boy in high school is as useless as searching for meaning in a Pauly Shore movie.
78633	79333	Oh yeah?
79554	82895	Well, I hope your babies look like monkeys.
83095	84156	DarkSakura.
84356	85256	I've got a sniff.
85517	86057	Skye.
86157	88218	But I'm playing it for the bartender, so suffer.
88618	89118	Loki.
89399	90419	I hate you!
90819	92860	Orange Lounge Radio.
94841	100004	We are live, and this is episode number 63 for October the 5th, 2003.
100424	106928	You're tuned into the Bomani Scene's most sexually educated radio station of all things B-Money.
108783	109704	My name is Rob Roberts.
109744	110885	You might know me as Sky.
112006	114008	Joining me as always are my awesome co-hosts.
114048	116691	In this corner, the happiest, most tardy bunny on the farm.
116731	117672	Who's tardy?
117692	119113	You know her better than DarkSakura.
120074	122557	Hi, everybody.
122717	125840	It's Jamie.
125900	126040	Yes.
126080	126921	Yes, Sak.
126961	129264	Jamie's not here right now, so I don't know where she's at.
130501	134765	She's probably stuck in traffic somewhere and we'll be here- FUCKING OLD PEOPLE ON THE WAY OVER!
134785	136646	THE DUMB BITCHES ARE RUNNING!
137007	139429	She parked in my space and I told her to fuck off!
140069	142571	So, I don't know where she is.
142632	143732	She'll be here soon, I'm sure.
143752	148296	Uh, in that corner, say hello to our tech master, Loki.
149457	150418	I'm a trainer.
153441	153861	Trainable.
153961	154422	Trainable.
154522	155342	I'm a trainable.
156624	157985	That sounds like a lunchable.
158889	163553	And also with us tonight, as well, say hello to our many guests we have in the studio.
163593	167656	We have the one and only Ted Puppy.
168236	168756	How are you?
170218	170958	Tired and pissy.
172099	172539	Alright.
174160	179004	Also with us, say hello to the ever so lovely VHG.
179324	180845	And that stands for many, many things.
181586	182647	Yes, yes it does.
184648	185069	How are you?
185809	186430	I'm good.
186770	186950	Good.
187583	190744	Also with us tonight, say hello to Bradley Arcadian.
191745	192165	Welcome.
193126	193906	You've got mail.
199168	202530	Also with us tonight is Nellie, but she doesn't talk, so we won't bother giving her a mic.
204696	206317	And she'll do sign language into the webcam.
206337	206697	Thank you.
207438	208118	Yeah, I don't get it.
208378	211300	Like, she'll be on the cam, but she won't talk.
211340	213482	Whereas Jamie will talk, but not be on the cam.
213562	216724	So, like, why don't you just pretend that Nelly is Jamie?
