start	end	text
2293	3434	Thank you for watching!
59123	59724	Thanks for watching!
85013	86095	Thanks for watching!
114763	116144	Thanks for watching!
152740	154140	Thank you for watching!
182425	183745	Thank you for watching!
214912	219095	Toto, I have a feeling we're not in Kansas anymore.
222717	227641	You're listening to Orange Lounge Radio, where Monty talks and then some.
228321	231063	Uh, mostly the and then some part of that.
231423	235486	Orange Lounge Radio is created by a bunch of potty-mouthed adults.
236087	240870	Orange Lounge may contain sexual, perverted, and mildly retarded content.
241502	245264	You probably shouldn't let your children listen to Orange Lounge Radio.
245564	247025	Yes, I will spank your child.
247426	249187	If you're not going to do your job, goddammit, I will.
253989	256091	Well, here's to my big opening.
256631	257752	A sphincter says what?
258032	260033	I'm super, thanks for asking.
260413	263035	Oh, you little bitch troll from hell.
263055	264396	What am I doing here?
264416	265376	Dodge this.
265436	265696	Mm-hmm.
268755	270615	This is a tasty burger.
270836	273316	Look, you stupid bastard, you've got no arms left.
273556	274196	Yes, I have.
274576	276457	Look, just a flesh wound.
276677	282958	Searching for a boy in high school is as useless as searching for meaning in a Pauly Shore movie.
283919	284759	Oh, yeah?
284859	288240	Well, I hope your babies look like monkeys.
288440	289460	DarkSakura.
289720	290660	I've had a Smith.
290860	291420	Sky.
291500	293641	But I'm playing it for the bartender, so suffer.
294001	294481	Loki.
294761	295821	I hate you.
296181	298202	Orange Lounge Radio Arts.
300925	302405	We are live!
303265	306246	This is episode number 64 for October the 12th of 2003.
306306	314308	You're tuned in to the Beemani-themed, most cream-filled station of all things Beemani.
314408	315528	That's full of suck.
315748	318309	My name is Rob Roberts, you might know me as Skye.
319249	321009	Joining me as always are my awesome co-hosts.
321029	323430	In this corner, the happiest bunny on the farm is Jamie Summers.
323470	324790	You know her better as DarkSakura.
324890	328611	Never eat reduced-fat oatmeal cream cookies, because they suck.
328651	329871	We'll get into that in a little while.
332599	335582	Also with us tonight, say hello to our tech master, Loki.
335602	336702	Hi.
337723	338244	How are you?
339405	339745	Hi.
340205	340485	Hi.
341706	343488	Also with us tonight, we have some guests.
344449	349913	Starting off with... Surprise me.
351134	351514	Someone.
351854	352955	Hi, Bradley.
353015	353676	How are you doing?
354436	358379	I have faced the evil reduced fat cookie of death and I have survived.
358760	360241	And all I got was this crappy t-shirt.
363205	365245	Also, let's say hello to 23rd Magus.
365405	370447	I really need to stop listening to Travis, because every time I see you, you're always like, I'm gay!
372247	372667	Shut up.
373328	379309	I know, remind me to save that sound clip for the next intro, whenever we introduce Andrew.
386113	388155	We'll be talking to everybody more a little bit later.
388255	389715	We have a lot of news to talk about.
390156	396259	DDR Extreme, where Matt's arcade cabinet stands.
396879	398620	Orange Lounge Radio goes to the movies.
399661	400641	And plenty more.
400962	401802	I actually went to the movies, too.
401982	402522	When we come back.
402542	405564	Yeah, I went to the movies, too, actually.
405944	406244	Did you?
406805	408065	Did you see the same movie we all saw?
408085	408726	Yes, yes, I did.
409406	410767	Well, then you get to talk with us.
411451	412612	That movie owns my soul.
412652	413352	We'll be back.
413372	413872	Don't spoil it.
413892	414893	And part of my intestines.
414913	415653	We'll be back.
416514	418795	First, we're going to play a song from the new V-Rare album.
418955	420696	It's a long version of Drop Ta-Bomb.
421837	425018	And we'll hear Un De Trois from Max Extreme.
425038	426079	Watch your mouth.
426579	427760	I called it Max Extreme.
428120	430141	From DDR Extreme Consumer.
430241	430501	What?
430662	430962	Like 1, 2, 3?
431462	432983	Yeah, like 1, 2, 3 in French.
433423	436665	If you want to join in our fun, www.callybomondi.com.
436705	438446	Click on Orange Lounge and click on Chat.
439474	441774	and our chat room will say hello and give you our webcam link.
441794	442275	We'll be back.
445035	446235	Yeah, drop the bomb.
446255	446855	Drop the bomb.
446875	448576	Yeah, drop the bomb.
476306	503143	Yes, you can try to find the right system, now or never, it's a time trip It's easy to blast them all away, put a trigger for someone to say adios to today Don't get me wrong, I'm a pacifist, the mind can't do more than spit Explosives are not what it takes, you know the terrorists always make these mistakes What we gotta do is go momentum, if you need the right tools, invent them Ride the waves, time, count through the rhythm, the march of teachers, we gotta get with them The brain is degenerate, almighty, if I read it through, it's how your master's man goes sour Yes, I'm ready to take that fall, it's up to you to make that call to drop the ball Yeah, drop the ball
510840	513222	Let me see that ball Let me see that ball
535879	558470	What we gotta do is build momentum, if you need the right tools, invent them Ride the waves, time to come to the rhythm, the march of the future's begun, get with it The rain is staring all mighty far, we need to do it now, your master plan goes sour Yeah, if you're ready to take that fall, then it's up to you to make that call And if you don't work, make the real thing, wipe it out So drop the fall Yeah, drop the fall So drop the fall So drop the fall Yeah, drop the fall
567228	569271	Just drop the bomb Loki drop that bomb
598667	599788	Thank you for watching!
636156	637938	Actdeft meets Ecstasy
667834	674276	Mr. Random Person on the street, who, by the way, is not an actor, what do you think of the Orange Lounge being on a music and more show?
