start	end	text
4450	7571	We're sorry, you've reached a station that is unavailable at this time.
7791	8891	Please try again later.
10352	13473	We're sorry, you've reached a station that is unavailable at this time.
13693	17854	Please try again later.
20795	23916	We're sorry, you've reached a station that is unavailable at this time.
24136	25216	Please try again later.
26696	29817	We're sorry, you've reached a station that is unavailable at this time.
30037	31138	Please try again later.
37140	40261	We're sorry, you've reached a station that is unavailable at this time.
40481	41582	Please try again later.
43042	46163	We're sorry, you've reached a station that is unavailable at this time.
46383	47464	Please try again later.
53550	56672	We're sorry, you've reached a station that is unavailable at this time.
56892	57993	Please try again later.
59454	62575	We're sorry, you've reached a station that is unavailable at this time.
62796	63896	Please try again later.
69900	73022	We're sorry, you've reached a station that is unavailable at this time.
73042	74342	Please try again later.
75803	78925	We're sorry, you've reached a station that is unavailable at this time.
79145	80226	Please try again later.
86236	89358	We're sorry, you've reached a station that is unavailable at this time.
89578	90679	Please try again later.
92140	95262	We're sorry, you've reached a station that is unavailable at this time.
95482	99645	Please try again later.
102587	105709	We're sorry, you've reached a station that is unavailable at this time.
105929	107010	Please try again later.
108467	111610	We're sorry, you've reached a station that is unavailable at this time.
111830	115974	Please try again later.
118996	122139	We're sorry, you've reached a station that is unavailable at this time.
122359	123460	Please try again later.
124901	128044	We're sorry, you've reached a station that is unavailable at this time.
128264	129345	Please try again later.
135342	138464	We're sorry, you've reached the station that is unavailable at this time.
138684	139785	Please try again later.
141246	144367	We're sorry, you've reached the station that is unavailable at this time.
144588	145688	Please try again later.
151692	154814	We're sorry, you've reached the station that is unavailable at this time.
155034	156134	Please try again later.
157595	160717	We're sorry, you've reached the station that is unavailable at this time.
160937	162018	Please try again later.
168027	171150	We're sorry, you've reached a station that is unavailable at this time.
171370	172471	Please try again later.
173932	177055	We're sorry, you've reached a station that is unavailable at this time.
177275	181439	Please try again later.
184461	187584	We're sorry, you've reached a station that is unavailable at this time.
187804	188885	Please try again later.
190347	193469	We're sorry, you've reached a station that is unavailable at this time.
193689	194790	Please try again later.
200794	203915	We're sorry, you've reached a station that is unavailable at this time.
204136	205236	Please try again later.
206697	209819	We're sorry, you've reached a station that is unavailable at this time.
210039	211120	Please try again later.
217136	220258	We're sorry, you've reached a station that is unavailable at this time.
220479	221579	Please try again later.
223020	226163	We're sorry, you've reached a station that is unavailable at this time.
226383	227484	Please try again later.
233468	236610	We're sorry, you've reached a station that is unavailable at this time.
236831	237931	Please try again later.
239373	242515	We're sorry, you've reached a station that is unavailable at this time.
242735	243816	Please try again later.
249901	253024	We're sorry, you've reached a station that is unavailable at this time.
253244	254345	Please try again later.
255806	258929	We're sorry, you've reached a station that is unavailable at this time.
259149	263293	Please try again later.
266255	269378	We're sorry, you've reached a station that is unavailable at this time.
269598	270679	Please try again later.
272119	275260	We're sorry, you've reached a station that is unavailable at this time.
275480	279622	Please try again later.
282563	285704	We're sorry, you've reached a station that is unavailable at this time.
285924	287025	Please try again later.
288465	291606	We're sorry, you've reached a station that is unavailable at this time.
291826	292907	Please try again later.
298908	302029	We're sorry, you've reached a station that is unavailable at this time.
302249	303349	Please try again later.
304809	307930	We're sorry, you've reached a station that is unavailable at this time.
308150	309250	Please try again later.
315331	318452	We're sorry, you've reached a station that is unavailable at this time.
318672	319772	Please try again later.
321232	324353	We're sorry, you've reached a station that is unavailable at this time.
324573	325653	Please try again later.
331679	334801	We're sorry, you've reached a station that is unavailable at this time.
335021	336121	Please try again later.
337582	340704	We're sorry, you've reached a station that is unavailable at this time.
340924	345067	Please try again later.
348028	351150	We're sorry, you've reached a station that is unavailable at this time.
351370	352451	Please try again later.
353911	357033	We're sorry, you've reached a station that is unavailable at this time.
357274	361417	Please try again later.
364359	367501	We're sorry, you've reached a station that is unavailable at this time.
367721	368802	Please try again later.
370263	373406	We're sorry, you've reached a station that is unavailable at this time.
373626	374707	Please try again later.
380768	383911	We're sorry, you've reached a station that is unavailable at this time.
384131	385232	Please try again later.
386673	389816	We're sorry, you've reached a station that is unavailable at this time.
390036	391137	Please try again later.
397122	400265	We're sorry, you've reached a station that is unavailable at this time.
400485	401586	Please try again later.
403027	406170	We're sorry, you've reached a station that is unavailable at this time.
406390	407471	Please try again later.
413468	416590	We're sorry, you've reached a station that is unavailable at this time.
416811	417911	Please try again later.
419372	422495	We're sorry, you've reached a station that is unavailable at this time.
422715	426858	Please try again later.
429820	432942	We're sorry, you've reached a station that is unavailable at this time.
433162	434243	Please try again later.
435706	438829	We're sorry, you've reached a station that is unavailable at this time.
439049	440150	Please try again later.
446235	449357	We're sorry, you've reached a station that is unavailable at this time.
449577	450678	Please try again later.
452140	455262	We're sorry, you've reached a station that is unavailable at this time.
455482	456563	Please try again later.
462560	465682	We're sorry, you've reached a station that is unavailable at this time.
465903	467003	Please try again later.
468464	471587	We're sorry, you've reached a station that is unavailable at this time.
471807	475970	Please try again later.
478912	482034	We're sorry, you've reached a station that is unavailable at this time.
482255	483355	Please try again later.
484817	487939	We're sorry, you've reached a station that is unavailable at this time.
488159	489240	Please try again later.
495252	498374	We're sorry, you've reached a station that is unavailable at this time.
498594	499695	Please try again later.
501155	504277	We're sorry, you've reached a station that is unavailable at this time.
504497	505598	Please try again later.
511681	514802	We're sorry, you've reached a station that is unavailable at this time.
515022	516103	Please try again later.
517563	520685	We're sorry, you've reached a station that is unavailable at this time.
520905	525068	Please try again later.
528010	531151	We're sorry, you've reached a station that is unavailable at this time.
531352	532472	Please try again later.
533913	537055	We're sorry, you've reached a station that is unavailable at this time.
537275	538356	Please try again later.
544355	547477	We're sorry, you've reached a station that is unavailable at this time.
547697	548797	Please try again later.
550258	553359	We're sorry, you've reached a station that is unavailable at this time.
556381	558922	You're listening to Orange Lounge Radio.
559162	562184	Be sure to tune in every Sunday night at 6.30 p.m.
562224	568327	Pacific Standard Time for our live talk program where we talk about everything Bomani and then some.
568847	572729	In the meantime, enjoy our 24-hour Bomani Music and More program.
574324	575565	Sunday, Sunday, Sunday.
575605	577466	Get away from that TV and come on down.
577526	580508	It's a live 365 preferred membership spectacular.
580528	582770	With preferred membership, you'll listen ad-free.
582970	585612	And you'll have all access even to sold-out stations.
585672	587092	You get in, they don't.
588033	588934	Spectacular.
588994	590995	Listen to all stations all the time.
591015	591876	And ad-free.
591896	592696	Spectacular.
592716	593317	Come on down.
593337	593657	Bring the kids.
593677	594257	Bring the dogs.
594417	595078	Don't bring the cats.
595098	595718	Pull up a chair.
595758	597619	Get ready to listen, listen, listen.
597799	601982	Live 365 gives you all access to great music and talk all the time.
602042	602883	With no ads.
602963	603183	Get it?
603744	604845	at live365.com slash VIP.
604905	605125	Live 365.
638203	639165	Thank you for watching!
708414	709515	Thanks for watching!
847030	850391	Rock over London, rock over Chicago, Orange Lounge Radio.
850591	853671	It's a good place to listen to the music.
857372	863594	Hello, everybody, and welcome back to Orange Lounge Radio, episode number 67, now in progress.
863974	864114	So...
865839	870601	Jamie, tell me about... I'm going to go sit in the living room so I can show up on cam, because otherwise the cam's very boring.
872541	884045	If you want to... If you want to join us on cam, head on over to our chatroom, www.callybomani.com, click on Orange Lounge, and click on chat.
884165	888026	And in the chatroom, by the way, chatroom is up on the television screen, so we can all see what you're saying.
889067	890027	I'm going to molest them.
890107	891628	It's interactive when you're in our chatroom.
893317	899598	Jamie, but first tell us, I want everybody to know about these games that you brought to the show tonight, because they're pretty cool.
902339	903759	I had to molest the chat room, sorry.
903859	904279	That's alright.
905139	907939	Well, I'll put them up on, the cam's updating, right?
907959	909740	Yeah, once in a while.
910620	913320	Well, you have to explain for those that aren't going to be on the cam.
913340	915281	I am an old school gaming freak.
915901	916661	I love old games.
917461	918401	Nothing wrong with that.
918621	922302	When Dan and I discovered that Sega was kind enough to...
923257	926380	Release updated versions of their older games.
926460	928161	We hopped right on it and grabbed our three favorites.
928602	928842	Right on.
928862	932305	Of course, one of them was backordered, so we're still waiting for a Phantasy Star collection.
932465	933426	No surprise there.
933486	935568	Well, actually, this is a remake of the first Phantasy Star.
936028	938911	If anyone ever played it on the Master System, you know what I'm talking about.
939211	939391	Right.
940232	945516	But they put out another two games that are probably about my second and third favorite game ever.
945917	947058	And what will be the first game ever?
947739	948440	Guardian Legend.
949000	951742	I seriously doubt that's ever going to get a release.
951782	958427	But the first one I'm putting up on cam right now is probably my other favorite game like ever.
958667	959868	And for those that can't see the cam.
961169	963411	I'm trying to get to where it'll adjust.
964011	965012	It's Fantasy Zone.
966513	968474	The game that brought us the Opa Opa.
969715	971697	Which is this cute little ship with angel wings.
971737	972317	With feet.
972618	974379	And when you're on the gun he has little legs.
975223	976423	and he's super cute.
976743	979524	See, there it is on the camera, Fantasy Zone.
979884	984865	And then the other awesome game... It's funny because the way you held it up, you still have Loki on part of the picture.
987186	988046	I didn't get it up there.
988126	990807	You have a very blurry picture of Space Harrier up there now.
991467	991927	Let me see.
991987	993007	This may be a little bit better.
993247	993547	Okay.
994227	995888	So Space Harrier being the other game, which is...
996468	1003433	For those that may not recognize Space Harrier by name, because I didn't at first, I kind of had to get visuals of these games.
1003453	1004594	So let me kind of describe them for you.
1004654	1008377	Fantasy Zone is like this beautiful... It's sort of like Defender.
1008477	1011339	It's like Defender, but in beautiful, beautiful pastels.
1011740	1013121	And I never thought I'd... It's like happy music.
1013261	1018284	I never thought I'd refer to pastels as a beautiful thing, but Fantasy Zone really pulls it off.
1018345	1020206	It's like uber cute in the way it's painted.
1020246	1021487	It looks like a color by number.
1021727	1031272	And when you're watching, when you're looking at, you know, dead on, it looks like it's fully 2D, but they're really actually flat, self-shaded polygons.
1031592	1044039	That's kind of the point I wanted to get to about these re-releases, is that they didn't just... Now, it's not like a Namco Museum game or an Atari Museum game where they just took the old games, put them on a CD, and emulated them, basically.
1044479	1044679	No.
1044959	1046060	They took these games...
1046580	1046921	DarkSakura,
1062501	1068189	I wasn't like huge fans of them like Jamie was when they were first out, but I remember playing Fantasy Zone.
1068209	1069150	I ran it at one weekend.
1069250	1077201	I played it on the Nintendo where it looked like barf because the color palette isn't the same as it is on a Sega, so it looks all messed up.
1079444	1090532	And the reason why is that the Nintendo was not set up for pastel color, where the Master System was.
1091393	1096897	So I played them and they looked like barf, but coming back now and playing them again, I'm just like, oh my god, this is so beautiful.
1096997	1102221	Finally, we're using a next generation system to make our 2D games look even better.
1102721	1103682	It's so cool.
1104322	1109586	Dear 8-bit companies like Nintendo, anybody that was big in the 8-bit days, even Konami.
1111067	1115711	It would be nice to have Super Konami World Collection 3D.
1116231	1118853	Seriously, I want you all to take up this project.
1119750	1124053	Do your old 2D games in 3D like this, because they are so cool.
1124533	1125994	It's just, oh man.
1126374	1132118	Especially when you're going to release one of these old, kind of like old school game packs, and re-release it as like a new thing.
1132558	1134379	I just, oh, it's so beautiful.
1134979	1135660	Words can't express.
1136100	1138642	They also come with another little neat thing.
1139002	1144505	If you bought the special edition of Phantasy Star, which we actually didn't get, it came with a little binder.
1145406	1148608	And in the binder, you would put these cards in.
1149688	1150168	Oh, okay.
1150469	1154551	That are basically just description of the game, some of the history of it.
1154711	1158113	I'm putting the Winter Fantasy Zone up on the cam.
1158133	1159193	That's still kind of neat, though.
1161234	1165677	So... But they're also, they're bringing out more games.
1165717	1176243	The ones that are out right now in the series is there was, of course, Fantasy Star, Space Harrier, Fantasy Zone, Monaco GP...
1177784	1181626	Goldnax is pretty.
1183786	1194510	There's a site, actually if you go to the live journal community Girl Gamers and just look for my post, I put a big post there about it with a link to the Japanese site
1195313	1200455	where you can watch a streaming video of screens from the first five releases.
1200715	1203876	I'm thinking you need to make that a cross post to the Orange Lounge community.
1204496	1206297	I'll go look for my own post.
1206337	1206737	Good idea.
1207397	1219541	But the next ones that are coming out, and actually I didn't find this out until I looked for the pre-orders on Lixing, but the next one out is Columns.
1220858	1222899	and then the other one, I don't remember what it is.
1222959	1224419	It's a game that didn't come out over here.
1225800	1227760	I'll have to check out.
1227860	1228501	Oh my God.
1228941	1230661	Please tell me they're going to do Alex Kidd.
1231121	1231982	Wouldn't it be nice?
1234622	1236703	Yeah, Alex Kidd was a Sega game, wasn't it?
1236823	1238304	Yes, it was.
1238964	1241345	What would be really cool is if... And Shinobi?
1241905	1243765	Well, they did Shinobi.
1244486	1247186	Yeah, but okay, I'm not counting the new Shinobi.
1247206	1248867	You know what actually I think would be cool?
1248887	1248967	What?
1254671	1256012	and Michael Jackson Moonwalker.
1256232	1256653	Oh yeah.
1257393	1257614	What?
1257754	1257974	What?
1258649	1260731	Skywalker was kind of 3D to begin with.
1260791	1265614	It was one of those cheap, it was still a 2D game, but it was 3D.
1266034	1269417	It was like the Ninja Turtles where you can move up and down, but you know what?
1269477	1270418	Well, this is what I was thinking.
1270438	1273039	You know how in Sonic Adventure 2, how they had the bonus?
1273760	1278243	That was the remake of the Green Hill Zone from the first Sonic game.
1279104	1283147	Wouldn't it be cool if they took the original Sonic games and did them like that?
1285179	1285819	Absolutely.
1286300	1301846	And then, of course, this was just kind of brought up, I think this was brought up in the chat room, I think this is where I saw it, but my very favorite old school Sega game of all time, they badly need to do this port to, Altered Beast.
1302266	1303987	Rise from your grave.
1305327	1308229	I cannot wait for them to do Altered Beast like this.
1308669	1308969	This is...
1310072	1325061	Man, I'm just picturing, I'm kind of picturing, I'm going back to Castlevania, because for those who were listening to Vanilla Sky on Monday, we were talking about the new Castlevania, and kind of got into a discussion on like, you know, is Castlevania good, or what have you, because of the 3D-ness of it now.
1326002	1326822	I'm just thinking, oh my god.
1326842	1331025	And why would she play it in Japanese without the shitty US voice acting?
1331685	1333026	Oh my god, that's so much crap.
1333863	1339951	But I just go back and think, oh my god, what if Simon's Quest were done like this Fantasy Zone thing is?
1340411	1341353	I would have an orgasm.
1343045	1345567	Sega has always been really smart with their games.
1345607	1354131	They've just had, you know, bad advertising and, you know, going up against basically a major monopoly like, you know, Sony is.
1354572	1364838	You know, they say that they didn't have, you know, take from their other facilities, but you can tell they put major money behind the PlayStation, even though the Saturn to this day is still a better system.
1366018	1369940	The Dreamcast to this day has still had better games than many PS2s.
1369960	1372422	You will go to your grave, a Sega fangirl.
1373263	1374945	You know, I used to be a Nintendo fangirl, 100%.
1376506	1380871	And now, my whole support of Nintendo comes just because Sega's supporting them.
1382012	1389119	Isn't it so weird now to fire up a game like F-Zero and you see on the first screen, Sega Nintendo?
1389480	1395586	It's like, wow, ten years ago, you're picturing those ads in your mind, Sega does what Nintendo don't.
1395606	1396487	Well, you know what?
1397428	1405251	I remember on one of my tapes, one of my old tapes off Japanese TV, watching the monkeys, these two little monkeys playing TV.
1405951	1411913	And one of them was playing a Saturn, playing Burning Rangers on the Saturn, if this dates this for you.
1412373	1418075	And the other one was playing like some other game on, like an older crappy game on the PlayStation.
1418615	1420576	And the PlayStation monkey went to go play the Saturn.
1421565	1423546	I have to address something that came up in the chat room.
1423586	1426228	We have some new chatters tonight, so hello to all our new folks.
1426288	1427849	We love seeing some new faces in our chat room.
1428189	1435454	We have a guy named Bargle who says, is a little bit disgusted by the thought of me having an orgasm over a game.
1435834	1436394	You know what?
1436735	1438816	There is nothing better than an orgasm.
1438856	1442018	You name me one thing in this world that's better than an orgasm.
1442198	1442999	Two orgasms.
1443459	1444520	Two orgasms.
1444580	1445480	Thank you, Loki.
1445800	1445980	What?
1447201	1448022	Really good ice cream.
1450501	1459765	Maybe if you're a woman, but... If I was sitting between the best orgasm ever and a bowl of chocolate decadence blue belt ice cream.
1460165	1461286	Chocolate orgasm.
1462406	1462686	Ooh.
1467208	1468569	Although, and this may be TMI.
1468589	1470950	Did I give that a cold stone?
1471030	1475892	The best, actually the best, best thing ever is the bowl of ice cream you eat after an orgasm.
1478133	1478873	Is to go out
1479594	1480194	Fuck a bunch.
1481775	1482996	And then eat a bowl of ice cream.
1483377	1485038	For some, it's the cigarettes.
1485118	1486358	For some, it's the ice cream.
1486418	1487979	Hey, I don't smoke.
1488380	1496405	Next time I'm going to go into Cold Stone, I'm going to be all, yeah, could I get the, I'd like to get the vanilla cream with the orgasm mix in.
1499647	1507092	You know, we need to sit and create, call it the Orange Lounge Orgasm at Cold Stone.
1508858	1511400	and keep and like put the right number in it.
1511480	1512380	Oh, like write it in and stuff?
1512400	1513481	Well, they don't have those anymore.
1513521	1513841	What?
1514582	1516082	I was going to put mine in.
1517882	1522644	I used to have my cherry cheesecake flavor that I just called the DarkSakura.
1523764	1524285	How original.
1524305	1535069	Because it was, you know, it was graham cracker, brownie, cheesecake, and cherry pie filling.
1536210	1538631	It was so good and so bad for me.
1539151	1541292	I want ice cream now.
1541312	1544033	As good as that sounds, Jamie, orgasms are better.
1547441	1551304	Anyway... Ice cream after... I think we got off on a little bit of a tangent there.
1551324	1551844	Sorry, kids.
1552044	1552325	Hey!
1552425	1553425	That's what we do here on Orange Honor.
1553445	1554506	Welcome to the Fantasy Zone.
1554606	1554946	Get ready.
1556267	1558309	So, um... I was so happy because it's in there!
1558409	1559730	Does it actually have voice acting?
1559990	1560630	Well, yeah.
1560811	1562392	It's like... Okay, this is what happened.
1562752	1564913	I wish we could play it for the chat room, but we really can't.
1565474	1572499	Um, but, um... When you're, um... It's like, when you start off the game, it doesn't say the Welcome to the Fantasy Zone, get ready.
1573019	1574180	At least the first time it did it.
1574740	1576822	It's like... Like...
1577572	1579594	Get Ready, Harrier, or something like that.
1579614	1580134	I bet you were pissed.
1580214	1581035	And then go for it.
1581095	1582396	I bet you were pissed when you heard that.
1582476	1582976	Oh, I was.
1583036	1588940	And then, like, four games later, you know, watching Dan play it the other night, it finally said it.
1589100	1590642	And we were like, ah.
1591362	1595965	I remember when I first ever, like, saw your post back on DDR Freak.
1596066	1598788	I remember that was your signature, welcome to the Fantasy Zone, get ready.
1599168	1601950	And I always thought it was actually from Fantasy Zone.
1602330	1608934	Well, the thing is that Space Harrier is set in the same universe as Fantasy Zone.
1610695	1612116	I think a lot of people don't realize that.
1612236	1613997	I know you've mentioned that to me before.
1614537	1618800	If you look at the original games, Fantasy Zone has the big plaid floors and everything.
1619300	1624383	And then you have the checkered ground, and then the checkered ground is in Space Harrier, the originals.
1625824	1641013	and it's set in the same universe although they made it completely different for these two they look completely different so here's my final thought on the whole 8-bit games being redone Guardian Legend Remake Guardian Legend Remake Dear Broderbund and who else put that game out?
1641273	1654200	I don't remember Broderbund was the publisher of it please do a Guardian Legend Remake oh my god I would never leave the house ever it's done it would be more addicting you know there was there was a game that came out
1655325	1656545	Guardian Legend Online.
1656785	1657726	Oh, my God.
1657906	1658726	No, I don't know.
1658786	1660567	Guardian Legend is not a game to be played online.
1660607	1662647	Guardian Legend is a masturbatory game.
1662707	1664027	It's a solo experience.
1665748	1666388	You know what?
1666448	1667629	They need to freaking do it.
1667689	1668709	It's a solo orgasm.
1668909	1670389	You know what?
1670589	1672670	It was the original survival horror game.
1674343	1675885	I don't know if I'd call it a horror game
1705020	1707120	But you have to go find weapons, you know.
1707540	1710501	I mean, she was doing it before Snake ever did his thing.
1710521	1711481	It's the same thing, too.
1712121	1715562	It's tactical survival espionage horror shooting game.
1716042	1732505	I always, I don't know if I'd go as far to say that it was this new genre of game that was fabulous, but what it did is it took two genres of existing games, like Zelda and Gradius, to kind of name two, more like Life Force, maybe, but took these two games and brought them together.
1732525	1733425	It was about as hard as Life Force.
1734205	1735546	So beautifully.
1736307	1740911	It's just like going to a wedding and crying at the beautiful union of these two things.
1741231	1743373	And it had the little thingies from Adventure of Lolo.
1744514	1744734	What?
1744875	1746316	The blue thingies from Adventure of Lolo.
1748432	1748792	It did.
1749252	1749733	They've had the shots.
1749753	1757556	I don't think they were, I think they were supposed to be, they're related to the blue things from Zexys.
1758016	1760617	Z-E-Y-X-Z, that game, Zexys?
1761217	1761457	Yeah.
1761777	1764018	I think it's related to those blue guys, not the Lolo guy.
1764038	1765519	I think Lolo's a different blue guy.
1766439	1769140	So I was like, hey, the guys from Adventure Lolo left.
1769300	1770020	They're boycotting.
1771721	1774182	It was, and you know, it had really good music in it, too.
1775220	1780363	And I also knew the trick where you could walk through the divider walls in the center.
1780723	1786187	It's like if you held your controller at an angle, you could walk through the wall and get to the other side.
1786207	1789529	8-bit games are great.
1789809	1792651	And you know the other neat controller trick was the one for Mega Man 3?
1794212	1798414	I submitted the thing to Nintendo Power way back when.
1798854	1801816	Because I was the first person I knew of that found this little trick.
1802837	1804538	You know, everyone knew about the double jump.
