start	end	text
8914	13053	Toto, I have a feeling we're not in Kansas anymore.
16656	21538	You're listening to Orange Lounge Radio, the mommy talk and then some.
22138	24839	Uh, mostly the and then some part of that.
25219	29241	Orange Lounge Radio is created by a bunch of potty-mouthed adults.
29861	34663	Orange Lounge may contain sexual, perverted, and mildly retarded content.
35223	38944	You probably shouldn't let your children listen to Orange Lounge Radio.
39265	40745	Yes, I will spank your child.
41145	42866	If you're not going to do your job, goddammit, I will.
45543	49046	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
69482	76404	Searching for a boy in high school is as useless as searching for meaning in a Pauly Shore movie.
77384	78084	Oh yeah?
78244	81625	Well, I hope your babies look like monkeys.
81865	82905	DarkSakura.
83105	84025	I've got a sniff.
84265	84765	Skye.
84906	87026	But I'm playing it for the bartender, so suffer.
87386	87886	Loki.
88166	89186	I hate you!
89607	91587	Orange Lounge Radio Arts.
92688	96991	We are live, and this is episode number 68 for November the 9th of 2003.
97172	106219	You're tuned in to the Vimani Scene's most, um, female challenger tonight, radio station of all things Vimani.
107159	108961	My name is Rob Robertson, you might know me as Sky.
109561	112243	Joining me, as always, are half of my awesome co-hosts.
112503	117848	In this corner, the happiest bunny on the farm is Jamie Summers, is all the way in that corner that's in Alabama.
118468	120530	She's out tonight, she's on vacation, so...
122133	123634	So no Jamie tonight, sorry everybody.
124394	129576	But we have some more guests here to help kind of fill that void that Jamie has left.
129636	130317	Is this mic on?
130537	131557	Yes, the mic is on.
131897	132718	Yes, Lanky, stop.
133098	133298	What?
133818	134298	Testing.
134498	135179	There we go, yeah.
136099	137040	I told you it was on!
138960	139961	You question my authority?
140401	140761	Yeah.
140921	141822	You little poopy head.
142402	144183	In that corner, say hello to our tech master, Loki.
145303	145703	Hello.
147264	147684	Hello.
150125	150866	Oh, that's an old one.
150906	151246	Oh, okay.
152596	153978	We're talking about Walmart again?
154458	155780	Oh no, I'm using an old script.
155820	157221	Do you hate Walmart still, Rob?
157602	158363	Do I hate Walmart?
158423	159183	I'll get into that later.
160445	161886	I have to have something to talk about tonight, Chris.
162887	167532	Also with us tonight we have, as you were already hearing him, because he just can't shut the fuck up.
167552	167933	Just kidding.
167953	169394	Say it a little Likey style.
169574	170275	Up the shut phone.
170495	173238	You know him probably if you listen to Vanilla Sky on Monday nights, right?
173639	173879	Yes.
173919	174660	Because he's always here.
175220	175861	I hope you know me.
175881	182568	Probably just like that annoying guy who always gives us his stupid opinions about how games are cool and some games aren't.
182908	183348	That's right.
183809	185310	Castlevania's cool and you all suck.
186572	186952	Thank you.
187913	192417	Also here tonight, say hello to Bradley, also known as Arcadian42.
192457	192598	Hi.
192938	193639	Hi, how are you?
194920	195200	Well.
196101	196201	Well.
197398	197838	All right.
198339	203063	Also, we have somebody who I don't think has ever been to the show in the house before.
203223	203523	No.
204384	207306	Has joined us for some of our live remotes, but never in the house.
207887	209288	Say hello to Vanders.
210129	210709	Mahalo.
211290	211810	How are you?
211830	213472	I am well, thank you.
213692	214272	That's good.
214332	215193	I'm glad you can make it.
215753	215994	Thanks.
216034	216854	I'm glad to be here.
216914	217795	This is exciting.
218296	220477	Our home base is exactly what I thought it would be.
220497	222339	Lots of anime, lots of DVDs, and lots of games.
222499	224381	And lots of crap everywhere, isn't it?
225399	226080	and SuperBacon.
226160	228382	That's alright, we love, yes and lots of SuperBacon.
229063	230604	And French bread pizza for me tonight.
231325	231645	Mm-mm.
232086	232346	Yummy.
233147	237151	Brad says he needs to be careful because he might trip and fall and eat that pizza!
237832	239874	And I'll bash his head in if he does.
242476	245880	That, that French bread pizza needs to be in my belly, dammit.
246769	256313	Alright, tonight we're going to play some music from the Poppin' 10, Poppin' Music Part 10 soundtrack for our breaks, because I know you guys have been wanting to hear some of the new stuff.
257393	262315	During this break we're going to hear a brand new Mr. T song doing the Goonies Are Good Enough.
262775	265196	This is awesome.
265256	266016	It is awesome.
266056	266977	You're outvoted, Loki.
267557	272999	Also in this break we're going to hear an artist called Noki Nokio with a song called Pata Pata Mama.
274482	276725	Hatsa Pata Mama is the name of the song we're going to hear second.
