start	end	text
76923	78944	And now for our feature presentation.
85068	88670	Orange Lounge Radio Live is now on the air.
89410	96134	Orange Lounge Radio Live is a live talk program dedicated to all things Bomani and Bensum.
96977	100259	Orange Lounge Radio may contain adult content.
100559	103140	You probably shouldn't let your children listen.
104241	112425	If you do let your children listen to Orange Lounge Radio, they may turn into evil little demons from hell!
113846	117228	Oh wait, most children already are evil little demons from hell.
122210	126991	Now you see that evil will always triumph because good is dumb.
127231	129791	Trash, drunk, and stupid is no way to go through, sir.
130092	133652	He jeopardizes my ability to effectively govern this student body.
134592	137353	Well, makes you look like an ass is what he does, Ed.
137713	138433	Hamburgers!
139213	141374	The cornerstone of any nutritionist's practice.
141614	142414	That was huge.
143954	144554	Cool.
144894	147795	Do you mind if I take my new car for a ride?
151028	151969	DarkSakura DarkSakura
173551	174872	Any time, any place, baby.
175152	175672	Loki.
176152	177032	Ow, my foot!
177512	179693	Why did I shoot myself in my foot?
180113	181833	Orange Lounge Radio.
184214	190415	We are live, and this is episode number 70 for November the 23rd of 2003.
190495	197037	You're tuned in to the Bomani Scene's most underprepared radio station of all things being money.
198018	199879	My name is Rob Roberts, if you might know me as Sky.
199939	211946	Joining me, as always, are my awesome co-hosts in this corner, back from her three-week, two-week vacation, the happiest bunny on the farm, Miss Jamie Summers, you know her better, DarkSakura.
212206	214227	Hi, long time no talk, I'm cooking, bye.
214327	216469	Tonight she's Iron Chef Sakura right now.
218390	220611	In that corner, say hello to our tech master, Loki.
220891	224053	Hello, I need to, what the hell?
224393	225434	The cords have just...
226804	227927	all mated with each other.
228849	232617	Loki picked up the microphone and it's like taking the Christmas lights out of the box on Christmas.
233539	234619	What the hell is this doing here?
234639	236380	There's like a ribbing cable.
236580	238541	This random printer cord is mixed in too.
239221	242303	Anyway, if we sound a little disorganized tonight, it's because we are.
242363	244343	We have Jamie over here cooking.
245004	248105	We have Loki over here, you know, trying to untangle the cords.
248185	250306	Me, I've been feeling kind of eh this evening.
250346	251166	I'll get into that later.
251566	253887	So I'm just like now getting with it.
253927	256648	My Tylenol is finally kicking in and I can like see again.
257709	262831	Also with us tonight, SayHello20 is here and I know there's no microphone.
265507	265928	Hey, what's up?
266228	266948	Hi, how you doing?
266988	267669	Long time no see.
268089	269110	I was here like two weeks ago.
269190	269991	How could it be that long?
270432	271152	Ah, long enough.
271472	271893	Oh, okay.
272253	273935	Now, what did you bring with you tonight?
275156	275936	It's a surprise.
276297	279179	Alright, don't get... If you really want me to tell them... Nah, tell them first break.
279540	279860	Alright.
280000	281181	Who else did you bring with you here?
281281	282482	Let's have her introduce herself.
283663	288688	Most people who are listening should know her if they go to RBGL, or actually did go to RBGL.
