start	end	text
989	3170	The cornerstone of any nutritious practice.
3411	4711	That was huge.
5752	6252	Cool.
6292	10874	Do you mind if I take my new car for a ride?
10894	11434	That's right.
12555	14476	The only thing you're going to be riding is me.
14956	16316	Have you seen Malcolm?
16376	16717	Lena?
17137	20678	Ladies and gentlemen, welcome to my underground lair.
20998	21719	So it was you.
22611	23652	I was going to expose you.
23872	24212	I know.
24793	26094	So I choose to expose myself.
26374	27815	Please, they're our ladies' presents.
28055	30277	That would be great if it wasn't for the fucking customers.
30437	31678	DarkSakura.
31979	34020	Oh my god, I see a bloody stump!
34541	35161	Skye.
35381	36722	Any time, any place, baby.
37043	37563	Loki.
38063	38924	Ow, my foot!
39405	41606	Why did I shoot myself in my foot?
42007	43748	Orange Lounge Radio.
44809	46991	We are live!
47071	48592	Believe it or not, we are live.
49753	50814	And this is episode number 102.
53049	56651	for this July the 11th, 2004.
57111	63614	You're listening to the internet's most vacationing radio station of all things bee money.
64254	64914	And then some.
65615	68656	I'm one of your happy campers, Rob Roberts, also known as Sky.
69417	74759	Joining me as always is the happiest bunny in our camp, Counselor Jamie Summers, also known as DarkSakura.
76540	77340	Your mic's not on, babe.
77640	78521	Oh, is it on now?
78541	79101	There we go, yes.
79907	81647	Don't let me counsel anybody.
82367	84708	My advice will be, get a gun.
86588	87048	Get a gun.
90309	94410	I lost the whole script and the whole computer upgrade thing, so I had to just rewrite it just now.
94490	96510	Ew.
96650	98650	I like this camp theme we've got going.
98670	100031	Wait till you hear this next line, okay?
100051	100331	Rob?
100631	100851	What?
101291	102111	I hated camp.
103051	103431	Exactly.
103451	104231	Wait till you hear this next line.
104751	108252	Also say hello to our Fire Marshal Tech Master Loki.
109622	111683	You so ripped that off from In Living Color.
111883	112324	I don't care.
113564	113985	I don't care.
116446	118707	Joining us tonight also, we have some very special guests.
119848	123050	Say hello to our guests, I guess, as in singular.
123490	125231	Say hello to Bud!
126092	126872	Hello to Bud.
128113	129033	Also known as Neil.
129754	131635	You don't have a fancy stage last name, though.
131655	132135	You want one?
132756	132976	No.
133356	134957	What can we give Neil as a last name?
136601	139225	Neil, I'll let our chat room think about that one.
139986	143751	You can join our chat room, www.orangeslawntrader.com.
143791	147737	Yes, we have not been here for like three weeks now.
147777	149099	Jamie hasn't been here in a month.
