start	end	text
29	26064	Orange Lounge Radio Live is now on the air Orange Lounge Radio Live is a live talk program dedicated to all things Bomani and then some Orange Lounge Radio may contain adult content so you probably shouldn't let your children listen If you do let your children listen to Orange Lounge Radio they may turn into evil little demons from HELL!
27603	31065	Oh wait, most children already are evil little demons from hell.
35968	40751	Now you see that evil will always triumph because good is dumb.
41031	43652	Trash, drunk, and stupid is no way to go through life, sir.
44073	47615	He jeopardizes my ability to effectively govern this student body.
48395	51277	Well, makes you look like an ass is what he does, Ed.
51697	52517	Hamburgers!
53198	55339	The cornerstone of any nutritious breakfast.
55659	56600	I was used to it.
58112	59772	DarkSakura DarkSakura DarkSakura
87571	89736	Any time, any place, baby.
90197	91100	Ow, my foot!
91581	93446	Why did I shoot myself in my foot?
97799	104502	We are live, and this is episode number 105 for this Sunday, August 1st, 2004.
104803	113227	You're tuned in to the B-Mani-themed, most strip-poker-playing radio station of all things B-Mani.
113907	114728	My name is Rob Roberts.
114788	115868	You might know me as Sky.
116168	118149	Joining me as always are my awesome co-hosts.
118549	121091	In this corner, the happiest bunny on the farm is Jamie Summers.
121111	123512	You know her better as the angsty Dark Sakura.
127904	129885	I'm powered by meat and asparagus right now.
131246	132167	Meat and potatoes.
132327	132708	Oh, I'm sorry.
132748	133548	Meat and asparagus.
133688	134749	Yeah, meat and asparagus.
134789	135710	Potatoes are evil.
137051	137431	Evil!
137531	138792	Are you on a low-carb diet?
138952	139412	Yes, I am.
139452	141254	Low-carb diets are the antichrist.
141534	142775	You know why they're the antichrist?
143757	146499	Okay, first of all, I'm doing this to be supportive.
147139	155644	I know, but... And second of all, you know how hard I've worked my ass off, so don't... Yes, I know, but they're the Antichrist for me, because anything that says that I can't have bread and potatoes is the Antichrist.
156284	157224	You can still have bread and potatoes.
157244	157965	Those are the two best foods ever.
157985	158605	Just not all the time.
159846	161367	But I want potatoes all the time.
163688	165009	Don't take my potatoes away.
165109	165409	God.
166082	169944	Rob, Rob, Rob, Rob, Rob, Rob, Rob, I miss doing that.
170785	173546	I couldn't do, I tried that last week with Matt and it just didn't work.
173586	174767	Did he just beat you up?
175127	179109	I was like, you have to have a single syllable that starts with an R for that to work.
181531	190436	Alright, speaking of which, in the other corner, our favorite Orange Lounge angsty tech massa, Loki!
190876	191757	I'm moving my chair back.
194974	195374	Is that it?
195434	196035	Is that hello?
196735	197676	I'm moving my chair back.
198416	199937	Yes.
199957	201598	We have some special guests in the house tonight.
201658	206741	Say hello to, well, he hasn't been here for a little while, but he is the resident pop and music whore in Sacramento.
207161	209142	Say hello to Garrett.
209783	210503	I'm a hooker.
211143	211684	I know, I know.
212910	217114	Also joining us in studio, say hello to somebody else who hasn't been here for a couple weeks.
217134	218135	Say hello to Bugged.
218775	219316	Hello to Bugged.
220136	220537	Very nice.
221598	224801	And tonight he's the, is that Turbo Express you're playing?
224901	228003	He's the Turbo Express 4 tonight, but that's Jamie's Turbo Express.
229385	231106	I would love to have a piece of your meat, Jamie.
231887	232727	What kind of meat is this?
233608	234069	Try a tip.
237211	237452	Meat!
241826	248830	You know, somebody was telling me, I can't even remember, this is like how, what, like horrible memory I have, but somebody was telling me about the sodas online.
249130	250030	Was that you, Matt?
250090	254232	Yeah, you were telling me about the sodas online, that you could get like beef and orange flavored soda.
256954	261776	But we were thinking about like, but you can make your own sodas?
265118	265879	Sort of, yeah.
266139	268140	Alright, you know what, we'll talk about this when we come back from the break.
268843	269204	All that.
269564	270125	How was your week?
270185	270726	How was your day?
270946	274070	And I guess some Bomani news, because we have a whole shitload of Bomani news.
274210	277634	And tonight, I'm not going to get to it in this first break, but we will get to it tonight.
278295	282200	The resident Poppin' Music whore was kind enough to bring us Poppin' Eleven stuff.
282521	283422	Yes, the soundtrack.
283582	286205	So we're going to hear a whole lot of Poppin' Eleven stuff tonight, so that's good.
287371	306168	but first we're going to play a mix of music because I want to hear some Eurobeat so I put on Daisuke because that song rocks so we will be right back after this break with Orange Lounge Radio join us in our chatroom www.orangeloungeradio.com click on chat and we have a webcam on orangeloungeradio.com now is it on the main thing still?
