start	end	text
185	1406	That was quite interesting.
2607	4768	So, now I guess I really am a geek.
5789	6249	Right.
6649	7470	Yeah, anyway.
8411	8891	Uh, next.
9471	10972	Alright, Vandalus, how was your week, how was your day?
11653	12934	My week and day were fine.
13794	16256	Well, I went to work and I did family stuff.
17297	19178	So, pretty standard stuff for me.
19958	20279	Alright.
20799	23401	Rice Princess, how was your week, how was your day?
24561	25122	How was my day?
25482	26343	How was your week, how was your day?
26663	28264	Oh, um, blah.
29785	30366	Just blah?
31066	31407	Alright.
32027	33008	Is that all you want to share?
33128	33308	Yeah.
33628	34049	Okay then.
34829	35730	Sigurd, how was your week?
35750	36170	How was your day?
36631	37852	My week was boring.
38913	45298	But today was funny because I went to go get an iPod and I had the worst customer service in the history of customer service.
45778	53104	When I went to pay for it, the lady at the checkout was basically demanding that I get the service plan because she was saying it was a piece of crap.
53685	57227	And I swear, if she would have had a knife, she would have held it to my throat until I got it.
57888	59069	Then we went to Radio Shack
59831	68174	and I asked if they had any accessories like a holder or something and they started saying it was a piece of crap thing and Apple's only good for one item.
68654	69835	So I hope they all die.
71515	71895	The end.
72096	72616	Very nice.
73076	73356	Alright.
77461	82743	All right, then there was my week and my day, and my week was pretty uninteresting.
83163	85143	The Classic Gaming Expo, I guess, was my highlight.
85163	88625	You know, I've just been hanging out with people throughout the week, that's all.
89245	90025	Nothing too exciting.
91005	93666	All right, I guess at this time we're going to go ahead and go to a break.
95287	95827	Breaks are good.
96027	96707	Yeah, breaks are good.
97167	101369	So we're going to go to a break, and then we'll come back and we'll talk to Sigurd a little more about Ultramix stuff.
102689	103069	Sound good?
103429	103849	Sounds good.
103989	105670	All right, we'll be back after this.
188641	192524	So, Sigurd, I heard you brought a sound clip with you tonight that you wanted us all to hear.
193484	193784	Yes.
194145	194865	Oh, okay.
194885	195606	So you should play it.
195966	197307	I will play that for everybody.
197647	198428	Is it a hint?
199488	200549	I think it might be.
202630	204211	Mama don't like tattletales.
204231	206633	That was interesting.
206773	207253	Good luck.
207614	207934	Alright.
316147	317729	Mama don't like tattletales.
344577	345558	Why isn't the movie on?
345638	346398	You are the star!
346518	348980	Why isn't the movie on?
349040	349460	You are the star!
376758	377419	Thanks for watching!
414737	415997	Orange Lounge Radio.
416317	418478	We put your thing down, flip it, and reverse it.
424893	425474	All right, guys.
425514	429759	During the break, you received the first of the clues tonight, and this is the way it's going to work.
429860	438891	When we open it up, and only when we say you can guess the song, send me a private message in the chat room when we say to, and you'll have an opportunity to guess the song.
439051	440994	If you are the first person to get it right...
441874	453299	If you are one of our Skype users, meaning if you go to our website www.orangesongeradio.com and click on interact with us, if you're right, you can be the one to announce it to everybody on the air what the song is.
453719	458261	If you don't have Skype though, you can just tell in the chat room and then we'll relay the message for you.
458521	468365	But again, only at certain times will you be able to submit a guess to me in the chat room and there'll be more clues to come if that one didn't quite do it for you.
468825	470386	Mama don't like tattletales.
470826	474333	Alright, anyway, so... Yeah, that just didn't do it for me at all.
475034	477238	It probably didn't do it for a lot of people, but it's not supposed to be easy.
477719	478019	Alright.
479422	480664	So, Seeker, thank you for bringing the clip.
480684	481345	I appreciate that.
487150	487590	You're welcome.
488651	492373	I'm avoiding various cups, just trying to get the microphone over here.
492393	494695	That's alright, there's just a lot of people here denying a lot of stuff here.
494775	495275	And porn.
497056	500839	So, anything exciting going on at Konami you want to share with the rest of us?
501059	502140	I'll just jump right into it.
502200	507483	There's always exciting stuff going on at Konami, whether I can share it or not.
508484	511666	Actually, there's an interesting thing I can talk about.
512493	516094	Everybody who knows about the game Rumble Roses.
517394	520075	It's actually a pretty good game, just so you know.
520115	522175	It's not all boobs.
522215	525716	It is all boobs, but it's actually fun to play.
528676	533738	The interesting thing about it is that it has the Imani artists doing the music.
535238	540499	You have Akira Yamaoka, which you can stop right there because that makes it worth a purchase already.
541489	554611	Um, it's got, uh, U1, it's got Desro, it has Taka, it has, um, the person that does JetWorld, I don't remember the name off the top of my head, what?
557372	560792	I'm sorry, I just, uh, killed one of the cups all over Angel.
561312	561753	How you doing?
563433	567734	Is that, is that water, or is that... Oh yeah, Loki says watch the cups, thanks!
569594	569854	So...
571345	583696	Yes, what I was going to say was, yeah, and it's got an awesome cover of Yankee Rose, the song that, who is it, David Lee Roth did, that they used in that old E3 trailer or whatever.
584356	584917	That's pretty cool.
586038	587679	Yeah, that actually is a really good song.
588860	591663	But yeah, that's the really cool thing about Rumble Roses.
592563	597187	Don't know why they're in there, but thank goodness they are, because that means I'm going to buy it now.
598849	599149	All right.
602785	607388	Oh, okay, yeah, the songs, for the most part, there is one repeated song.
607868	611930	You can actually hear it on videos that play in GameStop and EB Games.
611991	613071	You'll hear Look to the Sky.
613511	614072	That's in it.
615673	619135	Also, I think that's the only repeated song.
619155	620235	The rest of them are brand new.
620816	621356	Very cool.
621396	622717	They are very, very good.
622757	625178	Like, me personally, I don't like DJ Taka.
626319	627760	Yeah, um...
628661	630522	I don't like his music.
632043	633824	But this song is so good.
635485	637966	So yeah, look forward to that.
640508	645231	Alright, so definitely Bomani fans are going to have to suffer through this TNA game.
645331	647072	Don't suffer, it's actually fun.
647092	649173	That's coming from me.
649213	649933	I'll take your word for it.
