start	end	text
14338	15660	Thank you for watching!
76587	82649	The following live program is a special presentation of Orange Lounge Radio.
82749	89871	Orange Lounge Radio is presented in the TMI sound format.
113788	114572	Thanks for watching!
131430	132230	Oh, God.
132270	133391	Call me Daddy.
152004	155525	Orange Lounge may contain adult content.
156045	159866	Orange Lounge may contain many four-letter words.
160586	164127	Orange Lounge may contain a scene of nudity.
164408	170849	Orange Lounge may contain plenty of... Just kidding.
170949	174670	Orange Lounge Radio will not contain any of that in this episode.
174770	176591	Well, isn't that special?
181173	199659	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
202500	204561	We are live!
204581	208082	And this is episode number 114 for this podcast.
210405	212787	October the 3rd of 2004.
213508	220794	You're tuned in to the internet's most diverse radio station of all things B-Money.
221855	223876	My name is Rob Roberts, you might know me as Sky.
224817	228380	Joining me as always are my awesome co-hosts, in this corner the happiest bunny on the farm.
228860	231643	Say hello to Miss Jamie Summers, you know her better, DarkSakura.
232202	232843	DarkSakura, DarkSakura,
261690	269555	We have a brand new webcam angle, just for tonight, because it's only the three of us, so there's no guests to focus on, so... Extreme webcam action.
269595	278141	Yeah, you get to see Loki and me this time on the webcam, the whole show, and our really dirty work area, which I'm almost embarrassed to have on the cam, but I don't care.
280042	281803	Let the world know, I don't care.
281843	283444	I can't put my feet on the webcam anymore.
285165	287967	You could still get your... Oh, we do have a guest after all.
287987	288808	Oh!
289248	289368	Oh!
290612	292733	That's alright, we'll keep the webcam angled this way, that's right.
293293	296875	Say hello to Arcadian42, Bradley just showed up.
298996	299296	Hi.
301237	305820	Well, we appreciate Arcadian's presence, even though we did think we were going to have a guest-free show, but that's alright.
307481	313304	Alright, well, we certainly have some Bomani news to talk about tonight, believe it or not, and randomness.
313384	315184	I assure you there's plenty of randomness tonight.
315365	315705	You okay?
315825	316865	I hate jalapenos!
317125	317746	Why am I eating them?
318806	322228	Yes, Jamie is starting off the show in her traditional manner by eating.
323149	324650	Hey, I haven't had dinner, okay?
324690	326090	I don't have any food at my house.
326231	328012	I totally porked out before tonight's show.
328532	331914	I ate so much food, I just... I've had low-carb chocolate truffles.
332694	333275	Three of them.
333935	334956	And half a deviled egg.
335456	338178	I had skinny crust pizza from Roundtable.
338358	341520	Not that I'm on a diet or anything, I just really like the skinny crust pizza.
341540	344101	Like, I like New York pizza, which is pretty much very similar.
344121	345042	It's very skinny crusty.
347028	348769	We're about to watch Loki fall to his certain death.
348789	350009	Maybe his portal to hell will open up.
350029	351730	And take him home to his people.
351750	356232	We have some news that we missed last week because Extreme was the big news last week.
356272	360233	We even have some news we kind of missed that I want to get to.
372205	399450	and I know I want to get pissed off at some point tonight I actually have something I'm kind of pissed off about I want to rant about later and well I'm sure you guys are feeling some anger too so we'll definitely have an FU of the week segment cage match and all your favorite stuff when we come back from this break featuring some music from DDR Extreme USA but songs that have already been in DDR before but they're fun songs we're playing them again in Extreme USA so enjoy
400266	402127	DarkSakura, DarkSakura, DarkSakura
423010	424691	I just can be the babysitter all night.
424751	425511	That's so cool.
426311	429553	So, come be disciplined by DarkSakura in our charity.
429573	430293	No, you want it.
433314	435875	It's just like you said in the very first episode of Orange Ones Radio.
435895	436856	I'll never forget this.
437176	440157	You were ranting about parents at Golfland.
440757	441358	Oh, God.
441478	446320	And you said, I remember the quote, you said something like, if you're not going to do your job, God damn it, I will.
448080	449581	Parents don't want me to do their job.
450842	451782	I would be a scary mom.
454546	456848	Also, we got the new Ultramix 2 song.
456868	458189	We'll play that for you at some point tonight.
458349	459790	And it's a previous Cage Match winner.
460131	463113	I believe it was picked by DarkSakura.
463674	465015	Yeah, we'll get to that in a minute.
