start	end	text
19557	31062	The following live program is a special presentation of Orange Lounge Radio Orange Lounge Radio is presented in the TMI sound format
65917	66457	Oh, God.
66497	67338	Call me Daddy.
94993	98475	Orange Lounge may contain adult content.
99036	102798	Orange Lounge may contain many four-letter words.
103539	107101	Orange Lounge may contain a scene of nudity.
107381	113825	Orange Lounge may contain plenty of... Just kidding.
113925	117648	Orange Lounge Radio will not contain any of that in this episode.
117728	119569	Well, isn't that special?
124119	142627	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
145489	147990	We are live!
148670	151151	And this is episode number 119 for this
153697	156218	November the 21st of 2004.
156739	162582	You're tuned in to the B-Money Scene's most interesting station of all things B-Money.
162602	165083	Actually, I should have been the Internet's radio station.
165844	167765	You'd think I'd have my script memorized by now.
167825	168946	I just, I'm out of it.
169786	170967	You've got to turn it on.
170987	172368	Turn it on.
172448	173548	But money, right?
174109	174649	But money?
176404	179447	My name is Rob Roberts, you might know me better as Skye.
179487	181248	Joining me as always are my awesome co-hosts.
181668	186271	In this corner, the happiest bunny on the farm, say hello to Miss Jamie Summers.
186312	187773	You know her better as DarkSakura.
188813	190555	I have food, and it's yummy.
192776	193377	What kind of food?
193957	199401	I have a low-carb tortilla with roast beef and provolone cheese and spinach.
199821	201122	Her mic is really, really low.
202003	203324	Can we do anything to turn up her mic over here?
204938	205899	We'll have to look into it.
205959	206239	All right.
207240	210922	I said that I'm fabulous and wonderful and the world should worship me.
211823	212404	As always.
212964	213785	Tell us something new.
215246	215886	I have food.
216547	216827	Okay.
217447	219008	And it's better than all of your food.
220369	226694	Also joining us tonight, earning his title right now, trying to fix Jamie's mic there, Techmasa Loki.
227675	227895	Hi.
227915	227955	Hi.
230263	230524	Right.
231244	233347	And he can't say anything else because he's too busy working.
233727	237571	Also joining us tonight in studio, a familiar special guest.
237631	238652	He's here an awful lot.
238712	240054	Say hello to Arcadian42.
243484	246345	I'm a mouthful of spinach And I have spinach
269963	270823	Call That Love
291345	295089	An exclusive for you guys, the new Ultramix 2 songs.
295149	297291	I'm not talking about the same stuff that was on the V-Rare.
297311	298152	We already played that.
298192	300775	I'm talking about the brand new songs from Ultramix 2.
302119	303840	that isn't anywhere else on the internet yet.
304320	317226	And for instance, in this first break, we're gonna hear Tengoku, or 0.59, both, both, you know the song is both names, the Jesper Kidd mix, and then we're gonna hear the DDR edit of After All, and a new song called Altitude, all from Ultramix 2.
317826	320047	We're gonna play a whole lot of new Ultramix 2 songs.
320487	329031	Ultramix 2 is on everyone's mind this weekend, I think, if you're a DDR player, you've heard about this game, and if you're an Xbox owner, you probably own this game by now.
330140	331300	or you're getting it very soon.
331581	335302	And then, of course, on top of that, we've got all the Japanese imports as well.
335382	337023	So, a lot of big news tonight.
337403	338983	We'll get to all that after this break.
339083	339764	Let's go to it.
340604	345826	Also, whoops, I gotta remember this too, the Akira Omoka signed CD giveaway.
345866	347747	Hello, we're giving away the first CD tonight.
348007	348227	Who?
350388	353689	I would hope you'd know him, seeing as he did the song right before we came on air.
354189	356210	Yes, I lust after his musical talent.
356330	356690	There you go.
357520	358580	There's the Jamie I know.
359161	360841	And I lust after his body.
362482	363162	Oh my god!
363762	365343	Tonight is the night of revelations!
368104	369065	And that was just funny.
369365	370925	Loki lusts after a man.
373006	373286	No.
374147	374427	No, I don't.
374467	377148	Maybe that's in the same way I lust after, like, Margaret Cho.
377688	379169	You mean he's not a giant robot?
379229	382810	In the same way I lust after... I don't know.
383411	385374	I lust after teriyaki sauce.
385434	385675	Yes.
385935	387417	Oh, Benihana teriyaki sauce.
387457	388920	Yes, the way I lust after that.
389601	390422	Okay, yeah, sorry.
390462	391023	Break time.
393186	394528	We'll be right back after this.
394689	395911	Music from Ultramix 2.
396151	396712	Enjoy, you guys.
501150	503353	She knows the voices in her mind
527029	528230	Thank you for watching!
575454	576220	Thanks for watching!
625874	627037	Thanks for watching!
673230	674450	Thank you for watching!
725511	740904	Hi-ho, Kermit the Frog here, informing you that today's broadcast of Orange Lounge Radio is brought to you by the letter D, the letter A, and the number 59.
741004	746148	Can you tell me how to get, how to get to Sesame Street?
746835	751238	We are back here on Orange Lounge Radio episode number 119 on this lovely November 21st, 2004.
751318	757761	First off, to those of you guys that are brand new to the station, tuning in for the first time, big welcome to you guys.
757781	758742	Welcome to Orange Lounge Radio.
759122	767227	I know that our rebroadcasts that are starting now over on DDR Freak on Friday nights are getting a pretty good reception, so I think we might get some new people because of that.
767687	772650	So a big thank you to you guys for tuning in over here and listening to the live experience.
772990	773390	With a shotgun.
796291	797652	with a BFG for all I care.
799453	800113	A pretty gun.
800613	803374	Anyway, in there we had some songs from Ultramix 2.
803734	805855	Brand new, playing them for the first time.
806556	809777	Loki and I just were recording those off our Xbox not too long ago.
810117	811418	Hope you guys enjoyed it.
811458	813479	Giving you guys something to check out tonight.
