start	end	text
15094	20446	Orange Lounge Radio is presented in the TMI sound format.
47649	48509	Oh, God.
48529	49410	Call me Daddy.
67840	71303	Orange Lounge may contain adult content.
71863	75606	Orange Lounge may contain many four-letter words.
75866	79449	Orange Lounge may contain a scene of nudity.
80150	86554	Orange Lounge may contain plenty of... Just kidding.
86654	90357	Orange Lounge Radio will not contain any of that in this episode.
90658	91898	Well, isn't that special?
96658	97098	We are live!
97459	99200	And this is episode number 121 for this
125600	128321	December the 5th of 2004.
128841	135983	You're tuned in to the B-Money Scene's most longest running radio station of all things B-Money.
136983	139063	My name is Rob Roberts, you might know me as Sky.
139143	140884	Joining me as always are my awesome co-hosts.
141344	144845	In this corner, the happiest bunny on the farm, back from her vacation.
144885	146505	Say hello to DarkSakura.
146905	149166	Oh my god, they wanted to keep me.
150746	152807	No, you can't let them keep you.
152867	153667	They all had grits.
155243	157844	I ate at the Waffle House!
158425	161126	And I had my hash browns smothered, covered, chunked, and diced.
161206	161706	Thank you.
165989	168150	All she's missing is her accent.
168930	170591	We'll talk more about the trip a little later on.
171311	176554	Also with us, as always, say hello to our tech massa who's setting up the webcam right now, Loki!
180461	181282	Let's try that again.
181362	186486	Say hello to our tech master, Loki!
191189	193551	Joining us tonight are some very special guests.
194332	195613	It's the usual crowd.
195793	197514	Say hello to DDR Angel.
198535	198875	Hello.
199716	201157	That's a very happy hello, isn't it?
202423	202843	Yes, it is.
203263	204984	And also say hello to Arcadian42.
205024	205604	Hi.
208505	208765	What?
211826	213687	Well, I want to talk about that when we come back.
213747	214407	That is crazy.
214947	217788	Because we just had an 80s pre-show and it kind of ties into that.
217828	219029	That little thing you're playing right there.
220711	223394	Yeah, we got a whole lot of interesting stuff to talk about tonight.
223474	224274	Actually, I'm lying.
224454	228057	There's really not a whole lot going on, but we're going to try to film three hours best we can anyway.
229898	234462	I know I want to talk about 8 Style tonight, Pop Music 10, because I got to play both those this week for the first time.
234862	240427	Of course, How's Your Week, How's Your Day, Cage Match, all that fun stuff when we come back after this break featuring...
241247	244530	Music from DDR Third Mix, because Third Mix was cool.
245151	247833	If you want to join us in our chat room, there's quite a little crowd there already.
247873	251816	Head on over to www.orangeloungeradio.com and click on chat.
252697	253438	We'll be right back.
253878	254999	After this, boys and girls.
258382	261685	Some of the new programming coming to Orange Lounge Radio.
262422	266464	Jamie, I have a suggestion about some of the music in our Bomani Music and More program.
266505	267465	Can we talk about that?
267725	270047	No subject will ever be taboo.
270327	273949	Well, I was thinking maybe we should move Pump Up the Volume from Tuesday Nights.
274469	276991	Except, of course, a subject that was just under discussion.
