start	end	text
13799	14682	Thanks for watching!
47582	48263	Thanks for watching!
115278	122323	The following live program is a special presentation of Orange Lounge Radio.
155272	158294	Orange Lounge Radio is presented in the TMI sound format.
187134	187635	Oh, God.
187655	188996	Call me Daddy.
208338	211800	Orange Lounge may contain adult content.
212360	216142	Orange Lounge may contain many four-letter words.
216903	220024	Orange Lounge may contain a scene of nudity.
220725	227148	Orange Lounge may contain plenty of... Just kidding.
227268	230970	Orange Lounge Radio will not contain any of that in this episode.
230990	232931	Well, isn't that special?
237470	256027	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
258068	260591	We are live!
261431	262873	This is episode number 125 for this podcast.
264855	266636	January the 2nd of 2005.
268857	276361	You're tuned in to the Bumani Scene's most happy-go-lucky radio station of all things, Bumani.
277101	279202	My name is Rob Roberts, you might know me as Sky.
279322	281884	Joining me, as always, are my awesome co-hosts.
282504	285386	In this corner, the happiest bunny on the farm, Miss Jamie Summers.
285426	287467	You know her better as DarkSakura.
287507	289027	I have a mouthful of asparagus.
289608	289948	What?
292169	293790	I have a mouthful of asparagus.
297560	298421	That's not what I heard.
298481	302405	It sounded like she was mumbling local street names and stuff from around here.
302905	309071	Alright, also in that corner, the other co-host, the fabulous, wonderful, tech master, Loki!
311673	314315	Who's waving at you right now because he's not near a microphone.
315517	316277	Not prepared.
316778	317238	No, I'm kidding.
317278	318499	He's doing other stuff.
318539	318860	Alright.
319460	321182	We do have a bunch of special guests, though.
322465	326969	We always love having special guests in studio, especially some old favorites which we have here tonight.
327409	330071	Yes, I think some of you guys are now designated old favorites.
331272	332673	Including... Old, maybe.
335515	339959	Including everybody's favorite psycho forum goddess.
341020	341460	Head bitch.
341740	342261	Head bitch.
342501	343622	Say hello to Iguana Girl.
344142	344823	Uh, hi.
345823	346884	Yo, what up?
347485	347945	How you doing?
347965	348906	That mic's a little quiet.
349726	350507	I was noticing that.
350607	351928	You gotta... from the gut.
352825	355928	You don't want me to go first.
355968	357790	I'm just blasting everybody out now.
357870	359891	You gotta yell like you're yelling at newbies.
361693	363094	If only you knew.
