start	end	text
6454	7922	Thanks for watching!
51888	57773	The following live program is a special presentation of Orange Lounge Radio.
74292	79668	Orange Lounge Radio is presented in the TMI sound format.
106443	106844	Oh, God.
106864	107945	Call me Daddy.
127365	130827	Orange Lounge may contain adult content.
131387	135209	Orange Lounge may contain many four-letter words.
135930	139051	Orange Lounge may contain a scene of nudity.
139752	146175	Orange Lounge may contain plenty of... Just kidding.
146295	149997	Orange Lounge Radio will not contain any of that in this episode.
150097	151958	Well, isn't that special?
156514	175017	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
177118	179918	We are live!
180578	181979	This is episode number 127 for this episode.
183965	186567	January the 16th of 2005.
187107	196533	You're tuned into the B-Money Scene's most fabulatastic radio station of all things music, video, gaming.
196753	197433	That doesn't suck.
198594	200895	My name is Rob Roberts, but you might know me as Sky.
201976	203397	Or maybe you know me as Rob Roberts.
203437	206198	Or maybe you know me as Asshole, as some people refer to me.
206639	207159	Ski!
207319	207379	Ski!
209400	211842	Also joining me tonight are my lovely co-hosts.
212481	216983	In that corner, the happiest bunny on the farm, Miss Jamie Summers, a.k.a.
217044	218004	DarkSakura.
219645	220766	Okay, you need to shut up.
221786	223727	DarkSakura, I'm kidding.
224227	229590	I had... I resisted temptation, which everyone's going to hear about later.
229870	231451	But everybody needs to be proud of me.
233172	235013	You're special, and that makes me proud.
236454	237074	And you know what?
237114	237775	So are you.
237935	239796	When are you going to join the Olympic team?
242290	244431	When they make DDR an Olympic sport.
244511	245111	Oh my God.
245191	245951	Oh my God.
245991	247432	When's DDR going to be in the Olympics?
247492	247852	Oh my God.
247892	248272	I don't know.
248332	250153	Jumping on a trampoline is an Olympic sport.
250253	250833	Oh my God.
252573	255114	Hey, don't knock the trampoline, okay?
255134	256735	I don't, but I still think it's funny.
256815	258535	Trampoline is fucking rad.
259116	265918	I was actually like looking into wanting to join like a trampoline class because they were showing it on the news and everything when the Olympics were around.
265938	267859	That's like taking bowling for college credit.
268379	269679	Hey, I did that.
270760	271180	No, I'm kidding.
271240	271440	I didn't.
271460	271640	I didn't.
273641	279143	Alright, also joining us tonight, I actually looked into the bowling class, I'll tell the bowling story later.
280543	285705	Also joining us tonight, say hello to the Tech Massa, with a Massa plan, Loki.
287686	288286	Yeah, hi.
291127	296709	Who has one of those looks of, I don't know what to do tonight, these people are very strange.
297950	298830	Also joining us,
299631	302072	Say hello to our very special guest this evening.
302112	304313	He's also special, just like DarkSakura.
305114	306374	Say hello to Arcadian42.
306514	308655	Is this a non-credible mic?
308995	312557	Or is it a new non-credible mic?
313537	316059	That microphone actually works, but it's kind of quiet.
316499	320941	And you're kind of quiet, so you're really going to have to try tonight.
321041	321461	Listen in!
326055	330479	Well, you don't have to yell out there to listen in, because obviously they're already listening, right?
330499	330639	Yeah.
332600	332900	Alright.
333701	334141	Exactly.
334882	336924	Well, maybe I'll help them to listen a little closer.
338985	339706	Come really close.
340146	340687	Come really close.
340987	341868	Come close to me for a minute.
342408	343329	Come close to the speakers.
344490	344770	Boo!
347792	353977	Uh, yeah, anyway, we got tons of interesting stuff to talk about tonight, or at least in theory we do.
354598	354698	Um...
357078	360339	Just keep thinking this show is good, and then it will be good.
360819	363780	It's going to be interesting because it's somewhat of a slow news week.
363800	365480	We do have a couple big things we want to talk about.
365500	367041	We're going to do that.
367381	371602	All the favorite usual garbage you're used to, we're going to talk about that when we come back from this break.
372322	379344	In this break, we're going to do some music from Dancing Stage Fusion, which is the Europe DDR that just came out a couple months ago.
379364	381805	Actually, it was more than a couple months ago, but end of last year.
382426	387989	But they got some cool licenses in their version of DDR, and you're not going to believe some of the stuff you're going to hear in this break.
388050	389630	It is all in the British DDR.
390091	396935	So enjoy this, and we will be back after this with more of the same old crap you know and love here at Orange Lounge Radio.
397295	400597	Join our chat, www.orangeloungeradio.com, click on chat.
400917	403979	We'll be back after this, starting it off with DJ Sammy.
404280	406141	No, not Heaven, the other song.
406161	406581	We'll be back.
420325	424208	Thank you for watching!
463854	465055	Thank you for watching!
610359	617123	Fire in the disco Fire in the Taco Bell Fire in the disco
633539	639441	Fire in the gates of hell Don't you wanna know how we keep starting fires?
639601	646223	It's my desire It's my desire It's my desire Don't you wanna know how we keep starting fires?
646283	654385	It's my desire It's my desire It's my desire Danger, danger High voltage When we touch When we kill Danger, danger
663738	673643	High voltage, when we touch, when we kiss, when we touch Danger, danger, high voltage, when we touch, when we kiss Danger, danger, high voltage, when we touch, when we kiss
701854	705161	Tell me, is life just a playground?
706303	710973	Think you're the real deal, honey And someone will always look out for you
796175	804804	Hiho, Kermit the Frog here, informing you that today's broadcast of Orange Lounge Radio is brought to you by the letter B, the letter A, and the number 59.
810650	816196	We are back here on Orange Lounge Radio, and in that break you heard some songs from Dancing Stage Fusion.
816216	818318	To give you an idea, if you didn't know what some of those songs were...
818778	828950	DJ Sammy with Sunlight, Kylie Minogue coming to my world, Electric Six with Danger High Voltage, also known as the Taco Bell song, and Basement Jacks, Good Luck.
829470	830992	All of those are songs that are really cool.
831172	833455	We played that song in my spin class.
834797	836939	Because I introduced my spin teacher to Good Luck.
837480	839282	Wasn't that a former cage match pick of yours, too?
839682	839982	It was.
