start	end	text
3838	10608	And as we wind down I-95 Our shadow's taller than our soul
22214	36845	And if you listen very hard That tune will come to you at last All for one, one for all Hey, be a rock and not to roll, roll, roll I said roll, roll
55200	75657	and she's buying a stairway to heaven.
78828	81936	and I'm sailing.
89680	111297	Should've been, could've been, would've been dead If I didn't get the message going to my head I am what I am, most motherfuckers don't give a damn Oh baby, think you can, be my girl, I'll be your man Someone full of fun, dude, you tell them well done Little boy, keep coming for my stun gun Beware, take care, most motherfuckers have a cold ass stare Oh baby, please be there, suck my kiss, cut me my share
115217	116798	Hit me, you can't hurt me.
117038	118778	Suck my kiss.
118798	120379	Kiss me, please, but hurt me.
120479	121980	Stick with this.
122240	125321	Is she talking dirty?
125521	127082	Give to me sweet sacred bliss.
127122	128362	Your mouth will make you suck.
144925	145913	I took her out
146704	147945	Thank you for watching!
179646	205254	Then later on, on the drive home I called her mom from a paid phone I said I want the cops and your husband's in jail The state looks down on sodomy And that's about the time that bitch hung up on me Nobody likes you when you're 23 And I'm still more amused by prank phone calls What the heck is call ID?
205274	207215	My friends say I shit at my age
207635	208935	What's my age again?
209356	210736	What's my age again?
210776	213057	Look at those stars.
213077	220479	See how they shine for blue.
220639	221819	And all the things you do.
221939	222699	And they call it...
244793	250679	The following live program is a special presentation of Orange Lounge Radio.
260350	265372	You're listening to Orange Lounge Radio, dedicated to Bomani and video gaming.
265652	270954	Check out Orange Lounge Radio Live every Sunday night at 6.30pm PST.
271274	278277	For more live program information and up-to-the-minute video game news, visit www.orangeloungeradio.com.
287406	292819	Orange Lounge Radio is presented in the TMI sound format.
320978	321579	Oh, God.
321599	322440	Call me Daddy.
340502	344005	Orange Lounge may contain adult content.
344546	348329	Orange Lounge may contain many four-letter words.
349090	352172	Orange Lounge may contain a scene of nudity.
352913	359339	Orange Lounge may contain plenty of... Just kidding.
359439	363162	Orange Lounge Radio will not contain any of that in this episode.
363242	365084	Well, isn't that special?
369634	388120	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
390141	392462	We are live!
392622	394162	And this is episode number 128 for this
396781	399682	January the 23rd of 2005.
400382	407623	You're tuned in to the B-Money Scene's most fabulous radio station of all things B-Money.
408403	410643	My name is Rob Roberts, you might know me as Sky.
411264	414104	Joining me, as always, are my awesome co-hosts.
414684	418905	In this corner, the happiest bunny on the farm, Miss Jamie Summers, a.k.a.
419485	420185	DarkSakura.
421825	422585	You're not on, honey.
422606	424766	Yeah, what up?
424926	425366	There you are.
426420	427260	Now I'm turned on.
427560	428481	What up, my homie?
431582	433342	Oh, it's going to be one of those nights, is it, huh?
434282	435263	I'm full of angst.
436123	437343	Oh, hooray, my favorite.
438544	440844	I'm full of, like, crappy angst.
441425	443145	We haven't had angsty Jamie in a while.
446906	448927	We haven't had the grudge chick in a while, either.
452948	455889	Also joining us, say hello to Techmaster Loki.
457563	460185	I know, I've been gone, I'm an M.I.A.
491197	492898	Are you going to be doing a strip show on cam?
492918	493978	I might say that.
494178	494518	Alright.
496119	500022	Alright, also here tonight, say hello to Victor, a.k.a.
500082	500822	NoStylin.
501783	502083	Hello.
502943	503684	Hello, how are you?
506445	507966	I'm doing quite well, Rob.
508006	510328	I have to interject.
510508	510728	Yes.
510788	512309	There's a request to hear the croak again.
521815	527918	Also joining us, say hello to DDR Angel, who has appeared to have spilled some beer on her shirt.
551522	553803	Was Pixie Dust flying over speed bumps again?
554763	561386	Yeah, kinda, except for the fact that she tried to make me laugh while I was trying to drink an energy drink that didn't taste very good.
562246	566228	So... Oh, no.
566348	567208	Wait, I can't hear you, hon.
567488	568448	Is the mic on over there?
570509	570769	Yeah.
570949	572690	Pixie Dust, speak, Pixie Dust, speak.
573170	573370	What?
573971	575071	It's only a three-hour show.
575111	575731	What was your story?
576091	580033	Well, she was looking like she was taking a shit while she was drinking the energy drink because her eyes were starting to, like...
582649	583150	Right.
584010	585191	Anyway, okay, that's the story.
585211	585831	Nobody cares.
585891	586392	Bye-bye.
588053	590034	Alright, I know we have more special guests.
590074	593497	We have some surprise special guests who are going to show up any minute.
593577	594678	I'm very excited about that.
595258	598220	And a whole much more stuff to talk about tonight.
599441	603444	Konami has a big, fat announcement, and people think they've figured out what it is.
603884	606446	We've got Dance Dance Revolution Mario stuff.
607427	607947	It's great.
608087	609328	I know what the Konami announcement is.
610103	613246	You know, all the people in power there have a humongous daikon up their butt.
613946	618030	The Konami announcement is... Get a life!
619892	620272	No, I'm kidding.
620492	623034	We'll be talking about all that stuff and how was your week, how was your day.
623375	626557	All your favorite segments, etc., etc., etc.
626657	630681	Right after this, this break is all by request.
630781	633764	I'm doing this as a favor to one of our buddies in chat.
634024	635585	And it's all Ultramix 2 music.
635925	637547	So enjoy, and we'll be back.
638172	639978	After this with more Orange Lounge Radio.
667471	677698	Let me tell you something you don't know Let me tell you something you don't know
697682	701466	Let me tell you something you don't know
786532	787026	and many more.
859787	875456	Understand me now The frequency of the beat gets higher Baby, I'll be the strong one to survive Over mysteries of life
894014	912320	In the lonely streets of the broken shield So keep on looking upon me, thinking don't stop, don't fear, run away, go for the fire Baby, I've stopped enough Just keep on living, don't stop, even the devil will be pleased when he gets you in the streets of the heartbreak Baby, I've stopped enough
923801	946529	I'll meet you there, cause I need you there, all night But keep on looking upon me, thinking don't come, don't be a runaway Go for the fire, baby I'm tough enough, ah But keep on living the throne, stop giving the devil the dream To get you in the deep of the heartbreak, baby I'm tough enough, ah
972654	976955	Orange Lounge Radio is proud to present a celebrity interview.
977835	979476	Can you introduce yourself for our listeners?
979936	980756	I'm Miss Cleo.
981316	982897	Oh, it's great to have you on the show today.
983257	984337	Hello, how are you today?
984887	985828	I'm great, thanks.
985988	987029	Did you have a question?
987449	993373	Well, yes, actually I wanted to know... Can I please have your first name only and your birth date, please?
994473	999076	Uh, well, no, I actually just wanted to know what you thought of Orange Lounge Radio.
999336	1000217	Alright, go ahead.
1000597	1003759	Well, what do you think of Loki, one of the three hosts of Orange Lounge Radio?
1004119	1004980	Is he incarcerated?
1005692	1006973	Uh, actually, no, he's not.
1007033	1009274	But what do you think of the ever-ranty DarkSakura?
1009434	1010714	Hi, dear, how are you?
1011294	1012015	I love you.
1012255	1013755	I see you two must know each other.
1013856	1015156	Well, what do you think of Sky?
1015456	1017397	Did he used to play football when he was in high school?
1017637	1019078	Well, actually, no, he didn't.
1020298	1022159	Well, what do you think of Intern Zero?
1022599	1025981	I want you to really remember the pill, alright?
1026461	1028442	I'm seeing some forgetting, possibly.
1028742	1031663	And I'm seeing a new baby in the next three months.
1032425	1032825	Right.
1033125	1036026	Okay, well, thanks for being on Orange Lounge Radio today.
1036186	1041228	Um, I don't mean to sidetrack your question here, but who are all of these nosy people?
1041488	1044789	Outside influences I'm seeing around you by the moon card.
1044989	1045910	Get away from me.
1048431	1053252	Orange Lounge Radio, helping to free your mind and spirit.
1053732	1054553	I'm Miss Cleo.
1054933	1055673	I love you.
1058034	1060815	We are back here on Orange Lounge Radio.
1062344	1064065	Thank you for joining us on this lovely Sunday night.
1064865	1067186	We're here, of course, every Sunday night for you guys.
1069107	1071288	6.30 Pacific Standard Time to 9.30 Pacific Standard Time.
1071468	1076670	All that discussion on rhythm and music, video gaming, and video games that don't suck.
1077450	1077950	And some that do.
1080111	1082732	Join us in our chat room, www.OrangeLawnTrader.com.
1082752	1083473	Click on chat.
1084373	1085994	Whatever happened to Intern Zero, by the way?
1087194	1091496	I know a whole bunch of crap about him that I'm not at liberty to speak of.
1092217	1093579	But it involves legal action.
1093779	1094840	Make up your own story.
1095861	1097062	That could be a contest, maybe.
1097102	1097843	Write your fanfic.
1097923	1098444	Okay, maybe not.
1099024	1101227	Anyway.
1102488	1112018	He was abducted by aliens and went up with Richard Dreyfuss, and then they flew away while Steven Spielberg got rich.
1113599	1114420	Yes, that's it.
1115259	1120402	Anyway, usually we start off the show playing a little bit of how was your week, how was your day, and we're going to get into that in a little bit.
1120462	1123924	However, I did want to kind of make an exception tonight for this.
1125164	1129667	Jamie and I were talking about this a little bit before tonight's show and we thought we wanted to take a minute to acknowledge this.
1130285	1156662	If you have had the television on at all today, I'm sure you've heard about this, so we're probably not the first ones to break this news to you, but Johnny Carson, you know, the late night guy that was on for many, many, many years, he passed away today, and we just wanted to take a minute to kind of offer up a moment of silence, because I don't know about you guys, but for me, I think Johnny Carson is an inspiration to any sort of talk program ever.
1156762	1158603	I mean, the guy was absolutely hilarious.
1158663	1159604	He was a comic genius.
1160409	1166173	So many people on his show, so many careers of celebrities that we know today got started all thanks to his help.
1166673	1171036	And I just want to take a minute to acknowledge Mr. Johnny Carson.
1171577	1172537	A moment of silence, please.
1177261	1178061	All right, thank you very much.
1179222	1180323	Anything you want to add to that, Jamie?
1181323	1183285	I remember that weird curtain he had.
1184445	1187888	I remember the curtain reappearing in Mallrats.
1188988	1189909	I remember Ed McMahon.
1191459	1192520	DarkSakura, DarkSakura, DarkSakura, DarkSakura
1224904	1227765	It's very little bit cold outside, isn't it?
1229266	1231887	Excuse me for a second.
1231927	1237309	Just so you guys know what's going on, we're just... Oh, say hello, Mr. Man, who just picked up the microphone, who's getting glomped right now.
1237810	1242852	Oh, yeah, it's... Yeah, that guy called Floatwalk, and he's got something to say later.
1243592	1244673	Oh, okay, all right.
1245513	1245673	And?
1245953	1248014	And his faithful traveling companion, Sharkskrull.
1248074	1249254	Hello, Sharkskrull.
1249315	1250195	Hello, how are you?
1250215	1250315	Hello!
1251239	1252540	Hello, I have presents for you.
1252560	1254142	Thank you for making me feel special.
1254162	1260067	I gotta let DarkSakura finish her thought that she was starting with.
1274426	1279791	My week was, well, it started off really good because I started my new position at work on Tuesday.
1280431	1284434	Making more money, doing cooler stuff, and not talking to people on the phone.
1285816	1292061	And then as of Wednesday, I was single for about most of the day.
1293522	1295283	As Lynn literally dumped that day.
1296825	1297025	Yeah.
1297045	1297125	Yeah.
1298292	1300013	and things have since been repaired.
1301754	1310558	Although it's been a very, very, I'm not, of course, it's nobody's real business what happened, but I've been very much on edge for this entire week.
1311799	1315100	And today has been the first good day of my entire week.
1320243	1320543	It's just,
1324794	1325754	I'm not really going to go into it.
