start	end	text
4002	4783	Thank you for watching!
24269	26352	Thank you for watching!
41889	43090	Thanks for watching!
65071	66715	Thank you for watching!
76878	82042	Every step up, I'll be in the middle of the world, so I can make my dreams come true.
82062	85885	Somehow, I'll send you a phone call, and I'll tell you my secret.
85905	91029	You can hear the sound of the wind, flowing, flowing, and this time, the sound of the wind.
91109	94212	I'll listen to the sound of the wind, and I'll stack up my mirrors.
94352	97394	I want to get the same feeling, a life that's irreplaceable.
97534	100056	It's a dream I had when I was young.
114210	115432	Thank you for watching!
144568	161482	Luka na kibi no kaidan wo Luka na kibi no kaidan wo Luka na kibi no kaidan wo Luka na kibi no kaidan wo Luka na kibi no kaidan wo Luka na kibi no kaidan wo Yume ga yandashima hommashika Luka na mokete kawashika
174873	176414	Thank you for watching!
199949	203611	Orange Lounge Radio is presented in the TMI sound format.
241799	246603	You're listening to Orange Line Radio Live.
246703	252187	Big Mommy Talk Radio is so much more than all.
270002	270927	Oh, God.
271188	272133	Call me Daddy.
275369	278911	Orange Lounge may contain adult content.
279412	283194	Orange Lounge may contain many four-letter words.
283955	287037	Orange Lounge may contain a scene of nudity.
287777	294201	Orange Lounge may contain plenty of... Just kidding.
294321	298024	Orange Lounge Radio will not contain any of that in this episode.
298344	299965	Well, isn't that special?
304512	325556	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, Dark Sakura, Sky, and Loki.
326277	329177	We are live!
329757	331158	And this is episode number 131 for this
333410	361916	February the 13th of 2005 You're tuned in to the B... Monty Steen's most lovable radio station of all things Monty My name is Rob Roberts, you might know me as Sky Joining me as always are my awesome co-hosts, well one of them at least DarkSakura is out tonight She's doing Valentine's Day stuff today We'll talk about that a little more later But I am joined by the one and only Loki Hello
363695	368497	and filling in for DarkSakura tonight, we do have, well, she's always here, of course, CDR Angel.
369277	369577	Hello.
371417	372018	And that's it.
372538	382701	It's just the three of us here in studio tonight, feeling the love here on this appropriate Valentine's Day-ish show, even though it's not really Valentine's Day.
382741	386342	I mean, you got it tomorrow, so, you know, might as well talk about it today.
387322	391844	I'm sure we'll be talking about that as well as some of the stuff going on in the Bomani scene.
391864	392124	There's a
392674	395657	There's some interesting stuff going on out there, so we've got to definitely talk about that.
396197	399160	Loki's got a little project he's been working on for a long-ass time.
399180	400942	We're going to have to talk about that as well.
402083	404385	All sorts of fun stuff for you guys tonight.
405867	411352	And, of course, since we're a little short on folks in studio, we'll be relying on you guys to help us out tonight.
411372	413634	So definitely check out the Skype line.
414214	415636	www.orangeonsradio.com.
415676	416777	Click on Interact With Us.
417629	421370	and we also have the chat room, www.orangellantrader.com, click on chat.
421930	428032	No webcam yet tonight, debatable if we're going to turn it on or not because there is so few of us here in the studio, there's really nothing to look at right now.
428492	433433	Although, I don't know, we might want to turn it on later to show... Yeah, we're probably going to turn it on a little later, it's just not on right now.
434054	436294	You can look for that over at www.orangellantrader.com.
437855	442396	So, without further ado, we're going to get to some music, start off tonight's show.
443169	448233	and I figured since tomorrow is Valentine's Day we'll do some appropriately themed love songs.
448894	449394	Kinda.
449914	450195	I don't know.
450235	452696	I think I'm stretching it with a couple of them here but we'll see.
453177	458261	So enjoy this and then we'll be back with Monty Talk, Game Talk and all your favorite nerd talk.
458301	459602	We'll be back after this.
462104	469470	I was the happiest guy That's what everyone said
502185	504006	Thank you for watching!
542040	542521	Thank you.
568274	572947	I just gotta have it, I believe in the medical
677993	683857	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
709677	727882	I call you, I need you, I want to be your love I kiss you, I touch you, I give you all my life I love you, I call you, I need for you all my life I always wish to be with you
761460	767504	This is radio station CJ Boogie with a brand new world premiere song for Captain Jack, Only You.
851705	857567	Please listen to Orange Lounge Radio, because real radio makes Captain Jack cry.
862308	867270	Hello boys and girls, and welcome back to Orange Lounge Radio, episode number 131.
868210	871791	In progress, we're here on this Valentine's Day eve.
873035	877599	Happy Valentine's Day to all you lovebirds out there, all you happy, sweet little couples.
878600	881922	And to the rest of you, happy Bitter Singles Awareness Day.
882202	885905	Yes, you're in the same boat that I am, so the next break of songs will be for you.
887066	890930	I'm going to pick some good bitter, angry songs for the next break.
891130	892511	I don't know if there's really a whole lot of
893208	893428	Jamey
914033	915954	AKA DarkSakura is not here tonight.
916534	920016	She is spending Valentine's Day Eve with her man.
920496	925158	Because, you know, she's engaged and, you know, has her hetero life partner or whatever.
925799	927299	I can't remember how she refers to them.
927340	929741	But, you know, they're out and doing their thing.
930541	934123	I guess because tomorrow being a work day, it's a little harder to do stuff.
934163	937905	So they're doing their lovey-dovey stuff tonight.
939525	940886	I suppose we can forgive it.
941426	942687	As long as it's only once a year.
943493	946456	The minute they try to bring Valentine's Day into another holiday, forget it.
946536	947016	It's done with.
951120	953563	Wait a minute, wait, wait.
953963	955424	Loki's saying something about, I'll allow it.
956405	959008	Loki, I thought Valentine's Day was a pain in the ass for you.
959028	965734	I said, I'll allow it, as Judge Mills Lane would say.
967035	967336	Alright.
969864	973487	We'll start off the show as we usually do, playing a little bit of How Was Your Week, How Was Your Day?
974067	979311	And I guess we all know that DarkSakura is the one that usually starts us off, and we all know that she's doing great tonight, I'm sure.
979892	982734	So, you know, well, I guess we'll go to DDR Angel.
982814	984135	DDR Angel, how was your week, how was your day?
984956	987538	Actually, it was kind of depressing for once.
988218	988939	Me, depressed?
989019	989739	Yeah, right.
989879	991400	Okay.
992221	994923	First of all, like, Tuesday when I went to school, everything was fine.
996024	998506	Until, like, just before my second class.
999011	1002512	When I realized my Linux book was missing.
1003492	1006773	And so I was in a slight panic, emailed the teacher, all that stuff.
1007953	1008973	Wondering where the hell it went.
1009293	1015535	And also, in the next 48 hours, I was preparing myself to actually have to go out and buy the book again.
1016255	1024797	But I went to class Thursday, and it turns out that the student that sits next to me decided to grab it on accident.
1024837	1026477	So she ran up to me on...
1027267	1056117	Thursday and gave it back and you know was really apologetic and stuff and so it was just a turn around from a bad situation to a good one again so that turned out really well and the next depressing thing that happened to me is unfortunately permanent so that kind of sucks the radio station I was DJing for KTHR also known as Pulse before it was KTHR um
1056980	1066743	They ended up shutting down this week, so after three years of my life, I'm no longer DJing for a station that I actually like DJing for, so that kind of sucks.
1066763	1071745	You know what, and all that news about what they're doing, I think it's time for us to quit too.
1072586	1083189	Well, it was sad for me because, honestly, if it wasn't for Orange Lounge, I wouldn't have found them or anything like that, and that was two and a half years ago.
1086056	1094442	Something like that, when you went to your buddy's show and boom, next thing you know I'm DJing for them.
1094602	1097004	Oh, that's right.
1097064	1101447	You didn't find out about them until I went and did the guest thing on their network.
1101827	1102607	Yep, that's right.
1102808	1105790	And you know, that DJ, she's back in town this weekend, so it's kind of neat.
1107030	1108852	I don't think she's listening, though.
1108972	1110253	No, she's out.
1110353	1112214	She's either working or she's partying.
1112674	1114215	There's not a whole lot else to do in town with you.
1114235	1115016	Probably partying, you know.
1116118	1116418	Oh yeah.
1116778	1144555	So, you know, I either have a choice of going to a newer radio station or just kind of hanging low and whatever and, you know, if it wasn't, I realize that Orange Lodge was obviously my first radio station I was associated with, so you guys are always going to be first, but as far as, you know, side work was concerned, the other radio station was just what I did and for half the week I was just really down and
1145345	1148689	I still am a little bit, but I'm getting over it a little bit, you know, slowly.
1149469	1157658	Well, you know, and as I said, because you'd mentioned this, and LJ, LiveJournal, for those who don't know, LJ is a place where we can all get a little emo when we need to be.
1158019	1158759	Yeah, really.
1159280	1161462	You made a little bit of an emo post earlier this week.
1161883	1162263	I did.
1162283	1162904	Because you were sad.
1162944	1164806	You were like, I'm so depressed.
1165627	1166788	I really was, though.
1167188	1186426	But, I mean, you know, as I mentioned in LiveJournal, I'll tell you again, for the benefit of our listeners, you know, when a radio station like that closes down, you just have to remember the good memories you have of the people you met there, and, you know, you'll know those people for some time, and some of them will go off and do other projects, and, you know, maybe you can help them out with that, but you'll remember the radio station for a long time.
1186747	1187607	You know, it's inevitable.
1187728	1190230	Orange Lounge Radio will not last forever, you know.
1190660	1192721	The three of us have to die someday.
1194402	1200585	So... I don't plan on dying ever, so... I can't help it.
1200645	1203547	Oh, you clicked on... Oh, you know the secret to immortality then.
1203827	1205028	From that banner on the internet.
1205068	1206849	The secret of... Forget it.
1207089	1207949	Yeah, go fake.
1208369	1213352	Yeah, they sent out one spam mail seeing who had actually, you know, hit on that.
1213612	1215433	And actually one of them was real.
1218455	1218815	Oh, I see.
1218855	1219055	Okay.
1219075	1219155	Okay.
1219542	1220203	And you know what?
1220663	1223606	Not only will I live forever, but my penis is larger than ever.
1227449	1230291	And you're getting V1 Agra really cheap?
1231012	1231432	Exactly.
1231472	1232233	V1 Agra?
1232493	1234235	And my breasts, they're firm and large.
1236597	1243623	Anyway, it's inevitable that Orange Lounge Radio is going to die someday, so I hope you all don't.
1244264	1245365	Get too teary-eyed when it happens.
1245405	1248967	Someday, but I hope not soon, just because... It's not going to happen soon.
1249367	1250428	I don't think so.
1250708	1261736	Unless we get the offer to take this to a real thing, like satellite radio, or go to some television outlet.
1265138	1270822	As I've said this time and time again, I would sell out in .5 seconds to the highest bidder.
1272307	1274748	My soul is up for... I'm putting my soul up on eBay.
1276549	1276789	Anyway.
1277890	1279471	I'd be like, you're going to pay me to do this?
1279871	1280191	Okay.
1281512	1283373	Do you want to pay me for doing Wayne's World?
1283553	1283953	Sure.
1285774	1287955	How did I know you were going to go there?
1288836	1290156	That movie is like my anthem.
1290617	1292257	It's like... Anyway, sorry.
1292478	1293018	I'll shut up now.
1293358	1293558	Angel.
1294238	1297060	Um... Jeez, what else did I get into this week?
1298181	1298921	Uh...
1300296	1301837	Some online game that I can't talk about.
1302857	1303797	Loki knows what I'm talking about.
1303957	1304217	Anyway.
1305598	1307699	Yeah, so that was pretty fun.
1309259	1312720	God, I haven't even been able to play Final Fantasy XI this week.
1313260	1315061	Just because of all the crap that's been going on.
1318062	1318842	I guess that's it.
1318862	1321723	I can't really remember much else.
1321943	1322844	Great.
1323204	1323544	What?
1324004	1326585	I just had to point out, they're making bids in the chat room right now.
1330567	1331168	No comment.
1331248	1333129	I need to learn to keep my mouth shut on this show.
1333390	1339095	I know it would make for interesting radio if I didn't say anything, but every time I open my mouth, I get myself in trouble with the chat room.
1339135	1342017	All I got to do is pay more than I'm making out of my job, which isn't that much.
1342037	1342638	Which isn't much.
1342758	1343919	Some of these bids are making.
1344179	1345340	Some of these bids are making.
1347942	1349524	So far, all but, like, one.
1349544	1353667	Anyway, sorry, Angel.
1353687	1354328	We keep cutting you off.
1354548	1355069	No, it's okay.
1355369	1356009	I would go for the...
1357466	1358187	S, Actdeft, Drew, Carameldansen
1383331	1390976	Well, kind of, except you don't have, like, the... There's no prostitutes and gamblers and all that stuff that basically... Because you heard this is what happened to Sims Online.
1391016	1397840	Sims Online was supposed to be this, you know, great new online experience game, and it quickly turned into every Vegas street corner.
1398280	1399301	That's fucking awesome.
1400181	1404224	I would play Sims Online if it didn't cost money, just for that.
1404984	1411128	Well, theirs is actually kind of worse, because you end up using your own money to get, you know, game money...
1411713	1412513	and all that stuff.
1412853	1415094	So you kind of have to watch yourself, otherwise you'll go broke.
1415714	1417355	That's the other interesting thing about there.
1417455	1423496	They have made buying the in-game currency with real money, like, not a problem.
1424256	1425957	Seriously, because you'll... That's the way it should be.
1425997	1439541	Whereas every other online role-playing game, you know, Final Fantasy, EverQuest, World of Warcraft, you know, they frown on people selling the gold or the gil or the whatevers outside of the game for real money.
1439821	1440461	But there...
1441829	1443709	I haven't learned jack shit from farming.
1444069	1447170	All I learned is that I might die if I'm not paying attention.
1449970	1454171	Yeah, so, I mean, there's kind of different like that.
1455591	1458292	I ended up getting there married, quote, end quote.
1460032	1460272	Aww.
1460292	1460652	Shut up.
1462433	1463313	It was cute, whatever.
1463433	1464893	So you had an online wedding?
1465973	1466093	Yeah.
1466753	1467493	Only in America.
1468014	1470554	I want a there honeymoon.
1473228	1474849	Yeah, what did you do for the there honeymoon?
1475710	1476871	Um, nothing yet.
1476911	1477651	He said he's going to do it.
1478152	1479633	He said he'll probably do it tonight or whatever.
1479653	1480954	He's going to do it tonight.
1480974	1482014	He's going to do it tonight.
1482034	1483335	Shut the hell up.
1484136	1486558	Hey, it was kind of cool, but he shot me off a cliff.
1487518	1488279	Yeah, shut up.
1488739	1489740	I knew that was going to go there.
1489760	1492042	Can you buy some there condoms with real life money?
1493683	1494824	See, now I got them started.
1494864	1496265	What the hell was I thinking?
1496285	1497846	You better get there morning after pill.
1498559	1501121	Otherwise you're going to have their illegitimate child.
