start	end	text
47944	55348	If we took some time apart, you would find me no more I'm here and waiting for you, where are you?
116593	117848	Thanks for watching!
298464	300345	Thank you for watching.
325511	330897	Orange Lounge Radio is presented in the TMI sound format.
358852	359653	Oh, God.
359693	360454	Call me Daddy.
378594	382057	Orange Lounge may contain adult content.
382637	386380	Orange Lounge may contain many four-letter words.
387141	390263	Orange Lounge may contain a scene of nudity.
390984	397408	Orange Lounge may contain plenty of... Just kidding.
397529	401231	Orange Lounge Radio will not contain any of that in this episode.
401552	403173	Well, isn't that special?
407740	426253	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, Dark Sakura, Sky, and Loki.
428695	430857	We are live!
431832	438656	And this is episode number 133 for this, February the 27th of 2005.
439157	447202	You're tuned in to the B-Money Scene's most Oscar-worthy radio station of all things B-Money.
447802	449943	My name is Rob Roberts, you might know me as Sky.
450464	452305	Joining me as always are my awesome co-hosts.
452705	456507	Say hello to the happiest bunny on the farm, Miss Jamie Summers, a.k.a.
456587	457868	DarkSakura.
458168	458929	Fuck the Oscars.
460495	462056	That's right, that's tonight's theme tonight.
462116	462996	Fuck the Oscars.
464056	468178	The Oscar goes to me for being so great.
469018	472199	Also joining us... I'm sorry, you can't win the Oscar because you didn't get naked.
472319	473779	I did not get naked this year.
474099	475820	I might tonight, however.
476840	477060	No.
478781	480722	I'm getting the old thumbs up from our special guest.
480982	484923	Who we will get to momentarily after we introduce... Loki, TechMassa.
485343	487604	I have corn on one side and rice on the other.
489437	491879	That sounds like a very interesting porno I want.
491939	492299	Never mind.
496962	509890	Also joining us tonight, say hello to our very special guest, who, believe it or not, in 133 weeks of Orange Lounge Radio, has never been to a live show, I do not believe.
509970	510130	No?
510230	511051	Was there one other time?
512111	515393	There was the tournament, and then there was when I did it at the house.
516034	516134	Oh.
516969	520051	Okay, but that's never been here at the Orange Lounge Studios.
520071	520532	No, not here.
521793	521973	Alright.
522153	523234	So make sure the mic's on, bud.
523614	525315	Make sure it's in the on position.
525516	525776	Really?
526016	526857	Into the microphone.
526877	527337	Hello.
527537	528138	Oh, there you go.
528258	529839	Say hello to Dan!
532441	534622	And why is Dan so special, DarkSakura?
536124	537385	Uh, because we're getting married one day.
537405	538846	Because I rock.
539726	541908	Dan is DarkSakura's hetero life mate.
542842	544763	Yes, my head went like this.
546103	551665	So this should be a very interesting show because now I have someone to gang up on Jamie with.
551705	552766	This is going to be fantastic.
553066	557367	Yeah, but when we get home, Dan's ass is going to be kicked.
557387	560148	You'd like to think that, wouldn't you?
560188	561168	He got second five.
561228	561809	I'll school you.
563382	567125	Loki, you're too busy eating on this show always to make fun of Jamie with me.
567145	567665	No, I'm kidding.
568186	570988	I can't make fun of Jamie because she kicks my ass and makes me cry.
572929	577973	Anyway, we will be back shortly after a quick break to kick things off in tonight's show.
578474	582817	During tonight's show, by the way, we're going to have a brand new song premiere for you guys.
583297	586119	Those of you guys with Xboxes, I'm sure you already heard this one.
586159	588761	It's the brand new In My Eyes mix from Song Pack 8.
589402	591984	But if you haven't had a chance to hear it yet, you're going to.
592697	596282	In about 20 minutes, we'll be back after this with more Orange Lounge Radio.
596302	600369	Join us in the chat room, www.orangeloungeradio.com.
600689	601771	Click on chat.
601971	602472	We'll be back.
602712	603333	We'll be back.
629964	632727	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft
675472	676303	DarkSakura
784762	785723	Thank you for watching!
805510	806471	Thank you for watching!
843937	844918	Thank you for watching!
938368	939749	S, Actdeft, Drew, Carameldansen
976855	980057	After this song, we'll be having a Let Them Move Marathon.
980337	982518	No!
982598	983258	Just kidding.
983699	984739	Orange Lounge Radio.
984819	986420	Crap-free Bavani Radio.
988341	991603	We are back here on the lovely Orange Lounge Radio.
992685	993325	Thank you for watching!
1021058	1022579	I'd like to accept this award.
1023859	1025780	And I'd like to thank my mother and my father.
1025800	1027341	This world is shit!
1029241	1031582	That was the best acceptance speech of all time.
1031983	1035504	When Fiona Apple got up there and said, she was drunk off her ass.
1035544	1038625	This is like what the MTV Awards, what, like 10 years ago almost at this point?
1038965	1041426	She gets up there, oh my god, was that really 10 years ago?
1042127	1042387	Yeah.
1042627	1044448	I'm so old!
1045088	1047149	I was living here when it happened.
1047409	1048089	Oh, okay, good.
1049230	1049450	Phew.
1049470	1050050	Yeah, maybe...
1050819	1051139	Jamey
1079878	1080419	Start us off.
1080459	1080919	How was your week?
1080939	1081320	How was your day?
1096111	1097632	I know, I'm just... We need to fix this.
1099753	1114442	This is why I can't watch the Oscars, even though they call it the Gay Man Super Bowl, and if you hadn't heard the little rumor going around about me, even though they call it the Gay Man Super Bowl, I can't watch this program because I don't see any of the movies, like ever.
1115302	1120105	I think this year I've seen two of the movies, which is like more than ever.
1121506	1123307	I would have to second that.
1123407	1124988	I don't really go to the movies that much anymore.
1125069	1127690	And when I do go to the movies, I usually see like foreign shit.
1128491	1131113	I usually pick a movie and then see it a bajillion times.
1131153	1132734	Like, I saw Phantom of the Opera twice.
1135335	1139198	Well, see, I saw Rocky Horror Picture Show like 200 and something times.
1140198	1145702	If I have to see another period piece starring Leonardo DiCaprio, I am going to scream.
1148304	1149905	Or fucking Dame Judi Dench.
1150720	1153882	Dame Judi Dench in every period piece there ever was.
1153923	1155103	There's Dame Judi Dench.
1155444	1158786	Don't get me wrong, Dame Judi Dench is a great actress, but damn.
1159767	1160127	My week.
1160528	1161048	Oh yeah, sorry.
1162149	1163630	My week was spent in a coma.
1165331	1169474	Well, more like being half in a coma and half playing Final Fantasy XI.
1170055	1172457	Because I did not have the energy to move out of my chair.
1174518	1175379	It'll do that to you.
1176540	1176700	No.
1176720	1176760	No.
1177666	1180808	I, um, I basically ran a fever.
1181228	1182709	The highest it was when I checked was 103.
1182969	1189413	And, uh, it's like Friday, like Saturday, I stopped running a fever.
1190353	1191193	I went to the doctor.
1191574	1193575	She said, your ass ain't going to work.
1194795	1206922	And basically I had some type of viral infection that almost became, she said that it was leaving me very open to bacteria and that it was basically settled in my sinuses and the head.
1207762	1208202	Microphone.
1237968	1243670	Um, and, uh, yeah.
1243690	1246192	Um, and, uh, what else did I do?
1246252	1249213	Oh, yeah, yesterday we cleaned our room and found the floor.
1250593	1252554	We threw away, like, two years worth of crap.
1254455	1258296	Um, I got disconnected from the chat room.
1259677	1260137	Shut up!
1262018	1266600	Um, but I also, uh,
1268611	1269592	What else did I do?
1270633	1273394	Oh yeah, today we went and bought like lots of stuff.
1274675	1275416	And had dinner.
1275436	1276436	And that was it.
1276656	1277397	And it got second five!
1279578	1283121	Which is, even though I haven't played the home version yet, the most awesome game in the world.
1285502	1285822	That's it.
1287283	1288324	Alright, Loki!
1289625	1291046	I know you're trying to eat, but it's your turn.
1291086	1291546	How was your week?
1291566	1292066	How was your day?
1292647	1295949	So anyways... I was chewing...
1297341	1298321	and then stuff happened.
1299041	1299181	No.
1301742	1305683	Right now, since I had sort of like lunch for breakfast, I'm having breakfast for dinner.
1306543	1308204	You know, just to kind of balance things out.
1308284	1309924	You're having a dyslexic meal day.
1311044	1311624	Exactly.
1312945	1315785	I'm having, you know, it's actually pretty good for me.
1316105	1316766	Crispix.
1317886	1318686	It's damn good.
1318986	1321887	And, you know, I've already eaten half the box.
