start	end	text
26463	27924	and the rest of the team.
55416	60323	We're there, we're there for the night, love forever had in hand
133847	139737	The following live program is a special presentation of Orange Lounge Radio
156208	159670	Orange Lounge Radio is presented in the TMI sound format.
188700	189460	Oh, God.
189660	190361	Call me Daddy.
209273	212855	Orange Lounge may contain adult content.
213296	217098	Orange Lounge may contain many four-letter words.
217859	220941	Orange Lounge may contain a scene of nudity.
221661	228105	Orange Lounge may contain plenty of... Just kidding.
228205	231928	Orange Lounge Radio will not contain any of that in this episode.
232028	233429	Well, isn't that special?
238426	256850	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
259119	261880	We are live!
261900	268843	This is episode number 138 for this, April the 3rd of 2005.
269523	276626	You're tuned in to the B-Mani Scene's most sexy radio station of all things video gaming and B-Mani.
277366	279767	My name is Rob Roberts, you might know me as Sky.
280087	282408	Joining me as always are my awesome co-hosts.
282588	284989	In this corner, the happiest bunny on the farm,
285984	288326	Miss Jamie Summers, you might know her as DarkSakura.
288506	289627	I have a mouth full of nuts.
290368	290768	Hot!
292130	292750	Macadamia.
293211	293891	Oh, not hot.
294312	294612	Not hot.
294632	295052	But yummy.
295353	296073	But yummy, very yummy.
296093	296734	Yes, very yummy.
297074	298055	Sweet and not too salty.
298235	298496	Great.
299791	308334	Also in this corner, say hello to our tech massa slash the official, I'm giving him a new title tonight, the official Orange Lounge pirate.
308834	309194	Arrrr!
309994	310294	Loki.
310954	311835	Why am I a pirate?
312215	312695	Arrrr!
312835	314395	I don't know, because you do pirate-like things.
314415	316816	Because you're always chasing the booty, that's why.
318036	318336	Okay.
319557	320217	How are you, sir?
321037	321477	I'm fine.
322638	325599	Also say hello to a regular guest, DDR Angel.
326539	326799	Hello.
328823	333684	who's feeling as angel as always, I guess, I don't know, and brought me taffy, which is awesome.
333704	336345	You want some, too?
336945	342006	Better hurry up and eat some, because I'm, like, porking through all this taffy, I'm like, food, candy, sugar, it's yummy.
