start	end	text
490	17009	GOMATO1999, I'm Miho Hattori, straight out the purgatory, I, I, alright, I'm passing your race, don't be snobbish with me, no, I, I, truly no movie, everyone can know me, told me in the lobby, technically, I'm three, and I can find a key
18474	25680	There's a hole on Broadway No control, it's in my way I feel no goal, where's my soul?
25820	35407	I got no respect for this game There's a hole on Broadway No control, it's in my way I feel no goal, where's my soul?
35567	43994	I got no respect for this game Our name is stereotyped with a name I've got to get the shit straight Can you relate, my mate?
44054	47777	Don't be late, my gate is open Valentine still sends me up in the sky
51820	68874	There's a horn on Broadway No control, it's in my way I feel no wrong with my song I got no reason for this game There's a horn on Broadway No control, it's in my way I feel no wrong with my song I got no reason for this game There's a horn on Broadway
74378	78021	No control, it's in my way, I feel no goal, where's my soul?
78041	84586	I got no reason for this game, there's a war on both ways No control, it's in my way, I feel no goal, where's my soul?
84686	86067	I got no reason for this game
109847	121011	The following live program is a special presentation of Orange Lounge Radio Orange Lounge Radio is presented in the TMI sound format
154097	154838	Oh, God.
155438	156338	Call me Daddy.
185283	188784	Orange Lounge may contain adult content.
189324	193125	Orange Lounge may contain many four-letter words.
193865	197406	Orange Lounge may contain a scene of nudity.
197667	204108	Orange Lounge may contain plenty of... Just kidding.
204208	207929	Orange Lounge Radio will not contain any of that in this episode.
208029	209870	Well, isn't that special?
214432	232918	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, Dark Sakura, Sky, and Loki.
234479	237500	We are live!
237520	240721	This is episode number 139 for this
243840	246001	April the 17th of 2005.
246901	253222	You're tuned in to the B-Money Scene's most empty radio station of all things B-Money.
254682	256783	My name is Rob Roberts, you might know me as Sky.
256823	258803	Joining me as always are my awesome co-hosts.
258823	260984	In this corner, the happiest bunny on the farm.
261044	264084	Say hello to Miss Jamie Summers, you know her better as Dark Sakura.
264505	266145	I am the titanium chef.
267545	269826	You're better than an iron chef, you're the titanium chef.
269946	271066	And I'm an internet celebrity.
272057	272557	Yes, you are.
272617	272918	All right.
273558	275979	And also with us tonight, say hello to Loki.
276780	277200	Hi.
277720	278100	I'm here.
278721	279041	All right.
279581	283543	And also with us tonight, our regular guest, DDR Angel.
284324	285904	Yay, I'm regular?
286765	287005	Yeah.
287585	287885	Anyway.
290047	290387	I don't know.
290407	291707	That's a personal question, honey.
291767	292508	I can't answer that.
292888	293528	Shut up.
294789	296450	I'm sure she keeps up with plenty of fiber.
297020	301601	Also joining us tonight, we have another special guest who just walked into the studio here.
302381	310663	Say hello to our resident... I don't know, he's our resident... We need a title for him, I don't know.
311223	311803	Pepsi Bringer.
312223	313083	Okay, Pepsi Bringer.
313163	320605	And he's a staff member over on the DDR Freak and a well-known community member, long-time player.
320645	321445	Say hello to Islander.
321665	321985	Hello.
322005	322105	Hello.
322708	323329	How you doing, sir?
323549	324590	I'm doing just fine, yourself?
324850	325150	Good!
325791	335238	I am a little sad, though, because as you have heard, the rumors are true, tonight is the last episode of Orange Lounge Radio.
336599	337340	From this studio.
338000	343005	So... I was about to say, all the more reason I'm here, but alright.
343605	346988	So, yeah, we are starting over.
349069	349530	Actually...
350359	362085	This is, yeah, actually that's kind of the theme of tonight, is we are starting over, because we're saying goodbye to this studio that served us well for the past two years of the show, and we're going to be moving into a new studio in two weeks.
362345	364887	We're actually not going to be here next week, we'll talk about that a little more in a little bit.
366768	371430	But this place right now is, I would say it's empty, but it's really not.
371490	375252	It looks like the remnants of a tsunami in this place, to be honest.
375472	376673	I don't know how else to explain it.
376733	377013	Loki...
379102	381864	It looks like any house that you would see on Cops.
383585	384725	That's a good way of putting it.
385306	386366	With wires everywhere.
386947	389168	And a hidden stash of heroin in Loki's room.
391429	394751	My room literally has a pile of crap on top of the bed.
394831	400795	It's just like this giant pile of clothes and records and God, who knows what.
