start	end	text
710	16984	Strong in my pain, singing my life with his words, you don't care, killing me softly, killing me softly, with his words, killing me softly.
34313	40042	Orange Lounge Radio Live, episode 140 is coming to you right after this song from Distant Sounds, time after time.
156016	162508	Time after time If you fall I will catch you I'll be with you Time after time
201502	208665	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
325000	348184	The following live program is a special presentation of Orange Lounge Radio Orange Lounge Radio, episode number 140 Here we are in our brand new studio on tonight's show
349227	351729	DJ Ranma S, Actdeft, Drew, Carameldansen DJ Ranma S, Actdeft, Drew, Carameldansen
392257	395720	Orange Lounge Radio is presented in the TMI sound format.
395740	396461	TMI
424113	424513	Oh, God.
424654	426295	Call me Daddy.
445351	448834	Orange Lounge may contain adult content.
449374	453177	Orange Lounge may contain many four-letter words.
453918	457000	Orange Lounge may contain a scene of nudity.
457741	464165	Orange Lounge may contain plenty of... Just kidding.
464266	467988	Orange Lounge Radio will not contain any of that in this episode.
468088	469930	Well, isn't that special?
474486	493091	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
495212	500473	We are live, and this is episode number 140 for May the 1st.
501360	501800	DarkSakura
533990	537633	And we are still trying to get used to our new audio setup tonight, you guys.
537653	540795	So if our mics sound kind of weird, then we apologize.
540835	542496	We're trying to get used to this new studio.
543097	543977	And we're not quite there yet.
543997	545818	Yes.
546359	547099	Do you know me?
547660	548500	I am so famous.
548941	550382	We're going to talk about how we're famous.
550922	551663	We definitely have that.
553166	555308	Who isn't here tonight is Loki.
555928	556909	He's not here yet.
556949	560371	We're hoping he gets here a little bit later in the show, but he's not here right now.
560811	564814	So filling in in the meantime, we have the one and only, LikeyStyle.
565868	568510	The whiter and skinnier version of Loki.
570051	570832	Yeah, something like that.
571032	573994	Actually, try this microphone, because for some reason this one's really quiet.
574194	574775	Can you hear me now?
575095	575755	Yeah, good.
576116	579698	That one I shouldn't use because it makes my voice too loud, but this one is just fine.
579718	581140	There we go.
581460	581920	Alright, good.
582080	583661	You've got like chicken grease all over it now.
583681	584022	What the hell?
584682	587825	I licked it, actually, because I do that to things that I believe are mine.
587865	589186	I lick them so nobody touches them.
589206	590006	You mark your territory?
590127	590327	Yeah.
590547	592549	You know how when somebody asks, hey, can I have a bite of that?
592569	593069	You're like, sure.
593089	594930	Still want one?
595351	596612	At least you didn't take a piss on it.
597372	598393	Yeah, at least I'm not like a dog.
598453	599194	Yeah.
600435	603137	Also joining us, say hello to Miss DDR Angel.
604838	605239	Hi.
606540	606980	I'm here.
607320	607781	Now what?
608882	609262	I don't know.
609542	609903	Now what?
609943	610363	You tell me.
611280	611780	It's Ong!
612321	615163	Also joining us, say hello to the Ice Princess.
615663	616104	Hello!
616364	617485	God, we haven't seen you in forever.
618482	619862	Yeah, like, hi, I'm done, okay.
622003	624144	Queenie, as always, what can you say?
624324	627625	Usually when I stick something phallic in his face, he doesn't shy away from it.
627885	629045	Oh, alright.
630406	633587	We're gonna go to a quick break after this break of some opening music.
634367	635608	We got a lot to talk about tonight.
636268	645691	First off, I want to apologize if there wasn't a new intro tonight, but I've just been very, very busy with, like, moving and the Lion King, because I went and saw Lion King today.
645711	646111	Okay.
647481	649343	I saw the Lion King, I can die now.
649523	651905	Uh, question, Lion King came out years ago.
652005	654608	No, no, no, the play, stupid, the play.
655809	657731	Oh, because of course, I knew there was a play.
657991	660233	Oh my god, crawl out of that hole you've been in.
661114	662356	Fine, fine.
662616	663316	Doesn't work with me.
663977	667841	We'll be back after this break.
668061	668902	Oh god, here he is.
670373	671514	We were wondering where you were.
671714	676936	Well, maybe you're fucking up... Oh, I'm sorry.
677757	678397	I'm sorry.
679338	680538	I'm not in a fucking good mood.
680698	681339	I'm sorry.
682239	682759	What's going on?
683680	684960	I'm fucking tired!
685320	688742	I was just asleep because I've been driving all goddamn weekend!
689302	690483	I'm so damn tired!
690703	692724	And then I get here... Oh, there's a parking!
692764	695005	I'm just gonna park four fucking blocks away!
695626	696366	That'll be fun!
696386	698287	Alright, anyway, commercial break.
698775	700135	Yeah, we'll be back after this.
701036	703097	Featuring some firsts!
703497	706118	Some DDR and Guitar Freaks and Keyboard Mania.
706158	707158	Some Bobani firsts!
707958	709799	Since it is the first episode in the new studio.
709819	710679	We'll be back after this.
748132	748833	Thanks for watching!
872811	877352	Bum Bum Fire, Bum Bum Fire, Bum Bum Fire Burning Fire It's the light through your life
918828	920573	Thank you for watching!
946872	947999	Thanks for watching!
1022908	1025229	Thanks for watching!
1067575	1073782	Gaming Radio, so uncensored that even Tom Brokaw could get a job with us.
1076244	1077605	Orange Lounge Radio.
1079507	1082971	Hey guys, we're back here with more Orange Lounge Radio.
1084642	1086483	Starting off in our brand new studio.
1087164	1091347	We picked up and moved the things from Folsom, and now we are in a town called Rancho Cordova.
1091387	1096850	It's all still Sacramento, so for those of you guys who are curious where we're at, we just moved down the freeway a little bit, that's all.
1098611	1104635	And I apologize because our audio levels are a little bit screwy tonight, and I really don't know the best way to fix them.
1105576	1110980	So we're just going to kind of adjust them as we go along tonight, because I know it sounds a little weird.
1111020	1112821	I think I sound very amplified, I don't know.
1113516	1118358	You're always amped up I know Jamie sounds great I always sound great
1119373	1120413	I don't know, maybe it was just the mics.
1120734	1126936	We kind of played mic roulette, too, a little bit to try and bring some quiet people up and some loud people down, but now I'm, like, too loud.
1127316	1127656	It's weird.
1128336	1128637	I don't know.
1128917	1129037	Anyway.
1129057	1131197	Turn yourself down.
1131257	1131878	Which one am I?
1132018	1132858	I don't even know which one I am.
1133238	1134219	Hello, hello, hello, hello.
1134299	1134979	Now I'm too quiet.
1135239	1135679	Hello!
1135699	1136159	Oops.
1137940	1139160	This is awesome radio.
1139360	1139741	I know.
1140141	1141221	Check, check, check.
1141281	1141761	Okay, fine.
1142141	1144162	You're listening to mic check radio.
1145323	1145503	Yeah.
1146563	1150550	Imagine that, that we got nominated for that live 365 award thing.
1150590	1151091	Two of them.
1151692	1153234	And the award show... Can I nominate you?
1153294	1154797	The award show was last night.
1154817	1155618	The name is what?
1155638	1155818	Ultraman?
1155838	1155878	No.
1156059	1158543	To retrieve my thermal container from the...
1159477	1161898	Stop distracting me over there.
1162118	1164258	So we were nominated for two Best of Life Use 5 awards.
1164278	1166199	So we went to the little shindig they had last night.
1166839	1170180	And I think we looked pretty hot, I've got to say.
1171040	1172060	We were certainly unique.
1172361	1173321	I looked very drunk.
1176802	1178322	All these random people keep coming in here.
1179383	1183264	Anyway, we're trying to do radio.
1188170	1191231	I'm just going to close my eyes so I can't see people keep coming into the studio.
1193031	1194811	The Best of Life 365 Awards were last night.
1194831	1195692	We went to the Shindig.
1196012	1198212	We didn't win, but that's okay.
