start	end	text
5362	6263	DarkSakura, DarkSakura,
53041	55565	I should be in love without you in it.
85044	88766	They can't find the rules, like that's the way it's done, and that's the way it's done.
88926	95870	I'm watching the stories, I'm speaking at the end of my time, I'm making my time, and there's nothing left to do, to do that job, cause we have a big kitchen.
114484	115125	and many more.
160513	168738	Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh Oh, oh, oh, oh
192805	193806	Thanks for watching!
222137	222698	and many more.
222718	223178	Thank you.
276604	282622	The following live program is a special presentation of Orange Lounge Radio.
293101	295202	Orange Lounge Radio is now on the air.
295522	298683	Tonight is episode number 141 on tonight's program.
299424	305286	What happened at my adventures to my first video game premiere party should be fun.
305426	309688	Also, tons of video game news tonight in the Bomani world.
310408	321853	DDR Extreme 2, DDR Ultramix 3, all the proverbial shit is hitting the fan in the Bomani world because E3 is just a week away, so it's time to start gossiping.
322836	325038	Of course, all your other favorite segments as well.
325078	325499	How was your week?
325519	325999	How was your day?
326039	327220	Cage match, etc., etc.
327721	332966	Special guests and Skype line and more tonight on Orange Lounge Radio.
341194	346580	Orange Lounge Radio is presented in the TMI sound format.
360996	364719	You're listening to Orange Nine Radio Live.
364739	367181	Spinball and talk radio and so much more.
388896	389801	Oh, God.
390063	390767	Call me Daddy.
394262	397744	Orange Lounge may contain adult content.
398264	402065	Orange Lounge may contain many four-letter words.
402826	405927	Orange Lounge may contain a scene of nudity.
406627	413070	Orange Lounge may contain plenty of... Just kidding.
413170	416891	Orange Lounge Radio will not contain any of that in this episode.
417191	418392	Well, isn't that special?
423391	441895	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
443775	444475	We are live!
449301	454748	And this is episode number 141 for this May the 8th of 2005.
454828	460395	You're tuned in to Orange Lounge Radio, radio the gamers really want, and this is Orange Lounge Radio Live.
460775	466743	Your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
467099	473824	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts.
473964	474965	You might know me as Sky.
475025	477347	Joining me as always are my awesome co-hosts.
477927	479508	In this corner, the happiest bunny on the farm.
479569	480910	Say hello to Miss Jamie Summers.
480950	482391	You know her better as Dark Sakura.
482931	486394	I wouldn't say I'm the happiest bunny on the farm today, but I'm pretty damn happy.
487955	491317	You're kind of a... I'm the most carnivorous bunny on the farm.
492018	492658	Alright, fair enough.
493559	495861	I've been eating nothing but meat all day and I feel violent.
496940	499221	You're not going to hurt anything during this show, are you?
499581	500721	No, I'll wait until after the show.
500801	502302	You wouldn't hurt a ferret, would you?
502362	503982	Give me a ferret!
504342	504862	Hey, baby.
507083	509584	Also joining us, say hello to the one, the only, Loki.
510444	514065	Also remember, it's the most motherly, you know, read.
514165	515425	I was going to get there.
515645	516525	I was going to get there.
516545	517686	Hey, just saying.
518666	524928	I did that stuff yesterday because, you know, I don't want to interfere with today, you know, my sleeping and going to fries and whatnot.
525328	525628	Now, just
526474	529657	Take a moment to thank the womb where you were cooked.
533439	534860	You don't have to think about it that way if you don't want to.
