start	end	text
23305	27569	Look at what you see in the face, the mirror of your dreams.
27589	30932	Make believe I'm a hero, hidden in the light, written on the pages.
81062	84368	Keep the secret, we'll fall behind the clouds And dance among the rainbows
168488	169155	Thanks for watching!
237672	243575	The following live program is a special presentation of Orange Lounge Radio.
255799	259601	On tonight's program, Orange Lounge Radio, episode 143.
260982	264764	We are back from E3, and oh my gosh, it was a hell of a show.
265624	267865	Of course, lots of people there.
267885	271507	You had to push your way through crowds and stomp all over people to get to things.
271527	274849	You had to wait three freaking hours in line if you wanted to play Zelda.
275629	278931	And unfortunately, not all the cast members made it out alive.
279691	280091	Alive.
280331	283872	Yes, unfortunately not all of us made it out of E3 alive.
285312	287813	No, we'll have more details on all of that when we come back.
288133	293374	But I'll tell you what, tonight it is all about the music games at E3 and it was a hell of a show.
294194	298495	Surprises that just blew the roof off and smacked you up.
298715	303616	We'll talk more about that when we start the show after these opening credits.
304076	304516	We'll be back.
312390	315252	Orange Lounge Radio is presented in the TMI sound format.
344904	345384	Oh, God.
345885	346605	Call me Daddy.
365508	369030	Orange Lounge may contain adult content.
369550	373331	Orange Lounge may contain many four-letter words.
374072	377173	Orange Lounge may contain a scene of nudity.
377913	384336	Orange Lounge may contain plenty of... Just kidding.
384436	388157	Orange Lounge Radio will not contain any of that in this episode.
388237	390098	Well, isn't that special?
394651	413028	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
415052	417654	We are live!
418014	423519	And this is episode number 143 for this May the 22nd, 2005.
423959	427722	You're tuned in to Orange Lounge Radio, radio that gamers really want.
427902	437109	And this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
437489	445453	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts, you might know me as Sky.
445853	447734	Joining me as always are my awesome co-hosts.
448154	451135	In this corner, the happiest bunny on the farm, Miss Jamie Summers.
451175	453216	You know her better as DarkSakura.
455257	456878	No, I'm kidding, she's actually not here tonight.
457518	459799	She died at E3, it's so sad!
462760	463781	No, I'm kidding, she didn't die at E3.
464721	488703	She just, she extended her vacation a little bit You see, some of us went to E3 a couple days before it started And some of us decided to stay a couple days after it was over So, Jamie is on her way back this afternoon, or I'm sorry, this evening actually from LA So, she's not here, but who is here is the one and only Loki I am here and I have pizza, that's always good
489757	491878	I did slash pizza and I got my Pizza Hut.
492618	498921	By slash pizza it means I drove my car over to the Taco Bell slash Pizza Hut Express and got myself pizza.
499221	500321	The old-fashioned way.
501662	502742	Not the EverQuest way.
503162	503563	Oh, hell no.
503583	506184	I'm not going to sign up for EverQuest just to get that lazy.
506444	508665	Besides, there's no Pizza Hut near my house and that makes me sad.
508945	511946	You know, speaking of EverQuest, this is completely off the subject, but...
512811	519758	I actually got to meet some of our quote-unquote competitors, although not really, because, you know, all of us online radio stations are in it together.
519778	520859	People in the same industry.
521059	522361	Yeah, people in the same industry.
522441	534493	I met the folks from MMO Radio, who talk about nothing but EverQuest and, what are the other, I don't even know, World of Warcraft and Guild Wars and all those types of games 24-7, so...
536897	544935	If you think it's weird that there's stations out there dedicated to DDR Just know that there's other stations out there dedicated to other types of games Anyway
546132	547933	We've got a fun show for you guys tonight.
548554	549514	It's just me and Loki.
549614	551075	We actually don't have any other guests tonight.
551216	554278	I know Rice Princess is actually here around.
554398	557940	She's watching movies with my roommate though, so I don't know if we'll be able to get her on.
558040	559441	She's watching Fargo.
559541	560502	Are they watching Fargo?
560542	562743	Why are they watching Fargo of all things?
