start	end	text
32944	34405	Thank you for watching!
85137	86238	Orange Lounge Radio
102202	108766	Tonight on Orange Lounge Radio Live, episode 147.
109446	114449	What happens when two dance game worlds collide?
115830	121293	Also, that and we have a brand new Ultramix 3 song to play for you guys tonight.
121966	130135	Last week we played the I Am Gothic song by Spray and tonight you get another brand new Ultramix 3 song because we're cool like that and we play new stuff for you guys.
130596	133779	All that and more tonight on Orange Lounge Radio.
133819	134340	Stay tuned.
147835	150957	Orange Lounge Radio is presented in the TMI sound format.
179805	180206	Oh, God.
180226	181507	Call me Daddy.
200912	204434	Orange Lounge may contain adult content.
204954	208736	Orange Lounge may contain many four-letter words.
209497	212598	Orange Lounge may contain a scene of nudity.
213299	219742	Orange Lounge may contain plenty of... Just kidding.
219842	223564	Orange Lounge Radio will not contain any of that in this episode.
223644	225505	Well, isn't that special?
230061	248404	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
257153	267178	We are live, and this is episode number 147 for this June 19th, 2005.
267719	273802	You're tuned in to Orange Lounge Radio, radio that gamers really want, and this is Orange Lounge Radio Live.
274262	280926	Your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
281366	289570	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts, you might know me as Sky.
289630	291911	Joining me, as always, are my awesome co-hosts.
291951	296093	In this corner, the happiest bunny on the farm, Miss Jamie Summers, DarkSakura.
296313	297593	I'm badly animated today.
298894	299954	You're badly drawn today?
300054	301095	Yeah, I'm badly drawn.
301495	302536	You were just drawn that way?
302756	303376	Today I was.
304056	304516	Sorry to hear that.
304556	310059	I left the real me at home because she's currently packing up her entire life to the boonies of Citrus Heights.
311787	312348	Oh, okay.
312508	312808	Alright.
313268	313969	I've got a house.
314089	315430	I'm moving into a house for renting.
316311	318052	Therefore, I have no life for two weeks.
318993	319333	Fun!
319854	320274	Exactly.
320434	321215	I know what that's like.
321455	321875	Kinda.
321935	322196	Sort of.
323276	325138	Just recently, as we moved in the new studio.
325318	325558	Anyway.
326099	329041	Also joining us, the recently moved Loki!
329601	329862	Hi.
330891	331611	I just moved.
332292	333892	Yes, like, to the side.
334232	336213	You moved from the living room to the studio.
336233	337013	It was very nice.
337094	340615	Yeah, unfortunately I didn't move to the Pizza Hut to get myself dinner.
340795	342336	I knew something was missing.
343056	345337	I forgot, so I'm hungry now.
345537	346357	How could you forget pizza?
346417	346777	I have a salad.
346797	347498	How could you forget pizza?
347518	348678	Uh, no, I don't eat salad.
348878	349418	I'm sorry.
349839	351319	I'm a meatitarian, okay?
351359	352660	I don't touch that friggin' vegetables.
352680	353400	For salad, it has bacon bits.
353700	354761	It has bacon and chicken in it.
355181	356701	Yeah, but the bacon bits aren't real.
356941	358122	They aren't real bacon!
358894	360536	I'm eating this because my doctor told me to.
360556	363800	My doctor could tell me to eat salad all he wants and I'd be just like...
380276	387401	Yeah, but I don't want to be one of those 300-pound women that walk around in a muumuu scratching their ass in the middle of Walmart with five screaming children.
387702	388843	Dude, I saw that the other day.
389843	390444	Exactly.
390864	392025	That's not going to be me.
392065	394207	What are you doing in Walmart?
396428	397829	Just don't go to Walmart, Jamie.
