start	end	text
9540	15743	Tonight on Orange Lounge Radio, we are back after having a week off.
16864	23307	And tonight is a big, big show for us, boys and girls, because it is our third birthday!
23867	24327	Yay!
24527	25788	I'm this many!
26991	28451	We'll be back after this lovely introduction.
68464	73877	Orange Lounge Radio is presented in the TMI sound format.
100963	101724	Oh, God.
101924	102665	Call me Daddy.
121546	125048	Orange Lounge may contain adult content.
125608	129410	Orange Lounge may contain many four-letter words.
130131	133192	Orange Lounge may contain a scene of nudity.
133933	140376	Orange Lounge may contain plenty of... Just kidding.
140496	144198	Orange Lounge Radio will not contain any of that in this episode.
144298	146139	Well, isn't that special?
150712	161259	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com.
161860	169125	And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
172188	174650	We are live!
175050	181394	And this is episode number 148 for this July the 3rd of 2005.
181974	185797	You're tuned in to Orange Lounge Radio, radio the gamers really want.
186137	195343	And this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
195743	204147	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts, you might know me as Sky.
204447	206968	Joining me, as always, are my awesome co-hosts.
207368	211650	In this corner, the happiest bunny on the farm is DarkSakura.
211730	213811	Jamie Summers.
215212	215652	Roar.
217013	217333	Kill.
217393	218233	Murder.
218313	219614	I know, I know it's a puffy joke.
220014	222055	You have to remember my roommate, the extifer.
222715	223676	Huge Buffy fan.
223696	225658	Do you ever walk into his room and look through the DVD collections?
225678	226899	I've seen them from across the hall.
227019	232004	It's just a whole shelf of Buffy and Angel.
232564	236088	I am of the happy for the show, but of the angst for other reasons.
236268	237189	What a waste of money.
237589	238910	Damn you, Hot Topic.
239211	239791	Damn you!
239931	241212	We'll be getting into that in a little while.
241232	242293	We all have a lot of angst.
242333	243134	I don't know about Loki.
243655	244796	I know I've got big angst.
244816	245937	But I have an refrigerator now!
246872	247332	That's good.
247352	248313	Refrigerators are good.
248593	249293	Cold things are good.
249453	250314	And the washer and dryer.
250354	251995	I have some surprises in the refrigerator right now.
252015	256137	I've never been so excited to be able to do my own laundry in a long time.
256617	258138	Would it be the fish-tasting ice?
258938	260379	No, it's not the fish-tasting ice.
260399	260920	Shut your mouth.
263661	265242	You just... I don't... Oh, forget it.
265282	270405	Anyway, in the other corner, Blabbermouth, who talks before he's introduced, Techmaster Loki.
270745	271625	I'm allowed to talk.
271665	272486	I'm part of the show.
273519	275601	And I'm almost done with my drink!
276001	278123	Loki is already one drink down, boys and girls.
