start	end	text
238567	244360	The following live program is a special presentation of Orange Lounge Radio.
264754	272457	On tonight's program, ladies and gentlemen, Orange Lounge Radio is back for episode number 153.
274017	277939	After taking last week kind of a mini-vacation.
277959	281260	I mean, there was still a show, but it wasn't the show-show, right?
281520	282040	I was there.
282441	285802	You were there, but it wasn't the OLR experience, so to say.
285842	290363	It was the DarkSakura... We were recording the podcast while we were broadcasting.
291904	293865	So it was the Let's Multitask show.
293965	294025	No.
295228	300172	Anyway, tonight, though, I'm back after being gone for two weeks, because I know there was a show a couple weeks ago.
300232	301033	Did you enjoy your box?
301353	303295	I enjoyed the FedEx box immensely.
303355	304376	I was popping on the Bubba app.
304817	308900	So on tonight's show, we're going to talk about my East Coast tournament I went to.
309020	311803	I went to an East Coast tournament, and I saw it in the group, too.
312603	313804	So I can't wait to talk about that.
314285	317588	And also, we're going to talk about the DDR with fire.
319229	321131	DarkSakura's favorite thing, DDR with fire.
321937	323958	Orange Lounge Radio is presented in the TMI sound format.
369831	370311	Oh, God.
370351	371212	Call me Daddy.
398867	402429	Orange Lounge may contain adult content.
402909	406671	Orange Lounge may contain many four-letter words.
407432	410933	Orange Lounge may contain a scene of nudity.
411254	417697	Orange Lounge may contain plenty of... Just kidding.
417797	421519	Orange Lounge Radio will not contain any of that in this episode.
421819	423460	Well, isn't that special?
428016	446553	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
448055	448936	We are live...
453786	459671	And this is episode number 153 for this August the 14th of 2005.
460191	464134	You're tuned in to Orange Lounge Radio, radio the gamers really want.
464335	472942	And this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
473786	475287	and also to inflate our own egos.
475307	476368	That's really what this show's about.
476448	477529	Just kidding.
477569	482373	We're plugged in and fully interactive through our website at www.orangeloungeradio.com.
482814	483734	My name is Rob Roberts.
483755	484755	You might know me as Sky.
