start	end	text
529	2931	DarkSakura presents
11181	11901	DarkSakura.com
49522	55441	The following live program is a special presentation of Orange Lounge Radio.
68723	77348	Tonight, boys and girls, on Orange Lounge Radio Live, we're going to find out what MMO Dark Sakura has to come to next.
77629	78429	That should be a lot of fun.
78889	84153	Also, a lot of news from the Tokyo Game Show, including that wacky new Nintendo controller.
85574	86734	Surely you've heard something about it.
86794	89876	And of course, we have not forgotten about our roots.
90377	91838	The roots, where we came from.
92478	93999	The Bomani world, did you hear?
94179	96481	Brand new Guitar Freaks home release, finally.
96601	97101	Finally.
97739	99300	Orange Lounge Radio is presented in the TMI sound format.
141042	141842	Oh, God.
142083	143583	Call me Daddy.
172618	176141	Orange Lounge may contain adult content.
176661	180424	Orange Lounge may contain many four-letter words.
181185	184307	Orange Lounge may contain a scene of nudity.
185008	191452	Orange Lounge may contain plenty of... Just kidding.
191553	195275	Orange Lounge Radio will not contain any of that in this episode.
195355	197197	Well, isn't that special?
201750	220263	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, Dark Sakura, Sky, and Loki.
222665	225747	We are live, and this is episode number 156.
228055	244974	For this September the 18th of 2005, you're tuned in to Orange Lounge Radio, the radio that gamers really want, and this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
245314	254396	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts, you might know me as Sky.
254456	256737	Joining me as always are my awesome co-hosts.
257237	261918	In this corner, the happiest bunny on the farm, Miss Jamie Summers, better known as DarkSakura.
263198	263738	How are you?
264198	264979	Who farted?
265859	266759	That was Loki, sir.
266979	267459	Oh, alright.
267839	268299	How are you?
268820	269320	Yes, you're on.
269900	270540	Is this thing on?
271498	274499	We'll know I'm all tangled up under all those other masses of cords.
274519	275459	Well, what else is new?
276079	277299	This is a nerd lair.
277339	278339	There's cords everywhere.
278400	278920	Get used to it.
281140	282660	Oh yeah, you guys are on wireless tonight.
283441	288502	After last week's episode, Bugged finally just brought a... He actually... You went out and bought a wireless router.
290022	291122	But he's not donating it to his suit.
291142	291682	You gotta... Here.
293783	294063	Loki.
294263	295423	Loki, give him the mic for a minute.
297343	299464	Yes, Bugged actually went out and bought a wireless router.
299504	300304	But it's going home with me.
300856	301596	If you want the old one.
302276	303297	You have an old wireless router?
303377	303557	Yes.
304577	305537	Heck, maybe I'll take it.
305657	306157	I need one.
306477	307798	I can get back on Xbox Live.
307858	308698	Yes, you could.
308718	309758	I can get back on Xbox Live.
310478	310658	Good.
310718	312499	You can get that thing that Straight Garrett has.
312839	313039	Maybe.
313219	313439	All right.
313659	314859	I haven't introduced you yet, so shut up.
315239	315499	All right.
316739	317660	Also joining us tonight.
317760	319640	Hey, we're still in the middle of my intro.
319660	320260	Thank you.
320300	320640	Sorry.
320940	322761	What else do you want to intro with tonight?
327262	328162	Usually I thought that was my...
328874	331156	Yeah, usually that's your ass, but today it's her mouth.
331256	335719	Alright, say hello to the one and only Loki, Techmaster, yadda yadda.
336440	336760	Hello.
337060	337481	How are you?
338201	338562	I'm good.
339482	340443	I'm almost done with the movie.
340964	341244	Almost.
341324	342144	I have about half an hour left.
342184	342705	The movie, yes.
342965	348589	You know, I gotta... There was a question posted in our podcast forum, but I think I'm gonna answer it on the live show tonight.
348750	355155	We're gonna do a little bit of forum feedback tonight on the live show, because I have a question I'm dying to ask you that was posted on the forums this week.
355575	358077	So, we'll get to that a little later in the show.
359324	360184	Okay, alright.
360724	364506	I was just thinking about that in regards to your rampant piracy.
366746	369727	I downloaded Advent Children in Spanish by accident.
372208	372408	Oye!
373388	373868	Okay.
378269	379250	I don't know why that's so funny.
379310	379610	It is.
383311	383651	Alright.
385290	390211	Also joining us tonight, say hello to special guest, he already opened his mouth, but once again, say hello to Bugged.
390471	390791	Hello.
391211	391691	You're back.
391952	392192	Yes.
392432	394192	And the specialist guest of them all.
396132	396452	Okay.
396532	405914	He's almost like, he's not, I mean, we already have a Techmasa Loki, but Bugged's kind of a tech guy too, so I don't know what we can call him.
406555	408595	I don't know, he's Techmasa 2 or something, I don't know.
410185	414068	DietTechMassa, I don't know, MacWhore, MacWhore, I like that.
414528	417570	They said, I know bigger MacWhores than Bugged.
418011	422514	Yes, but how many MacWhores have a G4 motherboard laying in the middle of their living room right now?
422834	428738	I remember, you, sir, used to have a, well, you still do, you have a web server that hangs from the ceiling, right?
428798	430419	No, actually, it's inside of a rolling rack.
430520	431120	It's still hanging.
431460	432761	Oh, it used to hang from the ceiling.
432881	434002	It did hang from the ceiling, yes.
434022	434583	It's pretty awesome.
434623	440507	I used to go like, hey, the old Sacramento Bomani player site used to be hosted on Neil's ceiling.
440928	441068	Yep.
441088	441628	Pretty awesome.
442989	447673	Yeah, that got moved into the inside of a wire rack, so it was zip-tied between layers of wire rack.
447853	448454	Zip ties.
449154	450676	Zip ties is better.
450696	452037	The second best thing next to duct tape.
452397	455479	Duct tape and, what was it, duct tape and weed whacker line, that's what I had available.
456520	457861	It was really strange.
458702	459142	Alright.
460123	460984	Were you a Boy Scout?
461727	462587	No, my brother was.
462788	463408	I'm just curious.
463508	463808	Alright.
464068	465469	I bet you watched lots of MacGyver.
466809	467650	Who says I ever stopped?
468990	470591	Don't they show reruns of MacGyver still?
470651	472352	Two a day.
472632	473953	Not that my TiVo doesn't get both.
474373	478735	On Megumi's journal, and I know none of you people know who that is, but she's one of... Is she in Step Squad?
479515	479996	Okay, she is.
480076	480896	Megumi's in Step Squad.
481176	484438	She posts something MacGyver in her journal like every week.
484738	486839	Just to remind me that yes, MacGyver is still cool.
488462	488922	So I don't know.
488942	489843	I don't know why I thought that out.
489863	493645	Okay, if I want my dose of Richard Dean Anderson, though, I've been going back and watching Stargate, so I'm happy.
493825	494225	Whatever.
495366	495826	Nerds!
497247	498728	Loki actually says that at my front door.
500089	501609	Ow, the MacGyver was such a hippie.
502890	503370	He was!
503430	504751	He was a fucking tree hugger!
505051	507433	But he was the most ingenious tree hugger there was.
508153	509914	So, um, gotta give him props for that.
510274	512576	But he would cut down a tree and then make paper out of it.
512736	515357	They should just put MacGyver in Stargate.
515397	516518	Just make him a character.
517091	519752	And I mean, seriously, it's like, oh, we can't get the Stargate working.
519792	528073	Well, like, give me a paperclip and I'll... The Syfy Network needs to just bring back all the cool 80s shows, like MacGyver, Quantum Leap, Holla.
528434	528954	Airwolf!
529474	529954	Airwolf.
530634	532134	Quantum Leap's on every night at 4am.
532815	533715	Oh, it's so badass.
533775	534915	Alright, anyway, let's start a show.
534955	535715	Let's talk about some games.
535995	543017	We'll be back after this quick break, featuring, uh, starting off a brand new track from the, um, V-Rare, the EX2 V-Rare.
543497	543617	It's...
543962	544963	You gotta move it!
545963	546344	Enjoy.
546644	547404	We'll be back after this.
637273	640457	Let the music fill your cell Let your body take control
711628	712390	Thanks for watching!
900426	901333	Thanks for watching!
962694	965875	After this song, we'll be having a Let Them Move marathon.
966155	968235	No!
968435	969095	Just kidding.
969535	970576	Orange Lounge Radio.
970656	972236	Crap-free Bavani Radio.
972676	975897	We are back here on Orange Lounge Radio, episode number 156.
976117	980038	Thank you guys so much for tuning in and listening to this train wreck of a program.
980518	982018	We do appreciate your support.
983058	987219	Especially when our show is very, very good, as well as when our show is very, very bad.
987499	988479	We appreciate your support.
988819	989399	We're never bad.
989599	992320	And shows like tonight, which are destined to be very, very mediocre.
992705	993245	We're never bad.
994906	995866	We're never mediocre.
996106	997027	We're baddest and good.
997147	998787	You know, like, the Power Glove.
998907	999528	So bad.
1000288	1000888	You know, like that.
1001348	1002789	We're fabulous, as always.
1003489	1003989	That's right.
1004389	1005750	With the power of Fiji water.
1007811	1008771	What is up with Fiji water?
1008791	1009691	It's like everywhere now.
1009751	1011492	Like, it used to be, like, I never saw Fiji water anywhere.
1011512	1012612	It's the only water that doesn't suck.
1013473	1017194	I like... Well, I actually don't like this Arrowhead stuff I've been drinking lately.
1017254	1018595	That stuff tastes like piss.
1018675	1020555	I don't like this Arrowhead drinking water.
1020856	1021916	And people go, like...
1022799	1025941	Dude, first off, you buy bottled water.
1026021	1026861	What's wrong with you?
1026961	1028322	It's like the first thing I hear.
1028402	1029263	And then it's like, no, no, no.
1029623	1030183	You don't understand.
1030223	1033525	There really is a difference between all these different brands of bottled water.
1033665	1034546	And you can taste it.
1034606	1035066	You can.
1035887	1040709	If you drink a lot of water, like I do, I drink a shootload of water.
1040729	1042390	I don't know why I'm censoring myself tonight.
1042450	1044091	A shootload of water.
1044131	1045772	You could say shitload.
1046233	1046633	I could.
1046713	1047513	I could say shitload.
1047553	1048094	It's the internet.
1048134	1049314	But tonight I'm censoring myself.
1049354	1051956	A shootload of a poo load of water.
1053115	1055516	of water every day at work.
1055836	1063037	Because my job, my day job, I don't talk about my day job a whole lot on this program, but my day job is that I'm a teacher, basically.
1063077	1066178	I don't teach kids, but I teach adults in a professional environment.
1066198	1066858	I'm a corporate teacher.
1066878	1067858	Which is almost the same thing.
1068438	1069198	Sometimes.
