start	end	text
7522	13047	Orange Lounge Radio is presented in the TMI sound format.
20393	29601	Orange Lounge Radio
39380	48986	Orange Lounge may contain adult content Orange Lounge may contain many four-letter words
69171	72293	Orange Lounge may contain a scene of nudity.
72994	78038	Orange Lounge may contain plenty of Bukkake.
78538	79419	Just kidding.
79539	83241	Orange Lounge Radio will not contain any of that in this episode.
83321	85163	Well, isn't that special?
89757	100303	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com.
100903	108147	And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
110231	113175	We are not fucking live.
113735	118020	And this is an episode that didn't fucking happen on September fucking 4th, 2005.
118100	119081	Thank you very much, Live365.
123325	136134	You're tuned into a special pre-taped message for our fans who tried to tune in tonight but couldn't anyway.
136174	138236	We had a fucking hell of a show for you guys too.
138256	139977	I'm so mad that this didn't happen.
139997	142339	We have so much booze mahal.
142999	146180	You're tuned in to Orange Lounge Radio, radio the gamers really want.
146220	148060	This is Orange Lounge Radio Unlive.
148441	151841	You're home for all the delayed news and postponed discussion.
151921	153322	This is Orange Lounge Radio Dead.
153782	159283	On rhythm and music games as well as the gamer and angst-filled community and the poop culture world.
159784	168846	We're plugged in and fully interactive through our website at www.orangeloungeradio.com but not tonight because you have to be a member of our live journal community to hear this message.
169226	169626	Go, go, go, go, go, go!
201325	204449	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
216041	216121	Dead365
241198	241818	How you doing, Mel?
241838	244940	What do you want to say to the listeners that are listening postponedly?
245921	249743	A delayed aloha to you, and aloha means hello and goodbye.
251805	252905	Aloha is the theme of tonight.
253386	253906	Say hello.
255347	256948	I am so freaking mad.
256968	257568	Guinness is gone?
257728	258229	Guinness is gone.
258249	258569	Good job.
258709	259890	Somebody get this bitch another Guinness.
261571	262551	More booze!
262611	264873	Happy wedding day, or whatever you call it.
264893	267794	Yeah, see, I'm double, I'm quadruple pissed at Life 365.
269950	274014	I wasn't going to be here this weekend, remember, that was the plan, because I was supposed to be getting laid.
274474	282902	I mean, I mean, I mean constipating my marriage.
283382	285764	Yeah, and that was constipating my marriage.
287366	288767	I was going to come be on the show.
289648	290889	Oh, thank you, my puppy.
291630	292871	I was going to come be on the show.
293593	298237	and have such a good time and be all happy and say how cool it is to eat and drink a lot.
299057	303881	And now... Now your microphone's breaking up because it knows that you're angst-filled.
304841	307223	Well, when you treat your microphone like that, that's why it acts like that.
307303	316590	And now I need more liquor because I took the time out of my honeymoon, my five days off from work, to come up here for this.
317030	317911	Although, I love you guys.
318391	319372	I love you too.
319973	320333	Happy wedding.
323216	325198	Oh, oh, oh, shit, I gotta get that song queued up.
325238	335731	Okay, first say hello to a guest that hasn't been here in like a year and a half, if not more, and the bitch was here tonight, and we didn't get to do a show tonight.
335811	340036	So say hello to the Orange Lounge Madame, Pixie Dust.
340765	341966	Hey, what's up?
342066	342687	You're a bitch.
342727	344548	I haven't been fucking gone for a year and a half.
344568	345169	Yes, you have.
345229	346490	Bitch, when was the last time I saw you?
346890	349112	When I brought you those fucking ho-hos you asked for.
349132	351014	You the ho-ho!
351034	353376	No, you the fucking ho-ho.
354817	356098	Bitch, when was the last time you got laid?
356779	357599	This morning.
358520	360222	I just rolled over and it fell in.
360242	367428	The first thing I ever had was some of that sliced bread.
368757	369938	DJ Ranma S, Actdeft, Drew, Carameldansen
387438	388279	Four years ago, buddy.
389059	390000	Four years ago.
390240	392743	Actually, now that I think about it, I think that was my fault.
392823	393323	Thank you.
393884	396106	Yeah, it was DarkSakura.
396226	397747	DickSakura, is that what you said?
397767	398327	DickSakura.
398348	399428	I mean DarkSakura.
399468	399989	You ass.
400089	400870	DickSakura?
400950	401770	Hitch.
403152	403592	Yes, yes.
403652	405634	Okay, Ditch, now listen to this.
406415	407235	Plug, plug.
409557	410018	Plug it in.
410098	410338	Come on.
411636	414938	Say hello to the mod of the month, Dick Sakura.
414958	417160	You can bite my ass, okay?
417340	417821	No, thank you.
417861	419342	Rob, Rob, Rob, Rob, Rob, Rob.
419522	419962	I love you.
420142	420502	Hand.
421063	421984	Yes, here's my hand.
424125	425046	We are not loud, Sean.
425086	426187	That's because Rob's drunk.
426687	427848	That's not John, that's Shane.
428108	428448	Sean?
428929	429249	Shane.
429269	429949	This is Sean.
430570	430950	Sean.
430970	432631	Okay, I'm going to buy another puppy right now.
432731	433592	Say hello to Shane.
434673	435513	Don't say hello.
435894	436674	Yo.
436714	437755	So Miklatov was here.
438884	448592	For tonight's show, even though we're not doing a show This is a special pre-tape message for our friends on the LiveJournal community Who are pissed off that we didn't do a show tonight So we're doing this for them So three people?
448872	459901	Yeah, I know But this is great, you know, Miklatov was here tonight And he was going to tell us the entire song list for Extreme 2 But now, thanks to Live365, it's gone, not going to happen Oh no 4400's awesome!
468058	473604	Okay, this game is pissing me off because I'm getting every Shiba Inu except for the white ones so that I can name it Menchie.
473964	474265	Okay.
474765	475786	Like in Exile Saga.
477969	478289	Dork.
478469	482273	You can always feed Menchie to the other dogs in case, you know, you didn't have enough food.
482794	483355	Alright, alright.
483875	484536	Here's what we're going to do.
484556	490222	We're going to do a couple of our favorite segments here on Orange Lawns Radio for our, you know, a few dedicated people that are downloading this program.
490848	494371	The first one we're going to do tonight is How Was Your Week, How Was Your Day?
494411	495412	But there's a twist tonight.
495873	502018	Because we're talking about our bandwidth and people are going to be downloading this program unless we put it on a CD later for them to buy.
502719	509905	Because we're talking about that, you have to do How Was Your Week, How Was Your Day in one sentence.
511006	513248	How Was Your Week, How Was Your Day in one sentence.
514329	515791	Alright, DarkSakura.
516811	518313	Fuck you, semicolon, I got married.
521437	523058	Loki, how was your week, how was your day?
523178	523578	One sentence.
523978	528019	Game publishers came to my company and are giving me cool stuff.
529019	530440	Mel B, how was your week, how was your day?
530560	531000	One sentence.
532240	534541	Sega Genesis Games owned me all week.
537082	539542	Pixie Dust, the Orange Lounge Madam, how was your week, how was your day?
539622	539983	One sentence.
540683	541663	Vicodin's the shit.
542643	544424	Yes it is, yes it is.
546144	547665	NoStylin, how was your week, how was your day?
547745	548105	One sentence.
549807	551088	Hi, I'm your salesman.
551208	554669	Bye-bye.
554809	557810	It has a semicolon.
558591	560732	Mr. Mel B. Mel B, how was your week?
560752	561352	How was your day?
561452	562232	Oh, wait.
562933	564093	Fuck, I've been drinking.
564253	565213	That's mine.
