start	end	text
1246	7151	the following live program is a special presentation of orange lounge radio
17950	26094	Hello everybody, you're tuned in to Orange Lounge Radio and it is that time, 6.30 for Orange Lounge Radio Live.
26154	35117	On tonight's program, is DDR Extreme 2 still a good game even though Sana got censored and doesn't say fuck me anymore?
35818	36898	We'll talk about that tonight.
37398	45642	Also tonight, one of the biggest wishes the Bomani scene has ever had got granted this week
46397	48078	and I don't think half of you noticed.
48958	52159	So we're going to talk about all that tonight right after this introduction.
68325	70625	Orange Lounge Radio is presented in the TMI sound format.
91547	93188	Oh, God.
93228	94169	Call me Daddy.
122570	126052	Orange Lounge may contain adult content.
126592	130394	Orange Lounge may contain many four-letter words.
131135	134616	Orange Lounge may contain a scene of nudity.
134957	141400	Orange Lounge may contain plenty of... Just kidding.
141500	145222	Orange Lounge Radio will not contain any of that in this episode.
145542	146723	Well, isn't that special?
151719	154680	We are live and this is episode number 158.
179150	196831	For this, October the 2nd of 2005, you're tuned in to Orange Lounge Radio, radio that gamers really want, and this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
197270	203472	or plugged in and fully interactive through our website at www.orangeloungeradio.com.
203992	205132	My name is Rob Roberts.
205172	206293	You might know me as Sky.
206393	208773	Joining me, as always, are my awesome co-hosts.
209193	212914	In this corner, the happiest bunny on the farm, Miss DarkSakura.
213935	214595	I've got legs.
215455	216215	You've got legs?
216235	217356	Do you like bread?
218877	220338	Did you say you got legs?
220458	221439	I have legs.
221779	223821	Oh, that's good.
223921	226743	I was listening to some of my Eddie Izzard stuff before I left.
226864	229306	Especially if you're trying to play DDR, legs are a good thing.
230106	230386	No.
230847	232548	There are people without legs who play DDR.
233469	234610	Or at least who were watching them.
234990	236371	How do you play DDR without legs?
236411	239414	There was a guy who played with the crutches and did a free show.
239574	243277	Oh, yeah, that infamous video on the intranet.
245459	245819	All right.
246846	250467	Well, also not here tonight, just yet, is Loki.
251328	253408	He's actually running a little bit tardy tonight.
253989	255269	And you know what that means, kids.
255729	259010	FIRED!
259050	259911	He'll be here soon enough.
260271	263232	And actually, we're kind of bummed because we don't have any special guests tonight.
264412	266173	There's us, and we're special enough.
266353	268894	Yeah, it's just the three of us, and of course your calls on the skyplane.
269014	271115	No, we have somebody who's returned to the show.
271255	271995	Oh, goody, who?
272495	272815	Yeah.
275489	279570	I forgot to tell you what I found this week after incessant listener demand.
281451	282191	We dug him up.
283392	283652	Anyway.
286593	287633	So Loki will be here soon enough.
287733	302078	Actually what's kind of sad is that Miklatov, one of our regular guests, was just here not even an hour ago and was going to stay for the show but unfortunately due to some commuting issues had to get back before the show started.
302178	304499	So he says hi and I guess
304864	306125	DarkSakura, DarkSakura, DarkSakura, DarkSakura
331952	334494	Unfortunately, I'm going to tell you, you may not want to listen tonight.
334835	336656	But honestly, there's some real good stuff.
337377	338138	Just stick with it.
340660	346245	I'm assuming that a lot of people out there who were trying to really stay careful of the spoilers probably...
347000	351322	Have either already unlocked this stuff for themselves by now or just, you know, don't care at this point.
351382	351663	I don't know.
352063	357626	So I just want to warn you guys, we are going to talk about and probably play some music that is unlockable in DDR Extreme 2.
357666	360947	So you guys, it might be a spoiler, but who cares?
361288	362808	The game's been out for several days now.
363929	364509	We can spoil.
364950	367251	If they don't want the spoiler, they can all go see Serenity.
368271	371413	Yeah, we'll talk about... So that it can make the 80 million and we get a sequel.
371693	372874	We'll talk about Serenity, yes.
373877	376658	And we'll talk about other stuff, too.
376718	378838	I want to talk about that big, big secret.
379378	380438	Well, it's not really a secret.
380798	394461	It's out there, and people have been wanting this in a Bomani game for so, so long, and it's out there, and nobody... I know somebody found it, because people were talking about it, but nobody I know knew about this, really, except Miklatov, who pointed it out to me.
394521	397682	But we will talk about all that after this break, kids.
398422	398622	So...
399775	400155	DDR Extreme 2 Music
441438	467214	We drift deeper and life goes on We drift deeper into the sound Traveling somewhere, could be anywhere There's a coldness in the air, but I don't care
543668	546272	Back with another one of those block rockin' beats!
688849	689670	Thanks for watching!
834884	838747	Orange Lounge Radio, Bomani Music, and more.
842849	844891	We're back here on Orange Lounge Radio.
845491	848093	We are in the midst of our October 2nd episode.
848133	849254	Of course, we are live here.
849974	852616	And it is episode number, what, 158?
853336	854017	I'm starting to lose count.
854037	854677	We're getting so high.
854697	855097	We're old.
855257	855918	I know, God.
857099	858220	We have to keep innovating.
858340	860501	We're what, like three and a half years old now?
860741	861662	Yeah, something like that.
861682	864964	We're pretty well potty trained at this point, and we're going to start preschool soon.
865244	867145	Yeah.
867206	869687	We don't have to use the big kids' pants anymore.
869707	871248	That's right, we have like pull-ups.
873029	874870	Mommy, wow, I'm a big kid now.
874890	877112	Occasionally we still do have an accident or two.
879659	884024	All right, in that break you did hear some music from Dance Dance Revolution Extreme 2.
884324	890490	You heard As the Rush Comes, Block Rockin' Beats, Genie in a Bottle, and I Will Survive.
892792	894454	DarkSakura, you didn't really get a chance to.
894474	896156	Now, I know you're eating cake over there.
896356	897197	Let them eat cake.
897758	898979	No one's supposed to know I'm cheating.
899960	900520	Oh, my bad.
901121	901982	Nobody listens to this show.
902022	902362	It's okay.
904642	905363	No, just kidding.
905503	906024	Just kidding.
906064	906645	Tons and tons.
906945	909969	Hundreds upon hundreds of people want to listen to this show.
910950	911791	And a couple do.
912172	916076	And they're in our chat room, www.orangeloungeradio.com.
916157	917358	Click on Interact With Us.
919000	920182	I'm sorry, that's for the Skype line.
920202	920903	Click on Chat.
922244	923566	This is going to be one of those nights tonight.
924202	928066	Click on chat and you can join our chat room and there's a whole bunch of fun people in there.
928626	929647	What are they talking about right now?
930548	933631	I think some comments there on some of the songs.
934131	936393	Except for the Akira Moka one.
937051	938072	We're assuming it's Akira.
938092	940234	We don't really know because the saying Akira... The beat was cool.
941034	943256	I don't see how it couldn't be Akira Yamaoka, honestly.
943276	946579	The beat was cool, although it's like I'm very picky about that song.
946679	947640	And that would have been I Will Survive.
948300	951023	But the Genie in the Bottle one made me feel highly nauseous.
951203	954746	Genie in the Bottle's been a very split down the middle one in the community.
954786	958449	Of course, I've been reading a lot of feedback, not just on our forums over at Orange Lodge Radio, but the more...
959158	959878	DJ Ranma S, Actdeft,
989864	994989	Anyway, now you didn't really get a chance to check out Dance Dance Revolution Extreme 2, did you Jamie?
995009	997471	You haven't really... When I have no life.
998992	999152	No.
1000914	1003076	I did, I ran out and got it on Tuesday.
1003396	1008040	I'm going to wait for Loki to get here because I think he's been playing it too, so I'll wait and share my thoughts with him.
1008121	1014126	But in the meantime, let's go ahead and start off tonight's show as we do every week, playing a little bit of How Was Your Cake?
1014346	1014787	How Was Your Day?
1014807	1015127	How Was Your Day?
1015788	1018349	And we'll start it off with the one and only DarkSakura.
1018589	1021390	The sugar is burning a path down my throat like vodka.
1024131	1026131	I played Nintendogs, lots and lots of puppies.
1027112	1027592	And that's it.
1028792	1029952	I didn't even touch World of Warcraft.
1031153	1034374	Although we did have a very nerdly discussion Friday night after Serenity.
1035254	1036614	Oh my gosh.
1037635	1040256	Because we were starting to talk about games for a little while.
1040296	1040956	We were talking about...
1042578	1043378	God, what were we talking about?
1043398	1045500	Just different DDRs and stuff.
1046061	1048022	And our various MMOs.
1048362	1048723	Oh, yeah.
1049043	1055449	Various MMOs that we've played, like Ragnarok and Final Fantasy XI and World of Warcraft and City of Heroes and all this other stuff.
1056710	1063796	We were talking about all those games, and one of my poor friends who isn't much of a gamer was just kind of sitting there going, blink, blink, blink.
1064216	1066098	And this was also like his birthday dinner, so...
1066843	1071524	I only got onto the Angel discussion and Buffy.
1071804	1079325	Yeah, then you guys started talking about Buffy and Angel all night, and then that was the part where I started going blink, blink, blink, because I'm not much of a Joss Whedon whore.
1079706	1085087	Granted, I did go out and see Serenity, because I was essentially dragged by all my friends who are Joss Whedon whores.
1085927	1086467	But it was cool.
1086667	1087327	I like Serenity.
1087607	1092508	I'm not like OMFG Serenity, like I'm going to make all my LJ icons Serenity-based.
1092668	1094670	I have a Serenity icon, okay?
1094930	1096211	I'm just teasing the general.
1096471	1099374	Like, I just noticed this huge influx this past couple weeks.
1099394	1103317	It's just Serenity whoredom amongst the nerds on my LJ list, which is cool.
