start	end	text
8807	9496	I can't get enough!
129690	130651	Thank you for watching.
158708	159430	Thanks for watching!
206886	210808	The following live program is a special presentation of Orange Lounge Radio.
241986	244908	The following program is intended for mature audiences.
249930	255053	On tonight's program of Orange Lounge Radio... Rob, the fuck's up?
255093	255454	Shut up.
255654	258215	I just... This microphone is so weird, I can't stand it.
258275	263178	Anyway... Anyway... This microphone is heavy and I can club baby seals with it.
264735	266137	Can I do the introduction, please?
266157	266658	Oh, okay.
267098	269161	This should be a clue of what to expect on tonight's program.
269501	273927	On tonight's program, we are going to make sweet, sweet love to Red Octane and Harmonix.
276931	278113	And we're not even going to charge them.
279835	280776	We'll be back after this.
292943	298362	Orange Lounge Radio is presented in the TMI sound format.
326554	332617	You're listening to Orange Lounge Radio Live.
332637	337780	This morning's talk radio is so much more.
340581	341482	Oh, God.
343083	343883	Call me Daddy.
345904	349466	Orange Lounge may contain adult content.
349586	353708	Orange Lounge may contain many four-letter words.
354481	357562	Orange Lounge may contain a scene of puberty.
358303	363325	Orange Lounge may contain plenty of... Buh, uh, buh, uh, buh, cocky.
363825	364705	Just kidding.
364805	368527	Orange Lounge Radio will not contain any of that in this episode.
368607	370488	Well, isn't that special?
375024	393555	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
395296	399559	We are live!
400774	407615	This is episode number 163 for this November the 6th of 2005.
408075	419878	You're tuned in to Orange Lounge Radio, radio that gamers really want, and this is Orange Lounge Radio Live, your home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
420278	425299	We're plugged in and fully interactive through our website at www.orangeloungeradio.com.
427159	429120	My name is Rob Roberts, you might know me as Sky.
429401	431522	Joining me, as always, are my awesome co-hosts.
431722	435685	In this corner, the happiest bunny on the farm, Miss DarkSakura, Jamie Summers.
436705	437025	Yo.
437526	438006	How you doing?
439107	440167	This microphone is heavy.
442209	443730	I also drink the blood of young virgins.
444650	444991	Hot.
445751	446992	I'm having it for dinner right now.
447012	447892	It's salad dressing.
448933	449233	Awesome.
449854	453056	At least that's what I think that they use in their salad dressings at McDonald's.
453076	454577	It has to be something that tastes fairly...
455546	459550	We may have to switch mics, because for some reason that one's not picking you up so well.
460471	461512	Let's do this.
461752	464895	Just make sure when you're talking, the little switch is out this way, otherwise it won't pick you up.
467678	469860	This is my microphone.
470200	472162	I know, but I switched it because we had trouble.
472182	473644	Don't change things on me!
474244	475385	It makes me anxious.
476386	478488	And when I get anxious, people die.
479029	479850	They're all going to get you.
480905	481245	Huh?
508627	508727	Oh.
509087	509548	Hi, Loki.
509568	511189	Thank you for joining our program tonight.
511229	512149	We appreciate it.
513270	513650	Thank you.
514251	514831	Glad to be here.
515592	517213	Fucking RARC work!
519754	521415	Something is wrong with my microphone.
521435	523096	Like, I'm not as loud as I usually am.
523897	524377	Thank God.
525538	526679	Check, check, check, check.
526719	527219	There we go.
527379	527759	There we go.
527899	528540	Now I can hear myself.
531055	532196	This internet sucks.
532696	533176	It really does.
533276	533577	All right.
533917	538660	Anyway, now that we've got our sound issues worked out, we can actually have ourselves a little bit of a show tonight.
539360	542863	I know I want to talk a lot about Guitar Hero because it's really cool.
544054	546536	and we're also going to talk about, of course, our weeks and our day.
546936	554460	We're going to talk about a cool interview that we're going to have on tonight's podcast and then we're going to talk about whatever tickles our fancy.
554700	556241	And then we're going to set a guitar on fire.
556781	557362	We just might.
557762	561584	But first, say hello to our special guests because it wouldn't be a show if we didn't have some special guests.
562064	563185	Say hello to Bugged.
564746	565306	Hello to Bugged.
565966	567707	And also say hello to DDR Angel.
568228	568608	Hello.
569148	570329	My salad just exploded.
571516	572296	That sounds hot.
573997	574637	You don't want to know.
577018	579878	Alright, and Xtifer's around as well.
579938	582739	He might pop in a little later in the show, hopefully to give us a movie review.
582859	584000	He's fondling his new Mac.
584100	586520	Yes, he's making sweet love to his new Macintosh.
586540	591462	And I'm going to get one soon, too.
592222	593202	Another.
593402	593682	Another.
594463	594743	Alright.
595543	599324	We'll be back after this quick introduction to talk about us.
600319	601919	and what's going on in the video game world.
601939	602499	We'll be back.
603260	608321	I figured we could maybe continue the theme of the pre-show tonight because the pre-show tonight was a lot of disco music.
608741	610881	So we're going to continue on and get down.
611561	615242	I just needed to culture everybody because the Saturday Night Fever soundtrack is fabulous.
615502	616242	It is great.
616342	618122	So let's get down right now.
618142	618702	More Bee Gees.
618763	619423	More Cowbell.
620083	620983	More Orange Lounge Radio.
621003	621823	We'll be back after this.
621883	622723	Join us and chat.
623043	626424	www.orangeloungeradio.com Click on chat.
717683	718327	and so on.
760945	761445	and many more.
818124	839970	Come on, do your thing, everybody follow me I'm bringing back the big beat, J-A-double-C I'm playing by the rules, won't be nobody's fool Groovin' at a moment cause I think it's really cool The beats I'm gonna bring will make you dance to one of the things The beats I bring will make you sing But it don't mean a thing if it ain't got that swing Don't mean a thing, call me Swinger Come on!
840230	840791	Swinger!
840831	841591	I like this!
841831	842431	I like this!
865524	877050	In the swing, you gotta kick the thing, I like this, tell me what you gonna do, we're gonna play with you, now how you gonna swing?
983305	983725	Hello?
984526	984786	Hello?
984826	985527	Is this thing on?
985587	986087	Testing.
987268	987629	Testing 1, 2.
988730	991512	I'm looking in the index, but I don't see anything.
991752	992653	How to run a radio show.
992753	993234	Hello?
993894	995355	I don't understand this.
995936	996737	Does this thing work?
996757	998358	This thing reads like stereo instructions.
998418	999019	Is this on?
999039	999639	What the hell?
1002181	1003603	Orange Lounge Radio.
1003783	1005845	Broke Down Ghetto Bomani Radio.
1007369	1017532	Hi kids, we're back here on Orange Lounge Radio, and I know we've been having some mic problems tonight or something, so we tried fixing it a little bit during the break, so I hope that our mic quality is a little better now.
1018072	1019932	But if not, you'll just have to deal with it, I guess.
1020292	1020612	I don't know.
1020892	1022213	We tried to patch some things up.
1022353	1023813	We kicked Mike out and replaced him.
1024233	1024653	Yeah, that's right.
1024673	1025013	We fired.
1025033	1025433	FIRED!
1026714	1028714	So hopefully things are a little better now.
1029654	1032615	We would like you to know that those responsible have just been sacked.
1033175	1035396	And those who did the sacking have also been sacked.
1036661	1037222	At Infinium.
1037583	1040148	As suddenly a giant foot comes crashing down on our program.
1040228	1043535	We will now continue the rest of this program in a flashy manner and at great expense.
1045018	1045780	I hate you guys.
1046461	1046721	Anyway.
1048271	1049331	That's why they haven't kicked us out, right?
1049472	1050312	Yeah.
1050432	1056475	Moving on, I want to get into this real quickly because we were talking about this a little bit during the break before we get into a little bit of How's Your Week, How's Your Day.
1056775	1061657	But Loki's randomly surfing the internet as he does when he's on this program because he doesn't really like to participate in the program.
1062037	1064758	He just surfs the internet randomly and giggles once in a while in the corner.
1065278	1068079	So, Loki, what was this article you found about the AOL guy?
1069140	1070400	You found an article about the AOL guy?
1070841	1076303	Yeah, the AOL guy is now, he's basically selling himself to make,
1076966	1080148	You know, custom WAV files for your email programs or what have you.
1080789	1087733	Um, and he's charging, I believe, was it like $12 for, um, per WAV file or something like that.
1088394	1088934	Let me see here.
1088954	1089575	I can't remember.
1089595	1090996	He's already sold himself to the devil.
1091036	1092637	He may as well sell himself to everybody else.
1093417	1096179	Um, he was... Can you get him to say anything?
1096659	1098120	Well, I have no idea.
1098220	1103044	Like, could I make him record a WAV file and send it to my ex that goes, You've got herpes!
1105070	1114195	It says, let's see here, yeah, one WAV file, it would be $12 for a non-AOL file, $30 for five files, so that's a little break there.
1114816	1125263	It says, basically, it doesn't really say what else he'll do, just pretty much whatever, I guess, you want.
1126724	1128144	Is there a limit to the number of words he'll say?
1130814	1136456	I don't know, it doesn't say, um, so, I guess if you're gonna order... I don't mind if I'm singing, I'm a little teapot.
1139777	1141918	I'm a little teapot, shorthand stout.
1142878	1144839	You've got mail, you've got hot tea.
1146720	1147000	Anyway.
1148080	1155323	I think he'll do, like, you've got mail and stuff, like, he'll do, like, um, you know, you've got mail, Bob, or you've got mail...
1156912	1157753	You've got served.
1179736	1181738	EXERCIEXECON or something.
1181878	1186062	You just make it up and when he doesn't say it right, you go, no you bastard, that's not my name.
1186382	1189485	Emphasis on the X. Some ancient Egyptian name.
1190586	1193269	Or like my... Awesome.
1193789	1195111	So, yeah.
1195131	1197573	Make him pronounce something in Welsh, he'll totally screw it up.
1198574	1199475	In a foreign language.
1199495	1203759	Can you imagine what it must be like as him, you know, it's just...
1204650	1206250	It's just really bad stuff.
1206310	1209071	I mean, you know, he's all making love to his wife.
1209431	1209991	Oh, yeah.
1210872	1211772	Just really weird.
1212192	1213232	He's got a weird voice.
1213412	1214312	I'm saying that.
1214432	1216113	I only get hot when you say it.
1216213	1217613	You've got mail.
1219054	1227796	It's like, remember, it was Carlos, not Carlos Mencia, but Paulo Francisco and the movie guy, the movie voice guy, and him, you know.
1227816	1230136	Oh, yeah, that's an old, yeah.
1230156	1230816	The passion.
1232057	1232277	Anyways.
1233254	1233574	DarkSakura
1250905	1252786	I'm not even a well-put-together basket.
1252906	1256528	It was sort of like a mildewed basket like you find in the thrift store.
1258028	1258209	Ew.
1258669	1260089	Yeah.
1261210	1264151	I went to the doctor Tuesday with a migraine.
1265572	1267953	And so now I found out that my brain might be broken.
1268934	1270895	So I get to go in for a CT scan on Monday.
1273036	1273536	Fun, huh?
1276517	1277518	I don't want to make a joke.
1278482	1281344	But I have to say this, it's not the tumor.
1281844	1285047	I've been doing, I eat, you, I eat fat in the car.
1286067	1289009	The only time my headache wasn't present was when I was really drunk.
1290471	1292732	I don't want to come across as insensitive to the listeners, so.
1293313	1295374	I have the diagnosis.
1296195	1298736	You're allergic to sobriety.
1300718	1302319	That's probably it.
1303059	1303960	I know, I'm so smart.
1304340	1305401	That'll be $50, please.
1306942	1307422	Guess what?
1307703	1308023	Bite me.
1309025	1317208	Biller Insurance I'll tell you, Bill, that I can't say it on the air.
1318388	1319789	I played Guitar Hero and lots of it.
1320509	1322390	You're going to have to drink the thing that tastes like chalk?
