start	end	text
8672	9853	Thank you for watching!
40014	45880	The following live program is a special presentation of Orange Lounge Radio.
60467	67493	You are listening to Orange Lounge Radio tonight on episode number 164.
68013	72436	We got a lot of stuff planned, including songs from Ultramix 3.
72556	74738	We're going to be talking a whole lot about D.R.
74778	75559	Ultramix 3 tonight.
75879	79002	Plus, Orange Lounge Radio goes to the movies again to look at ourselves.
79602	81323	Well, at least Loki and DarkSakura.
81864	83685	We haven't done that yet because we weren't here last week.
84126	86848	So we're back from our vacation and we're ready to kick some butt.
87508	88369	We'll be back after this.
100794	115284	The following program is intended for mature audiences Orange Lounge Radio is presented in the TMI sound format
145482	151586	You're listening to Orange Lounge Radio Live.
151606	156710	This morning's talk radio is so much more.
159532	160432	Oh, God.
162034	162834	Call me Daddy.
164855	168418	Orange Lounge may contain adult content.
168818	172661	Orange Lounge may contain many four-letter words.
173457	177020	Orange Lounge may contain a scene of nudity.
177280	183665	Orange Lounge may contain plenty of... Just kidding.
183785	187488	Orange Lounge Radio will not contain any of that in this episode.
187588	189430	Well, isn't that special?
193983	204531	Orange Lounge Radio Live is a fully interactive program via our website at www.orangeloungeradio.com.
205112	212378	And now, here are your hosts for Orange Lounge Radio Live, DarkSakura, Sky, and Loki.
217270	219832	We are live!
220292	222953	And this is episode number 164 for this, November the 20th of 2005.
223033	223233	Hey guys!
223393	224394	It's 20 November!
224434	224614	Get it?
224714	225114	Get it?
225174	225575	Get it?
234130	239892	You're home for all the news and discussion on rhythm and music games, as well as the gamer community and the pop culture world.
240432	248676	We're plugged in and fully interactive through our website at www.orangeloungeradio.com My name is Rob Roberts, you might know me as Sky.
248716	254238	Joining me as always are my awesome co-hosts, in this corner, the happiest bunny on the farm, DarkSakura!
254338	256098	Wait a minute, actually, just kidding.
256219	259940	She is actually, actually she might be, hold on.
261170	261810	Let's try this again.
261910	264111	In this corner, DarkSakura.
266652	267172	Can she hear me?
267332	267692	Hello?
269532	271853	We're trying to bring DarkSakura in on Skype tonight.
272713	273114	Are you there?
275374	276515	I thought we had her for a minute.
277235	279715	Whoa, she's really, really broken up.
279755	280716	I don't know what's going on there.
280736	281376	That's a little weird.
284104	284584	DarkSakura, DarkSakura
314929	315389	Hi.
316389	319530	And we also have with us, say hello to DDR Angel.
319890	320250	Hello.
321531	322651	It's working, how you doing?
322851	323191	Yay!
