start	end	text
209	14676	Orange Lounge Radio To Go Edition E3 2005 Special Friday Edition You're tuned in to the Orange Lounge Radio To Go Edition, your podcast home for all the latest video game news and gamer chat.
14936	18358	Now, here are your hosts, DarkSakura, Sky, and Loki.
20629	25330	All right, here we are back with our final day here at E3.
25370	33192	And I don't know if my co-hosts are feeling it like I am, but I think I'm ready for this show to be about over by now.
33932	34772	My name is Rob Roberts.
34792	35792	You might know me as Sky.
35852	38493	My co-hosts, Loki, the one and only.
38953	39273	Hi.
39993	42454	And also DarkSakura, Jamie Summers.
43854	44754	I need a new body.
46074	46874	So what do you think?
47155	49095	Are you ready for this show to be over or what, Loki?
50091	50411	DarkSakura
66047	75289	Now, for those people at home that are probably yelling at us going, Dude, I would kill to be at E3 for anything, and you guys are bitching about having to be there for three whole days.
75729	76289	What would you say?
76369	78989	Why is it that you kind of get burned out on E3?
79249	80190	Okay, how about this?
80230	80730	I'll tell you what.
81350	82610	Let's say you're on the East Coast.
83030	84310	Start walking to E3.
84790	87791	Once you get there, now you know what it's like to be there for three days.
89431	93292	Your feet hurt like a bitch, and you're bored out of your mind, and you're thinking...
94491	94912	Why?
95192	96253	Why is it three days long?
96293	96873	No, I don't know.
97014	102199	Actually, it's just you walk around pretty much everything, and you've already seen everything.
102279	110247	Unless you're in meetings all the time, like we aren't, you really see pretty much everything in about two days.
112236	112516	I don't know.
112556	113537	I found more stuff today.
114157	116478	Actually, I made today my standing in line day.
117419	122521	So I got in to see something I'm going to talk about momentarily on the show.
123081	124242	And I went into the Sega Theater.
124582	125803	Again, I'm going to talk about that later.
125963	132746	But I got to get in and see things and I got into running into people who get me into other things.
134432	135133	Thanks for watching!
151153	167624	so I think that about sums it up for me but I know a lot of us got to do some cool things on this third day so I would typically do the three things but well I won't put a cap on it today let's just say share things with our audience that you think was cool today we'll start off with DarkSakura since I know she's got at least two things right there
168760	173123	I went into the Sega Theater today, got to see the new Sonic game that they're doing.
173163	175264	I believe it's for the Xbox 360.
176025	179707	It's pretty damn good looking, and it was a real-time demo.
180148	184351	So he was playing it, one of the developers there was playing it as they were doing.
184411	192196	There's that serial killer game, Conspiracy, I think that's what it's called.
193317	194818	Condemned, I knew it was a con something.
194918	196479	See, my brain's fried, it's the end of the con.
197339	206167	um, The Condemned, that was pretty spooky, but it seemed sort of, hi, I'm a big ugly thing, I'm gonna hit you on the head with this hammer, BAM!
207648	207828	Ow.
208448	209249	You know, that type of game.
209830	224081	And then, um, there was, uh, there's that Full Auto game, now the Full Auto was pretty cool, it was sort of like, I'm going to run into this building, wait, nope, I didn't want to do that, Rewind, called the Unwreck, and then Drive Forward.
224662	226143	Keep going, that was pretty cool, and also, uh,
226875	227735	Met somebody.
227775	228876	His name was Eric.
228936	232318	If he's listening, I introduced him to the show, so hi.
232918	233318	New person.
233918	239421	In fact, to all of you people who I have met at the convention, if you're listening to us, hi.
239441	241662	I also met one of Jason's friends.
242903	243383	Randomly.
244023	246024	Sitting on the floor at Squinnix.
246864	248165	But I'll go into that later.
249005	254208	At any rate, I couldn't get into Squinnix and they were out of tickets by the time I got up there, which was shitty!
255603	260744	So I trotted on over and I tried to peek at the Activision stuff.
260764	261405	I was like, eh.
261605	262165	So I kept going.
263225	268126	Made it over to where the PS3 line was.
269027	272988	And for being wrapped around the building, the wait was not as long as I thought it was going to be.
273028	275028	They're saying, this is a three hour wait.
275088	277329	I got there in 25 minutes and I was at the tail end.
278329	285813	Um, they did some type of HDTV demo thing, and then they actually let you take you into another theater where you can sit for a little bit.
286613	290715	And, uh, you, they showed what the system can do.
290835	291736	It's rad.
291756	293857	They built a city there on screen.
294877	297298	Um, they also showed some of the games that are currently in development.
298059	302541	They didn't list names of the games, but some of us could tell one of them was a new Tekken.
303582	306926	They showed Jin up there with sweat coming out of his body.
307607	309310	And this apparently is done in-game engine.
311873	314156	One that looked like one of the Romance of the Three Kingdoms games.
316299	317520	Some type of off-road game.
318341	320162	This was a very destructive off-road game.
