start	end	text
13097	14937	Hello everyone, this is Loki.
15218	17598	It is Sunday, February 19th.
17898	24920	This is episode 175, part 1 of 3 episodes that will be coming out this week and next.
25660	28241	Both DarkSakura and Sky are out this week.
28841	31062	Sky is on the east coast cosplaying it up.
32422	34983	And DarkSakura is off visiting relatives.
36023	36463	Anyways...
37139	40241	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
65163	68706	One of those games that you're going to need to have a lot of patience for.
68826	81695	It does get extremely hard towards the end of the game, and really I've been yelling and throwing controllers, so definitely something to think about, but one of the best ones for the 360 so far.
82796	84577	Anyways, let's start things off here.
85298	91302	First up, we've got some news here coming out from Capcom's Gamer Day, and they're
91741	94402	Basically, this is kind of a press-only event that they have here.
94442	97302	They've announced a lot of different games coming out this week.
98122	99123	Let's start off here.
99203	107184	We've got Capcom's Classic Collection Remix, which is kind of a reiteration of the collection that they had on the PlayStation 2 and Xbox.
107224	113826	Now, for the PSP, one of the other games that we had coming out, which is pretty sweet, is Capcom Puzzle World.
114526	116666	It actually has a bunch of really cool games in it.
116786	120727	The first one being Puzzle Fighter, one of my all-time favorite games for the
121931	123592	PlayStation 2 and Arcade.
124232	127833	The other thing that they've got is Block Block and Buster Brothers.
128313	131634	So if you're a really big puzzle fan, that's going to be one that you're looking for.
132335	136976	That's going to be coming out, looks like, on the PSP, which is going to be pretty sweet.
137576	143398	One of my other favorites that came out of that is going to be the Power Stone collection.
143498	147600	Now, for those of you who haven't played Power Stone, it's actually a pretty sweet arcade game.
147660	149440	It came out in the Dreamcast for a little bit.
149460	150021	They had 1 and 2.
151642	156632	and it's a three-on-three just slugfest basically you collect these
157622	185802	different gems that make you super powerful and you can pull off different moves well they actually are bringing out the collection now on the PSP which is going to have ad hoc multiplayer as well as a bunch of mini games so that's definitely going to be one to look forward to what was missing though was some of the bigger names in games of course that would be Resident Evil 5 and Devil May Cry 4 unfortunately those weren't looks like ready at the time they did
186417	193279	have a big push behind their next-gen games, Lost Planet and the upcoming Mech Assault for the Nintendo DS.
193639	197520	Or actually, it's Mech Assault-style shooter for the 360.
198320	198860	It's kind of neat.
198880	205022	It's kind of reminding me a bit of Resident Evil with mechs in there, so it should be pretty sweet.
205102	211484	And, of course, Dead Rising, the complete ripoff of Dawn of the Dead, but still going to be a pretty cool game.
212358	222927	And finally, one of the last games, also an old-time favorite, is Ultimate Ghosts and Goblins, which is definitely a throwback to the original side-scrolling game.
223547	225429	They've added a few different things this time.
225489	229732	You can actually use a shield, and they have a magic system in there as well.
229772	230753	Should be pretty sweet.
231053	237138	Definitely a lot of support for the PSP this time around, and a couple 360 games, so worth checking out.
238399	238880	Let's see.
239540	239901	Also...
240931	242152	Street Fighter 2 on Xbox Live Arcade
266753	269215	to kind of coincide here with the Xbox Live stuff.
269476	272718	We've got a few more updates coming to some of the games that are already out.
273499	278183	One of them being co-op over Xbox Live for Cameo, which should be interesting.
279724	284548	I'm not sure how that's going to make the game any better, but it should be pretty fun anyways.
284668	289592	And also some more multiplayer maps for Perfect Dark Zero, which should be pretty cool as well.
290233	295017	That game I actually haven't even touched since I bought it, but here it's a pretty good game.
296249	296890	Let's see here.
