start	end	text
14315	25107	Tonight, April 30th, 2006, we talk about the new PSP firmware, what are we all assuming Microsoft might show at E3, and we get excited about Luminous 2 news!
31809	36752	Hello everybody out there on the internet and welcome to another week of Orange Lounge Radio.
36853	41416	We are that video game podcast dedicated to what gamers really want to know.
41516	43637	My name is Rob Roberts, you might know me as Sky.
44118	48801	Joining me as always in that corner over there, say hello to DarkSakura, Jamie Summers.
48961	49862	Yo, what up?
50002	50482	How you doing?
51202	53704	I've just been going wee all day, I'm so happy.
53884	55325	Alright, you're just in a good mood.
55606	55886	Yeah.
56046	60489	Alright, and not here tonight, don't say hello to Loki because he's not here.
61328	70282	He who is about to die That's right, he's getting married, which means his soul is forever gone Hey, I still have my soul and I'm married But I married a gamer
71633	78621	All right, so no, we, in all seriousness, congratulations to Matt and Nellie who are tying the knot on Sunday night.
79021	80463	We're taping on Saturday this week.
81084	84528	So not joining us tonight is the chat room and the Skype line.
84588	85248	It's just us.
85449	85889	Oh, darn.
86149	88272	So we're not calling this an official episode.
88312	89633	This is a mini episode.
90674	91816	I like episode-let.
92515	93435	A little episode let?
93556	94196	I like that name too.
94216	95496	We'll call it an episode let.
95997	96217	Yeah.
96357	96917	Like a nugget.
97597	98778	Yes, a little episode let.
98798	99858	That's kind of gross.
100679	102519	It's a nugget poop.
103340	106681	So this is our little episode let for this April 29, 2006.
107221	110283	There will be no Part B this week, so please don't be looking for it.
110583	112143	We're only going to do about half a show tonight.
112464	115665	It's been kind of a slow news week too, all things considered.
115785	116785	I guarantee you Wednesday.
117086	117726	Where's Part B?
118346	121487	I'll put up a picture of a face sticking out a tongue and go, there's your Part B.
142614	142994	Allgames.com 630-ish
164918	166079	I may find John Cena again this year in Stockholm.
183100	184161	I didn't know he was an E3 attendee.
184182	184963	He was there last year.
185023	186285	He's a wrestler.
186305	188388	Are you going to stalk celebrities, C-list celebrities?
188649	190492	I might bump into a few more celebrities.
190572	191013	Who knows?
191153	195480	I bumped into Kojima the year before and I bumped into Miyamoto last year and this is literal.
195714	195994	E3 Outpost.com
225799	226780	Who doesn't want to meet us?
255649	256369	or a dollar.
257069	261051	Alright, let's cut the crap and get to how our gaming week was.
261151	262491	DarkSakura.
263271	264452	Bye everybody!
265992	267453	Oh, I guess that's it for the show.
269073	271054	How was your gaming week, DarkSakura?
271114	275455	I played a buttload of Ragnarok yesterday and I played a buttload of Ragnarok today.
275875	279997	Instead of doing the rest of my homework today, I played a buttload of Ragnarok.
280777	281777	I'm so responsible.
282698	283978	The thing is that it was due two weeks ago.
286444	301648	No, I tried to play some Kingdom Hearts last weekend because I wasn't here last week because one of my really good friends and a listener of ours, DisneyPunk10, came up to hang out for my birthday week, which was drunken.
304949	305549	More drunken.
306330	306870	Good times.
306930	309130	I talked about Dave and Buster's on last week's show.
309150	309671	It was good times.
310611	314732	I actually did not get as insanely drunk this year as I did the year before because now I'm grown up.
316896	319499	You'll never be a grown-up.
319539	320500	You still play games.
320960	321841	Games are for kids.
322502	322963	Hey!
325505	326386	Obviously, I'm joking.
326867	327928	I wasn't playing with my dolls.
330111	333955	Yeah, oh, you know, though, I found out a piece of... Oh, yeah, I saw Silent Hill three times.
335063	336503	I went on last Friday.
336764	338064	Oh, we didn't get to hear your feedback on the movie.
338124	338904	Obviously, you liked it.
339284	339604	Oh, yeah.
340505	344166	I went Friday, and then I went again Sunday, and then I went Wednesday, and I drugged Julie with me.
344486	345866	Is it possible to see a movie too much?
346066	346187	No.
346867	361671	I'm going to go again, hopefully, before we go to E3, and I think I'm going to see it while I'm at E3, because one of the DDR Freak moderators is from South America, and he hasn't... It's not opening there for a while, so we're going to probably bring him to see it at some point.
361851	362252	That's cool.
363052	363232	But...
364725	367306	I forgot.
367746	368446	Oh yeah, Silent Hill.
369106	370307	Oh my god, Red Pyramid.
371227	372487	I was like, you could kill me.
373207	373828	I'd die happy.
374828	378809	I like that they actually got an actual actor to play him in The Janitor.
379309	383150	Because he moves so fluidly.
383770	386191	It's just like, oh yeah, I could watch that for hours.
386869	393190	Somebody at the, I was out at the club last night and some of us were talking about Silent Hill the movie and somebody called him Triangle Head.
393490	394350	That made me laugh.
394370	396371	Triangle Man.
396431	398871	That's exactly where my mind went to.
398891	403512	This is how we know we're both dorks because my mind went exactly, Triangle Man, Triangle Man.
404192	406933	And if you catch that reference, you too, my friend, are a dork.
406953	412794	There actually is a LiveJournal icon where it had Pyramid Head as Triangle Man.
413579	418343	and what was the guy in the second game, James, as Person Man.
419864	421746	Alright, games, gaming week.
421766	423047	Okay, yeah.
423607	429452	I hit level 43 for my job class, which means I have seven more stupid job levels to go.
429572	431113	Or that you are a certified dork.
431694	437038	Hey, I'm not the one who was on... This is your gaming week, not my gaming week.
437138	437438	Okay.
439060	439640	Drama!
440581	440741	No.
441542	442923	This is definitely an off night for us
444302	452705	Um, but yeah, and then I, um, I, uh, worked on, uh, something I'm doing for Kingdom Hearts fan art opportunity with a friend.
453605	456186	So, uh, I've actually been sort of artsy gamey.
457127	462608	Sort of trying to get back into my old, uh, you know, nerd hobbies, but school is sort of kicking my ass.
462989	465049	But I think I'm doing a flashlight based off a video game.
465089	467990	I'm just not sure if I'm going to do Silent Hill like I've done all my other homework.
468811	470311	Um, I might just do something.
470331	472272	How about a Guardian Legend tribute page in Flash?
472292	472772	That would rock.
473411	477795	Actdeft, Drew, Carameldansen Actdeft, Drew, Carameldansen
490276	491576	Who wants to do my flash homework for me?
491836	492196	Not me.
492716	495877	My gaming week, I played Final Fantasy XI a little bit.
496817	497857	Actually, more than a little bit.
497877	499338	I played a lot.
500478	502858	Like Monday, Tuesday, Wednesday, I played a lot of Final Fantasy XI.
502898	504498	So I'm kind of like on a little mini break.
504838	506259	I'm taking a little mini vacation from it.
507359	514800	But otherwise, the only really new game I played was Project Gotham Racing 3, which isn't really a new game because it was an Xbox 360 launch title.
515120	516160	But Loki let me borrow it.
516540	519001	And so it's about like the 50th racing game I've played on the 360.
520251	521191	Download the Speed Pack.
521511	523472	I forgot to mention Dan downloaded the Speed Pack.
523852	524652	Doesn't that cost points?
525593	528253	Yeah, however, the cars that are in it are so worth it.
528353	529994	One of them is the Evo 8MR.
530774	531234	Maybe.
531334	531654	I don't know.
531975	533515	I don't know how I feel about this game still.
533535	534995	I like the game.
535036	535776	I think it's pretty.
536236	540837	I think it's got a great interface, and I think it's a very fluid interface, and it's great to get into.
541237	548760	But the racing itself, I found you have to use different tactics in this game than you do in other types of games like Ridge Racer, and that kind of threw me at first.
548820	549740	It depends on your car, too.
550520	553823	I understand why it's not a game about drifting.
553883	556065	It's more of a street race type thing.
556145	557326	It's just a different style.
557915	560217	I had to read up on GameFAQs how to do a frickin' turn right in that game.
560237	563380	My suggestion is actually to do the in-car view when you're playing.
563400	564962	It actually does make a difference.
582746	583207	You know what?
583267	586889	Maybe I get a little motion sick sometimes, too, because that view makes me all weird.
586909	588310	The interiors, though, are perfect.
588670	588930	I know.
588970	589550	It's pretty looking.
589570	593453	I did notice a flaw, being that I'm a Lancer freak, since I drive a Lancer.
594073	598996	They did the interior for the Evo IX inside the Evo VIII MR. Wow, that's nerdy.
599236	599796	That is nerdy.
600437	603759	Pretty awesome you know that, though, because I would never have noticed that.
603779	606060	I like that you can test drive all the cars, though, even the expensive ones.
606080	607321	I'm not a car person.
607509	610310	You can go to the expensive ones and do the test drive so you can see how they play.
611190	613690	It's a fun game and I will probably play more of it.
613730	616231	I just was a little like, whoa, this is a little bit different.
616291	619211	But I love that it's so fluid.
619251	620952	It is definitely one of the better racing games on 360.
622092	626713	I was kind of surprised because I didn't think it would be the type of game I'd like, but I really enjoyed it.
626773	635455	But for all these people that like to loop racing games in one big pile and call them all just like racing games, you know, like they're all the same.
636075	637135	You need to play this
637987	643552	Then play something with guns like Full Auto or Burnout, something where destruction is the main factor.
644012	649957	And then play something like, well I know Initial D is not on 360, but maybe something like Ridge Racer where it's more about drifting.
650557	653580	And you'll see the big differences between these racing games.
653800	657803	I would have to loop the Project Gotham series in with the Gran Turismo series.
657844	659205	They play similarly.
660326	663008	More on the realistic side of car motion than...
663550	667113	I have yet to purchase that, I feel that I don't need it My brain is 50 million years old
689096	690397	No, that's a bad, you want to get it down.
690737	690837	One.
690977	692717	You want your brain age 20 is the lowest you can go.
693338	693958	I'm 21 now.
694278	694998	I'm 21 now.
695318	695899	I'm working on it.
697279	698439	How about some gaming news?
699980	701641	Big news in the gaming industry.
701901	705102	Huge, huge news in the gaming industry this week.
706104	706704	from Sony.
707004	716048	Sony has upgraded their PSP firmware to 2.70 to include Flash support.
717088	718809	However, I hear it sucks.
719609	722370	I hear the Flash support really stinks on this.
723070	725511	Did they say what Flash supports?
725731	726471	Is it Flash 8?
727512	732874	No, they just say the release notes say now you can play Macromedia Flash content.
732894	733494	But here's the thing.
733855	736115	You're not really supposed to save the content.
736135	737776	You can't play content that was saved.
738056	740177	Although supposedly people have found a way around that.
740217	741758	You access it from your browser.
741998	746800	But there's no way to launch just... Let's say you want to download Homestar Runner movies and watch them at your convenience.
747040	747700	You can't really do that.
748180	749021	It doesn't really work that way.
750001	751622	And they say that Flash games...
752222	756004	Run, like I was reading web forums, Flash games run like two frames a second, like they're horrible.
756505	760307	So, the Flash support is there, but needs a little bit of improvement.
760507	761347	I can work around that.
761627	762128	Yeah, we'll see.
762628	764769	Who knows, we might be seeing our own content in Flash.
765150	768231	Possibly, although I don't know, we may want to wait until this gets better.
768451	771593	Because from what I'm hearing, the feedback, not worth the upgrade.
771873	774635	The feedback I'm hearing on the forums is this is not worth the upgrade right now.
775427	776267	I wouldn't mind testing it.
776368	778589	I really would not mind designing something and testing it out.
778609	780650	Well, you still have my PSP, so I guess you could do that.
780710	781090	Yes, I do.
781230	782671	It will be coming with us to E3.
782791	783131	All right.
783672	784132	Sounds good.
784152	787454	Yeah, there's plenty of reasons why everybody should bring their PSPs to E3.
787794	790475	My husband still has not got me my PSP.
791176	791396	Really?
791736	793017	Because I think we're getting a camcorder.
793557	795418	Well, you need to get a PSP out of that, too.
796677	800519	Let's see what else has been added in the PSP 2.7 upgrade.
801240	807503	UMD video L and R button has been added because you can disable the channel skip feature with the L and R buttons.
807663	809304	And I've done this before.
809324	811825	It's too easy to accidentally knock those buttons or hit them.
812185	813606	So you can disable that.
814727	821330	And AAC is now playable on the PSP as well, which is a very popular iTunes and Apple codec.
821370	822311	So that's pretty cool.
823257	827441	So if you want to check that out, all you have to do is just on your PSP you can update the firmware.
827501	837310	Keep in mind, for those of you guys that like to do controversial things on your PSP which involve downgrading your firmware, 2.7 will lock all that out because obviously they fixed all those loopholes.
837370	839732	So something to consider before you do this.
840063	842645	Where one loophole closes, another one opens
867502	895085	but I would say perhaps I think there's actually truth in this I think maybe they will keep quiet about the price I think they just want to show the goods and I think this whole blu-ray kind of factor will probably determine I mean because we still really don't know like is are the games going to be blu-ray I mean they say it is is it movies I mean are we still I mean certainly websites out there are talking about one way or the other but we still really don't know what Sony's plan really is for that
895545	898649	So I think until that's been established, it's really hard to get the price.
898729	899570	So we'll see.
900411	901572	I mean, I could be wrong.
901793	909722	I'd like them to release the price, and I'm pretty sure it's going to be $399 to be competitive with Xbox 360, even though rumor is they're going to drop price.
910183	910423	But...
910982	912743	I don't think we'll know for sure until the end of summer.
912783	913864	It seems fair.
914284	918787	That was pretty much as much as the PS2 was released for when it came out.
919028	921329	And wasn't the PlayStation 1 about that much when it came out, too?
921589	922070	Maybe at least $2.99.
922130	924151	No, yeah, it was around $2.99.
924952	930315	If I do remember correctly, because I didn't have one, I was there when someone bought one, because it lived in my dorm room.
931236	931916	He didn't have a TV.
933157	937200	But, well, the price of a dollar has gone, you know, different directions since then, so...
938277	945061	Alright, one other thing that we can expect on Sony is a very popular franchise's sequel, correct?
945561	946061	Luminous 2.
947202	947542	Awesome.
