start	end	text
229	910	Orange Lounge Radio
51514	56477	Alright, we are here live at Foname 2006, Orange Lounge Radio.
56497	61300	We're taping our podcast here in front of, you know, dozens and dozens of people.
63262	64462	Dozens and dozens of people.
64903	69646	You know what though, there's more people in here now than listened to the very first episode of Orange Lounge Radio, so it's alright.
70126	72908	Technically there's dozens of people in the other room in front of us.
73208	75209	Yeah, listening to the rock concert, so it counts.
75650	78071	Anyway, my name is Rob Roberts, you might know me as Sky.
78111	80773	Joining me as always, say hello to Dark Sakura, Jamie Summers.
81013	81373	Yo.
82173	84054	And what are you dressed up as today, DarkSakura?
84354	87454	Temari from Naruto, only in the manga so far.
87615	89715	She's cosplaying today, boys and girls.
90155	94216	And isn't, though, the Naruto thing kind of played out when it comes to cosplay?
94476	96296	It isn't when you only have a week to make your costume.
96537	97677	Excuses, excuses.
98197	100637	Next year, you need to... Next year is going to be a lot.
100657	102498	This dude's got an interdict costume back there.
102518	104478	Tim is always the best.
104658	105739	Okay, how is that?
105779	107479	We have our Starblazers costumes.
107725	108245	That's awesome.
108905	110366	Also say hello to Tech Master Loki.
110766	110946	Hi.
111166	111366	All right.
111386	113747	So this is actually the second time we're recording the intro.
113767	114827	Thanks to Tech Master Loki.
115087	115407	Thank you.
115627	115907	All right.
116408	116568	Hey.
116588	117028	But that's okay.
117048	119108	Through the magic of radio, it'll all be brought together.
119529	123810	At least we figured that out about 10 minutes in and not all the way in.
124130	128071	Like an interview I did at E3 a couple years ago with Jason Enos.
128091	128591	You know what?
128671	129692	I still hate you for that.
129992	130252	I know.
130312	132472	Loki asked Jason Enos.
132592	135093	Jason Enos is the guy who produces the DDR games.
135313	137374	Asked him point blank what he thinks about In the Groove.
137725	139725	and the answer's lost forever thanks to yours truly.
141166	141486	Whoops!
142266	146547	All right, anyway, we like to start off the show talking about our gaming week and what we've been playing.
146627	149748	So, DarkSakura, what kind of stuff have you been playing this week on the game scene?
150408	156190	I played Metal Slug 5, big shock to everybody, on Friday.
156630	158890	Have they increased the graphics yet on Metal Slug?
159310	159510	No.
159530	159770	Okay.
159790	160111	That's all right.
160291	164712	But you can shoot more people and stab people and get heavy machine gun.
