start	end	text
0	6000	Orange Lounge Radio is taped live on Sunday nights and released to our podcast stream twice weekly.
6000	15000	To listen to the first half of this episode, visit www.orangeloungeradio.com for links to websites with listings of past episodes.
15000	20000	Now the conclusion of this week's episode of Orange Lounge Radio.
20000	26000	And we are back here on Orange Lounge Radio on this very special Part C to celebrate our 200th episode.
26000	32000	Now I want to warn you guys, if this is your first time downloading Orange Lounge Radio, this is going to be a little bit different.
32000	35000	This is not your typical segment of Orange Lounge Radio.
35000	40000	So I urge you to check out orangeloungeradio.com and dip back in our podcast feed and check out Parts A and B.
40000	44000	We envision this section of the show to be a little more like our afterbirth segment.
44000	46000	For those that listen live, you know what that is.
46000	48000	It's a little bonus thing we do just for the live listeners.
48000	50000	We do have a little bit more game news.
50000	55000	We just filled up with stuff in Part B and just had a little more we wanted to talk about here in Part C.
55000	61000	But first, before we get to that gaming news, what we did is we brought in a little bit of champagne.
61000	64000	I promise there will be liquor tonight in one form or another.
64000	67000	We're going to do a toast here to our 200th episode.
67000	70000	Does anyone want to make the toast or should I just do it or what?
70000	71000	Anyone want to say a little bit?
71000	72000	Alright.
72000	79000	I would say it's been a wonderful 200 episodes with you all and we're going to keep doing this as long as we possibly can.
79000	82000	Hopefully another 200 episodes in the future.
82000	85000	Loki, anything you want to say?
85000	86000	I can't reach.
86000	87000	Alright.
87000	88000	Dr. Sakura?
88000	90000	To quote, this is the thing I always toast.
90000	91000	Here's to us.
91000	92000	Who's like us?
92000	93000	Damn few.
93000	95000	And they're all dead.
95000	96000	Toast, toast.
96000	97000	Yay.
97000	98000	Clean.
98000	102000	You can't hear the cleans because they're plastic.
102000	103000	That's some good Corbel.
103000	104000	Alright.
104000	108000	You're not a big champagne fan?
108000	109000	I hate champagne.
109000	112000	I like champagne but I really like it and a good mimosa.
112000	115000	Why can't we just toast Guinness?
115000	116000	Okay.
116000	118000	When we reach 300, we toast Guinness.
118000	120000	Or 250 is a big number too.
120000	121000	I don't know.
121000	125000	I think it's going to be more like the fifth birthday because fifth birthday is pretty big so we'll see.
125000	129000	Anyway, Jamie already burped the Corbel.
129000	130000	That's amazing.
130000	131000	That's some fizzy stuff.
131000	132000	That is amazing.
132000	133000	Alright.
133000	136000	We have a little bit of extra stories here for you guys.
136000	137000	Loki?
137000	138000	Yes.
138000	140000	A lot of fun stuff for part C.
140000	144000	Anyways, I really shouldn't be paying attention.
144000	146000	Thank you Chat Room for your well wishes by the way.
146000	151000	So, there's been a lot of rumors going around about the 360.
151000	159000	One that keeps popping back up is Microsoft's going to release a brand new 360 with an internal HD DVD drive.
159000	162000	Once again, they have said no.
162000	166000	We are not releasing a SKU with an HD DVD drive.
166000	173000	It says, it turns out you want to say in how you spend your entertainment dollars.
173000	180000	So, who are we to burden every customer with the cost of expensive movie technology?
180000	185000	Ooh, sub Sony.
185000	187000	Ouch.
187000	190000	That was Bill Gates whipping it out right there.
190000	194000	No, that was actually a generic Microsoft employees.
194000	197000	Sorry, that was a Microsoft employee whipping out their cock.
197000	199000	No, that was one of their technical writers.
199000	200000	I see.
200000	203000	This is why I'm in school to be a tech writer.
203000	204000	Alright.
204000	210000	So that I too can whip out the corporate cock.
210000	211000	I don't need a corporate cock.
211000	213000	I just need a cock.
213000	214000	Your girlfriend is still bigger.
214000	220000	Anyway.
220000	234000	There is actually the Game U College Tour will be making the rounds.
234000	238000	It will be featuring the Xbox 360, Xbox and PC gaming.
238000	245000	The tour will last three months and it will hit up 40 different college campuses.
245000	253000	It's produced by Game Informer, Norcent TV and Mountain Dew and a bunch of other folks.
253000	259000	And it's going to hopefully reach 90,000 different people.
259000	264000	Some of the titles that are included are Madden NFL 07, blah, blah, blah.
264000	271000	Rainbow Six, Saints Row, Mortal Combat Armageddon, America's Army Special Forces,
271000	276000	Splitter's Little Agent, blah, blah, blah, Project Gotham 3, Dead Rising.
276000	278000	In other words, all the games Jamie does not enjoy playing.
278000	279000	Hey, Dead Rising.
279000	280000	Okay, that's cool.
280000	283000	Dead Rising was hot.
283000	292000	And there will be a Madden NFL 07 football field goal competition and the winners take home $1,000 as the prize.
292000	298000	And Game Informer will have a Halo 2 competition each place with an unnamed prize it seems.
298000	306000	So the tour starts on September 14th at the University of Arizona in Tucson.
306000	311000	Other schools that will be visited will be just general places.
311000	318000	They will be going to Austin, Texas, University of Texas, University of Missouri, Wichita State.
318000	328000	Vanderbilt, Northern Kentucky, Temple University, Penn State.
328000	338000	They will be going to State University of New York in Buffalo and Miami University of Ohio.
338000	339000	That always makes me laugh.
339000	343000	And of course Notre Dame in Indiana.
343000	344000	All right.
344000	349000	Well, if the game isn't coming to you, maybe you need to bring the game with you everywhere you go.
349000	351000	Now you know those little plug and play things, right?
351000	353000	The little joysticks you can plug into your TV.
353000	355000	You see them sell these at Target all the time, right?
355000	358000	Well, these things are getting smaller and smaller and now check this out.
358000	361000	They now have key chain plug and plays.
361000	369000	A little teeny Atari joystick and a little teeny Atari paddle that you can take with you to play games on the go.
369000	371000	They have actual games in these.
371000	374000	It's an included six foot cable that comes with it.
374000	377000	It's on a battery powered reel and you put it on the key chain here.
