start	end	text
14245	19512	We are live here at the E3 Outpost for this special Thursday E3 2006 edition.
32130	39912	Welcome everybody to the Thursday edition of Orange Lounge Radio, live from the E3 Outpost, celebrating all things that is E3 2006.
40832	42652	My name is Rob Roberts, you might know me as Sky.
42712	49074	Joining me as always, say hello to my exhausted yet perky co-host, DarkSakura, also known as Jamie Summers.
49094	49594	Hi.
49834	50594	How you doing?
51094	52974	I slept on the thingy.
53135	53635	On the bus?
53815	55115	I hate LA traffic.
56264	57685	It took long enough that I could sleep.
57966	58886	I took a proper nap.
59006	59587	Well, whatever.
60307	62809	Also, say hello to the one and only Techmaster Loki.
63070	63370	Hello.
63630	64030	How you doing?
64751	65171	I'm good.
65271	68934	I just ate a bunch of popcorn, chicken, and bacon out of these potato skins.
69054	71016	Loving the catering at the E3 Outpost.
71156	73258	And then I took the bacon and dipped it in barbecue sauce.
73338	74138	Good people.
75319	75559	What?
76200	77181	That's what I can do.
77681	79242	Prove super bacon to the next level.
79282	79582	All right.
80423	80904	Next time.
80964	81264	All right.
81624	82245	Also, say hello.
82265	84927	Joining us again tonight, our good pal, Bobby Blackwolf.
85507	85767	Yo.
86068	86728	How you doing, Bobby?
87349	88850	Tired, my feet hurt.
89691	91493	I am all weed out.
91513	94195	That's probably how everybody feels about you after eating three today.
94476	99340	Also, wave hello to Mr. Lawrence Young, who is producing us tonight.
99380	101182	He doesn't have a mic, so he can't say hi back.
101222	102023	But this is what he would say.
102383	102904	That's me.
102984	103644	That's me.
104605	111149	Alright, first of all, for those of you guys listening live tonight, it's about, what, 7.50 and we were supposed to be on at 6.30?
111549	114270	I apologize, especially to those of you guys on the East Coast.
114851	115691	Crap happens.
116651	119433	We were actually at a booth right up until 5.45.
119973	126337	We had an appointment at a booth, and so we actually missed the first shuttle back here to the outpost, so we had to wait for the second one.
126377	127297	So I apologize.
127857	128418	It happens.
129158	130219	Technical difficulties.
130299	130579	Anyway...
130939	133101	Let's talk about E3 and some of the stuff we saw today.
133141	135543	We're going to play three interesting things.
135743	139005	DarkSakura, what's one of them?
139206	147632	I went to the Kings of Korea, or whatever they called it, and apparently one of the companies is bringing out a new Kunio game.
150014	156879	They said 2007, but they're basically giving rebirth to the Kunio franchise, which I thought was pretty cool.
157100	159802	And he seemed absolutely surprised that I would... Is that a Kunio game? !
160442	163404	For those who don't know what that is, was that a popular anime?
163484	165465	It was brought over as River City Ransom.
166045	167026	Oh shit!
167226	167986	And Dodgeball.
168006	169027	That's all I needed to hear.
169447	176411	But overseas it was Hot Blooded Downtown Story and Kunio's Dodgeball.
176431	177691	What's this new game they're doing?
178432	180553	I didn't really tell much about it because I don't read Korean.
182165	183165	But it's Kunio game.
183265	183845	What did it look like?
184166	184986	Were they playing a sport?
185006	185726	Were they beating each other up?
185746	186826	They didn't show any pictures of it.
186886	188607	It was just like the artwork for it.
188627	189607	I was like, Kunio game.
189767	190447	I mean, I don't care.
190507	191047	It's Kunio.
192668	196809	The same guy who I surprised was also surprised that I played Ragnarok Online.
197189	198890	He was apparently one of the people who worked on it.
199610	200630	Oh, very cool.
200710	202270	I was like, hey, you're my hero.
202470	203811	You have created my addiction.
204551	207873	If you want to talk to DarkSakura about Kunio, you can join our chat room.
207913	210594	It's chat.allgames.com for tonight.
211294	213935	But everything is actually filtered through Bobby tonight.
214056	217597	Because I left the Ibyuk at home.
217737	220098	I call it the Ibyuk after Bjork because I love her.
220679	222900	So I have my Ibyuk back at the hotel.
223260	226401	So DarkSakura and Loki and myself have no way of seeing chat.
226561	227962	Only Bobby.
228402	229443	So be nice to me.
230363	232664	I can see from here and I can laugh at people.
233384	237986	We will take calls a little later on in the program, but if you're calling in right now, too bad, we're playing a game.
238266	242188	Just to say something to Fantav.
242328	246790	I've been looking for Gravity every year so I can ask him where's Ragnarok Online 2.
246870	249871	Wasn't Ragnarok Online 2 supposed to be last year's E3?
250191	251071	I have no idea.
251151	252352	Gravity never shows up.
252492	255193	They're too busy banning people.
255353	262735	There is actually a Wikipedia article up for Ragnarok Online, too, that has some of the features from previous information that's been leaked.
262855	265375	So maybe you find something there.
265415	265755	I don't know.
266315	267055	There hasn't been a site.
267135	268516	They have a site for it, but it's a placeholder.
268636	268976	All right.
269176	273117	Again, for those of you guys who are listening to us and going, God, those guys don't sound normal.
273177	279138	Well, that's because we're at the E3 Outpost, and you get that nice ambient, the little club going on in the background.
279298	279678	Ooh, ooh.
280518	281779	Who's DJing down there?
281859	282300	I don't know.
282580	282840	Who's?
282980	283621	Pretty funky.
283961	285082	Lawrence is shaking his head.
285222	285342	I am.
285402	286803	I can probably check my player.
286823	288384	Let's get his card after the show.
288444	288744	All right.
289304	291626	Loki, what was something you saw today?
291646	293607	We heard about Korean Kunio.
293908	295789	What's something interesting you saw today, Loki?
296192	298633	Well, something a bit more normal, I guess.
299593	304975	We actually went and saw the Gears of War demonstration and that was pretty sexy, actually.
305936	309477	I totally dig the way Microsoft has their theater set up.
310632	312013	That's the way you do it right there.
312033	322062	Yeah, the way Microsoft had their theater for Gears of War is that you actually went in and you would put these headphones on so that all the outside noise is blocked.
322702	327786	But you can hear the Gears of War stuff clearly and that way you're not blasting the whole booth full of noise.
328467	330809	And then there's also surround sound in the floor.
330829	333652	So like when the guns went off, it vibrated your butt.
334073	335514	That's exactly how this was last year.
335975	339778	So if you want a free butt massage at E3, go check out the Gears of War demo.
339798	341961	What did you think of the game itself, though, Gears of War?
342221	343082	I thought it looked awesome.
343162	347186	I'm not really into a lot of first-person shooters, but it looked pretty solid.
347586	347927	It looked...
348667	352391	I haven't seen the Halo trailer yet, but I would say it probably looks better than Halo.
353392	355174	I don't do a lot of first-person shooters either.
355214	356015	I do do Halo.
356055	357076	I think Halo's awesome.
357637	361300	But Gears of War, what I liked about it is that it looked like it was really dummy-fied.
361761	364404	Like a lot of one-button stuff, because when...
365626	369090	And basically the developer or whoever was showing it to us went through the game twice.
369410	370811	The first time, or the level.
371072	374675	The first time they went through the first level and just like jammed through it.
375456	378379	They just jammed through the level and I was like, wow, that guy's doing a lot of shit.
378399	379660	I'll never be able to recreate that.
379881	385767	But then the second time he went back through the game and showed how easy it was to be hacking people with chainsaws and all the cool stuff he was doing.
386047	387528	It's a very violent game.
388149	389290	Very violent.
389350	390751	Very, very pretty, though.
391111	399016	Yeah, and it was the only minor, minor bench I have is that there was some frame rate problems, but I'm hoping... I think that's just the video.
399036	403679	Yeah, it's just a develop or whatever it is issue, and that'll be gone by the time it actually rolls out.
403899	408982	For those of you guys that are into Halo, the fact that this thing has multiplayer, this is going to be your holdover for Halo 3.
409382	410223	And it might even be...
410703	414885	A real good, like, right up there competitor with Halo 3, like Half-Life, Quake, one of those.
415125	417926	It might actually be coming out around the same time as Halo 3.
418146	421008	No, they said 2006, so we're holding them to that.
421408	424269	Well, Halo's supposed to be in 2006 also.
424329	424929	I don't believe it.
425470	427630	I say Halo 3 not until next year.
428731	429931	Well, they said otherwise.
430312	431412	I don't give a crap what they say.
431452	431912	It's not true.
432252	434393	They would have shown playable footage of E3 if it was true.
435254	435574	Good point.
436926	439508	Bobby, three interesting things, what's one of them?
440228	443050	Well, I kind of spent all day in one place, so it's kind of hard.
443471	445912	Okay, well you've got to have seen at least three demos while you were there.
445932	446853	Where did you spend your whole day?
446913	450856	I spent my whole day playing with my Wii and Nintendo.
450936	460703	You guys suck with your booth design making me wait in line for two hours so I could sit in other lines watching people play 20 minute demos.
461601	464265	So if there's four people in front of you, that's an hour just to play one game.
464365	465787	I hate Nintendo's booth this year.
465867	467429	I absolutely hate it.
467509	468951	I'm not talking about the games in it.
469231	469752	The booth?
469952	470513	I hate it.
470933	474338	It is horrible compared to the past two years.
474778	475659	It's atrocious.
476621	476961	I could just...
478503	479784	We're going to do FUs of the week later.
480084	480925	Okay, cool.
480945	481906	Did we bring One Week in Angel?
482506	483087	No, I didn't.
483567	484167	You're going to sing it.
486810	487370	No, no, later.
487390	489732	All right.
490272	493095	But I did get to play a lot with the Wii, and I'll pretty much start.
493115	497679	I mean, the first thing that I'll talk about here is probably the tech demos and some of the stuff that they're doing.
497739	498359	Okay, wait.
498439	499460	I'm going to help you here.
499560	501121	What was the first thing you went for?
501221	503303	Because you get in there, there's, what, 20 games in there.
504464	506286	You must have went right to something.
506306	506706	Okay.
507458	508098	We Orchestra.
508679	510620	Why did you pick We Orchestra?
510640	514682	Because it was the first one in the little thing to go in.
515062	518264	Were you just like, you're going to go in there like, I'm going to go around each and every one of these things?
518284	519404	It wasn't quite set up like that.
519424	523386	You had to get past this row of little mini living rooms, and then you got to the demo.
523406	525468	Well, see, and We Orchestra was in the living room.
526008	529210	It was like the least packed living room.
529330	530890	And I'm a music person, so...
532531	538235	I did it, and for those since, you know, you guys don't, you know, here on Orange Songs Radio, you guys don't really know some of my background.
538536	540277	I actually play symphonic percussion.
540737	543139	I am in two wind symphonies in the Atlanta area.
543699	546922	So I know how to conduct, because I have conducted before.
547702	553847	But what I was trying to see is, I know Dance Dance Revolution is not a dancing simulator.
553867	555909	You can't learn how to play guitar with Guitar Hero.
556429	558591	You can't conduct with Wii Orchestra.
559151	560232	It was very hard.
560252	563795	I was trying to use real conducting techniques and it's not that good yet.
563835	565897	You do have to treat it like a video game.
565937	568639	It's sometimes too sensitive, sometimes not sensitive enough.
569100	569960	But it was interesting.
570501	572643	What did you learn about the Wii controller today?
576689	579090	I learned the tech specs of it.
579110	581531	What are the tech specs of the Wiimote?
581711	584733	I don't care what... I'm calling this the Wiimote.
586053	587614	DarkSakura says Wiicon.
588274	589094	I say Wiimote.
589535	593856	So we're just always going to have this back and forth until Miyamoto can clear this up.
594237	597858	By the way, Funnydale Final Furlong was right at the very end of the booth.
597918	598238	Anyway...
601124	601705	Here's the thing.
602385	605828	Nintendo kept saying, making you think that it was kind of like a 3D mouse.
605868	607749	It would be able to tell where it was in 3D space.
607789	611212	You'd be able to put the controller on the floor and know it was on the floor.
611372	612132	No, it's not like that.
612753	618917	It's accelerometers and an IR infrared blaster, just like your TV's remote control.
619858	623181	So a lot of things, like people were saying, oh, it's so sensitive.
623581	625223	You know, when they were playing like the Duck Hunt thing.
625423	631128	That's because it's an IR, and the receiver is that little sensor that has double-stick tape that you put under your TV.
631448	634791	So the farther away you are from your TV, the less sensitive it is.
634871	636352	That's how you fix the sensitivity.
636953	640876	But since we were two feet away from the screen, it was very, very, very sensitive.
640916	644198	Well, also the thing is they're going to be adjusting the sensitivity in there.
644218	650241	You're going to have an adjustment very similar to like calibrating a mouse sensitivity.
650301	655424	Right, but I mean, what I'm saying is we could step back another foot and that would adjust the sensitivity as well.
655825	657005	And they're not telling people that.
657025	659647	They're trying to say it's some revolutionary technology.
660047	661308	Tell me more about the sensor.
661348	662989	You said it's just a little piece of tape?
663009	664570	Yeah, it's a little piece.
664590	665550	Well, no, it's not really tape.
665610	666691	It's got double stick tape.
666731	668452	That's how it attaches to your TV.
668512	669753	But you can put it on a table.
670753	675355	As long, you know, because some people were asking, you know, okay, I have a projector and I project on my wall.
676055	680176	And they're like, well, you know, you should mount it to the wall underneath where your screen is or something.
680796	681036	Huh.
681156	681917	And stuff.
682057	683897	But it's not used in every game.
684297	689639	Only in the games that actually use the IR sensor, which Excite Truck is not one of.
