start	end	text
32810	34292	Good evening, everybody.
34352	38917	We are live at the E3 Outpost in West Los Angeles.
39298	44204	So if the sound sounds a little bit different tonight, that's because we're recording live here at the Arena Interactive Lounge.
44264	45185	My name is Rob Roberts.
45205	46427	You might know me as Sky.
46807	49871	Joining me as always, say hello to DarkSakura, Jamie Summers.
50031	50451	Hi.
50632	51112	How you doing?
51752	52333	Tired.
52433	52693	Yeah?
53454	55095	I'm excited and tired at the same time.
55135	56176	It's a very bizarre feeling.
56296	58098	Say hello as well to Tech Master Loki.
58278	58538	Hello.
58998	59679	How you doing, Loki?
60940	61641	I'm doing good.
62001	62341	All right.
62762	66164	Also joining us tonight, we have some special guests, or a special guest, I should say.
66224	67606	Say hello to Bobby.
67626	67726	Bobby.
68306	69027	Hey guys.
69047	69667	Hey Bobby.
69967	71048	This is a thrill for me.
71148	72930	It's about time we got you on our show.
73630	75632	It just took E3 to finally get you here.
75672	76913	That's alright.
77493	81516	Also we want to say a shout out to Mr. Lawrence Young who's manning the controls tonight.
81556	83497	We appreciate his help in making the show work.
84318	85939	Alright, let's get right into it.
85979	87000	Let's not waste time.
87240	88521	Let's talk about E3.
88781	93505	I thought we could do, let's go down the line and talk about three interesting things we saw at E3 today.
93865	94626	Jamie, give us one.
95618	98560	I would have to say Zelda Twilight Princess.
99381	100562	Getting to play that was pretty fun.
100822	102904	Now, did you play the Zelda Twilight Princess on the Wii?
103084	103624	Wii!
103824	104425	The Wii!
104445	106686	I played on the Wii, and I went Wii.
106726	108788	Did Nintendo have a huge-ass line for the Wii today?
109308	113592	Not if you made it in there in the early... We got in there at the tail end of the early media hours.
113792	113972	Right.
113992	116554	So we just sort of... Once we got in line, it was pretty cool.
116594	119976	I did get to hear... I never remember his name.
120016	122038	I know his name's Charles, the guy who's Mario's voice.
122358	122938	Oh, right, yeah.
122998	126980	Sing the old Mario theme song from the Super Mario Brothers Super Show.
127020	127641	That's awesome.
128461	132263	The guys in front of us got him to, the guys from the Mushroom Kingdom, got him to sing it.
132843	133803	So I have it on tape.
134003	134564	Sweet.
135004	135324	That's awesome.
135344	135844	It was pretty fun.
135864	141127	So tell us about how is Zelda on the Wii different from what we saw last year with the GameCube?
141687	144449	Well, first of all, I didn't get to see it on the GameCube, so I don't know.
