start	end	text
0	19320	Welcome to the Giggling Lesbian Gaming Show, with your hosts, Chris and Megsy.
19320	21320	Man, she gotta be a lesbian.
21320	23800	She is not a lesbian.
23800	25920	All I know is that I can play.
25920	34160	Gather up your pillows, make up, ice cream sundaes, and Xboxes, it's time for the show
34160	35160	to begin.
35160	42160	Hi, and welcome to the Giggling Lesbian Game Show.
42160	47760	How is everybody out there in radio land tonight?
47760	53680	I'm your host, the ever always lesbian Chris.
53680	59360	And with me forever, of course, is my beautiful, wonderful, lovey-dovey, little, wonderful
59360	63600	girlfriend, Megsy, with the size C cup.
63600	65640	Say hi, baby.
65640	66640	Hi, everyone.
66640	75940	And of course, always with me is my cream-filled Jamie, how is my sweetheart?
75940	77880	I'm an angst cookie, as usual.
77880	78880	Anx cookie?
78880	80880	Not any good clit-loving, honey?
80880	82880	No, just a stupid man.
82880	83880	I'm sorry.
83880	84880	Boys are bad.
84880	85880	Sad face.
85880	86880	Sad face.
86880	93880	And of course, always we have to introduce our special guest, Roberta Roberts.
93880	95880	Sweetheart, give me a kiss.
95880	97880	Hi, baby.
97880	98880	How are you doing?
98880	101880	My gosh, did your breasts get bigger?
101880	103880	You are so hot, honey.
103880	104880	I love you.
104880	107880	They have gotten a little bit bigger.
107880	110880	I've been using this cream on them, but I digress.
110880	112880	Are you okay?
112880	113880	Gosh, Roberta.
113880	114880	Dead or alive.
114880	115880	Dead or alive.
115880	116880	Dead or alive.
116880	117880	I know.
117880	118880	Boobies.
118880	119880	Boobies.
119880	125880	But first, we have to talk about our gaming week, sweetheart.
125880	128880	So first of all, I'll go first.
128880	134880	My gaming week was, of course, I had to be playing WoW, and I only play my Blood Elf because
134880	137880	she does the sexy dance when I do this thing with her.
137880	139880	You do the dance thing.
139880	141880	I played a guy Blood Elf.
141880	143880	Those guys are so gay.
143880	145880	I mean, really.
145880	148880	If you're playing a guy Blood Elf, of course you're doing it for the make out.
148880	152880	Not that there's anything wrong with being gay.
152880	153880	Of course not.
153880	154880	Of course not.
154880	157880	It's only wrong when you're a man.
157880	158880	Of course.
158880	161880	Because penises are gross.
161880	162880	Oh, no.
162880	164880	Roberta, be nice.
164880	166880	You've got some gay listeners.
166880	167880	I'm sorry.
167880	168880	I'm sorry.
168880	169880	Gosh.
169880	170880	I'm sorry about that.
170880	172880	The penis is okay if you're a boy.
172880	174880	So honey, sweetheart, baby.
174880	176880	Honey, how was your gaming week?
176880	178880	My gaming week was fantastic.
178880	184880	I played Dead or Alive 4, and it was amazing.
184880	187880	It has really good graphics.
187880	188880	Please.
188880	189880	Please.
189880	194880	Jamie, Creamy, how was your baby?
194880	198880	I was playing some Marvel Ultimate Alliance because it's all about Ms. Marvel.
198880	199880	Ms. Marvel.
199880	200880	Wonder Woman.
200880	201880	Wonder Woman.
201880	203880	That's DC, you bitch.
203880	205880	Oh, I'm sorry.
205880	208880	And Spider Woman because of her...
208880	209880	It's okay, Roberta.
209880	210880	It's okay, baby.
210880	212880	Jamie makes me cry.
212880	214880	She is okay.
214880	217880	Touch my booby.
217880	221880	You need to wait until after the radio show.
221880	223880	Jamie, I'm sorry.
223880	225880	That's it.
225880	226880	I'm...
226880	227880	Come on, now.
227880	228880	Come on.
228880	231880	Jamie, I love you.
231880	237880	Let's go bake a pie and make it better.
237880	239880	Doesn't that sound like fun?
239880	242880	You're a whore.
242880	247880	Just because I slept with your ex-girlfriend doesn't make me a whore.
247880	249880	I can't make you a slut.
249880	250880	My God.
250880	252880	Roberta, you sound like Kersey Alley.
252880	253880	I'm sorry.
253880	255880	And all this talk with pies and stuff.
255880	258880	What the hell am I doing here anyways, by the way?
258880	265880	Look, I had to bring my ex-girlfriend Matilda on tonight and I realized she sounds like
265880	271880	a scary bull dyke man, but she eats really good pussy.
271880	273880	I don't know that, Jamie.
273880	274880	Not as good as me.
274880	275880	Not as good as my girlfriend.
275880	279880	And we must say that butch dykes are always welcome on this show.
279880	284880	By the way, how was your gaming week, Roberta?
284880	288880	Well, my gaming week was a lot of fun.
288880	298880	I played Teenage Mutant Ninja Turtles on Xbox Live because I wanted to play a game with
298880	301880	a character whose month it is.
301880	302880	It's April.
302880	303880	It's April.
303880	304880	Get it?
304880	305880	Get it?
305880	306880	It was fun.
306880	308880	It was a lot of fun.
308880	314880	I played on Xbox Live, but some stupid boy called me a fag.
314880	316880	I don't like Xbox Live.
316880	318880	They're mean on Xbox Live, aren't they?
318880	320880	They just don't understand girls.
320880	323880	I'm going to go join PMS Clan.
323880	324880	I'm so upset.
324880	328880	They do do a lot of good work, that PMS Clan.
328880	331880	And April looked hot in that jumpsuit.
331880	334880	Ex-girlfriend, how was your gaming week?
334880	341880	Yes, when I'm totally not riding motorcycles or wearing flannel, I was playing lots of
341880	346880	Earth Defense Force 2017 because that game is fucking awesome.
346880	355880	Yeah, that's pretty much all I was playing this week because I was too busy lezzing out.
355880	357880	That was great.
357880	364880	Does anyone else have anything to contribute to their gaming week?
364880	365880	No.
365880	366880	Okay.
366880	375880	So we have to get to our first story, and the first story is Uno has sold one million
375880	377880	copies on Xbox Live Arcade.
377880	378880	Yay!
378880	381880	A million is a lot.
381880	384880	A million is really a lot, isn't it?
384880	386880	It's a bit a lot.
386880	389880	It's just below a trillion.
389880	395880	I didn't even know that there were a million people on Xbox Live because when I tried to
395880	402880	play Ninja Turtles on Xbox Live, I had to wait five minutes for that stupid boy to join.
402880	403880	Boys are so gross.
403880	405880	Boys are gross.
405880	407880	Boys are gross.
407880	408880	Stupid boys.
408880	411880	But yes, Uno has sold one million copies.
411880	419880	Now, I personally am not an Uno player, but I know some people are out there, and I just
419880	421880	don't work well with cards really.
421880	423880	Does anybody have an opinion about this?
423880	430880	I think that this is a travesty because Ms. Pac-Man, bless her heart, the ultimate diva
430880	439880	in gaming, is also available on Xbox Live, and why hasn't she sold a million copies?
439880	446880	I think all of us lesbians need to band together and make sure that we support Ms. Thing, Ms.
446880	452880	Pac-Man herself, and purchase it because she deserves to sell one billion copies.
452880	453880	Isn't that right, Matilda?
453880	455880	That is completely wrong.
455880	461880	I mean, after all, Ms. Pac-Man is horrible for, you know, cam-whoring yourself out.
461880	463880	What is wrong with you?
463880	467880	Why do you have to take out our relationship on this show?
467880	470880	We had something beautiful, Matilda.
470880	471880	Now, girls.
471880	472880	You're breaking my heart.
472880	475880	Girls, girls, let's stay on topic.
475880	477880	Stay on topic.
477880	480880	We all know what happens when you move in together.
