start	end	text
14007	19331	Tonight, September 9th, 2007, Laird's Hot Coffee Mode is found, but it's not what you think.
19851	25596	HD DVD gets a price cut in Europe, and a third-party company has something to say about PlayStation's marketing.
32267	36309	Hello everybody out there on the internet and welcome to another week of Orange Lounge Radio.
36349	45252	We are that podcast on the internet dedicated to video games, video gaming, gamer lifestyle and gamer culture.
45712	47793	That'll teach me to say so damn much during the introduction.
48133	52175	That voice you hear taunting behind me is the one and only DarkSakura, Jamie Summers.
52475	52775	Hi.
53255	56957	And my name is Rob Roberts and joining me as well, say hello to Techmaster Loki.
57157	57677	Hello.
57997	58918	How are you doing, Jamie?
58938	59578	How are you doing tonight?
60492	61252	I have a soda.
61513	62273	You has a soda?
62293	63434	I has a soda.
63534	64134	Is it delicious?
64815	65255	Not really.
65575	65935	Not really?
66195	67296	You're very quiet tonight.
67316	68557	You seem kind of timid.
69057	69697	Is everything okay?
70818	71899	I just ate.
72279	72739	You just ate?
72759	74080	So you're very well satiated?
74100	79123	I was getting into uber bitch mode because I didn't eat and then I ate and I ate too much.
79870	87754	Now I should say something before we get to the rest of the show is that we are taking new pictures tonight, which I'm hoping you guys will see the results of in our album.
88334	89155	I can't talk tonight.
89195	89915	What the hell's wrong with me?
90195	95198	In our album artwork that you'll be seeing for episode 250, at least a little later on.
96879	98079	And Jamie got to eat.
99300	100260	Weren't you eating a Pikachu?
100520	100901	Or was that?
101121	103062	No, you were squishing a Pikachu, pretending to eat a Pikachu.
103142	104603	I ate my cell phone.
104983	105843	You ate your cell phone.
105963	106583	Was it delicious?
106944	107384	Not really.
107444	108665	It tasted like Samsung.
109065	109505	All right.
110140	110480	Wonderful.
111021	111261	All right.
111822	114304	Anyhow, also joining us tonight, say hello to Tech Master Loki.
115224	116566	I've already said hello, but yes.
116726	117066	Oh, yes.
117266	117486	Hi.
117927	118487	Well, hi again.
118567	118928	How are you?
119328	119868	I'm doing fine.
120249	120529	Awesome.
120989	121189	All right.
121270	126114	And also say hello to our chat room, which is available at chat.orangeloungeradio.com.
126674	131218	And you can also say hello to Gay Eddie, who's here tonight joining us on the show.
131959	133120	Yeah, that'd be Casper the Gay.
133140	133700	Thank you very much.
133800	135542	You just always call me Gay Eddie because you're a douche.
136698	138259	I don't know what else to call you, I'm sorry.
