start	end	text
772	19361	Orange Lounge Radio is taped live on Sunday nights and released to our podcast stream twice weekly To listen to the first half of this episode visit www.orangeloungeradio.com for links to websites with listings of past episodes Now the conclusion of this week's episode of Orange Lounge Radio
20789	22911	Orange Lounge Radio Orange Lounge Radio
36823	40684	We asked a trivia question, and the trivia question was, which one of these games is this music from?
63962	66265	Nightmare on Elm Street Halloween Friday the 13th Friday the 13th
81616	87480	You're not going to be picked tonight, but you will get a chance to play in the chat room, so all hope is not lost.
87520	93904	You may still win either a copy of Rez HD, or if you don't have an Xbox, one of our other prizes from our new prize table I'll talk about a little more later.
94925	97987	But if you did say Friday the 13th, you might want to stay by your phone.
99428	101189	But in the meantime, we're going to get back into some gaming news.
101269	101630	Right, Loki?
102350	102610	Yes.
103551	104812	Fooling at Home.
105152	110856	It's been available on PCs for a long time, and just not really that recently, but
111388	112488	on the PS3 as well.
113289	119371	Now they have hit 1 million users actually, at least on the PlayStation 3.
119531	121432	So that's pretty awesome.
122252	128815	1 million consoles contributing to a cure for cancer or God knows what else they're doing.
129375	130216	All in the name of science.
130236	136398	Calculating votes for the 2008 primaries or who knows.
137479	139219	Making a better caffeine molecule.
139460	140540	Better caffeine molecule.
141223	142466	That is something they need to work on.
142646	144009	Finishing Duke Nukem Forever.
144851	146495	That is also something they need to get to working on.
150041	153184	Also mentioning the PlayStation 3, which Folding at Home appears on.
153224	157827	There's a brand new Japanese PlayStation 3 that's going to be coming out very soon.
158187	161770	It's going to come with a 40GB hard drive and a 6-axis wireless controller.
162110	164512	It is the Satin Silver PlayStation 3.
164732	166033	It comes out on March 6th.
166434	169896	It will cost you 39,980 yen.
170296	171677	If you want to translate that into U.S.
171718	173179	dollars, that's 376 U.S.
173599	173959	dollars.
174720	177001	So it's the Satin Silver PlayStation 3, so...
178268	181230	I don't know, of course, everybody in Japan loves different colors
197882	199783	Alright, well, that's really all there is.
200343	201684	PlayStation 3 in a new color.
201744	203385	How this is news, I don't know, but it is.
203445	203985	So there you have it.
204966	218192	According to EGM's Quarterman rumor column, in their March issue, they talk about how that God of War Chain of Olympus, or Chains of Olympus, will be heading to PlayStation 2.
218512	225596	Of course, this is a rumor, but seeing their trend so far with, I don't know, Twisted Metal head-on, Ratchet and Clank Size Matters,
226403	227104	Stuff like that.
227464	231368	It's not going to be too surprising if they port the PSP game to the PlayStation 2.
232048	237133	And hell, it will sell a lot of copies, so not so surprising.
237914	239015	Oh, and Silent Hill Origins.
239035	241678	That was another one that was ported from PSP.
243359	249966	In other Sony news, Flow will be making its way to the PlayStation Portable, and it comes out on March 6th.
250780	253043	The game is coming out from Super Villain Studios.
254765	259270	I don't know why you would want to get this when it's probably going to cost you more than it did on PlayStation 3.
260285	260765	How much is it?
261646	261906	I don't know.
261926	262806	It doesn't have a price yet.
263146	267208	Oh, no, you're going to get it through the PlayStation Store, so I guess it is the same relative price.
267448	267928	Oh, then never mind.
268108	271089	But what a pain in the ass to buy something on the store and then transfer it.
271129	274590	I haven't actually touched the PlayStation Portable Store yet.
