start	end	text
0	15000	Welcome back to Orange Lounge Radio on this Sunday evening, March the 2nd of 2008, where we're taping episode number 269 of Orange Lounge Radio live, as we do here every Sunday night, at OrangeLoungeRadio.com.
15000	23000	In Part A, you missed a whole bunch of Sony news. We talked about Metal Gear Solid 4, some of the new bundles that are coming out, the departure of Phil Harrison, just a lot of that.
23000	40000	Now we're going to get into some Nintendo news in this segment. Yes, Logan? Yes. Now, of course, like most things, Nintendo hasn't made an official announcement on the Mario Kart Wii Date, but that doesn't mean that retailers haven't figured out when it's coming out.
40000	59000	Including such wonderful websites as GameFly, GameStop, Circuit City, and I think a few others, have it listed as April 27th, that's two days before Grand Theft Auto 4, and that would also be a Sunday.
59000	82000	Is this going to happen or not? Who knows? Do you think they're doing that to specifically get the jump on Grand Theft Auto 4, or is it kind of one of those, ah, I think they're going to be out of, you know, they need to press them, they need to have enough time to press those discs.
82000	98000	And also, the other thing that's really going to hamper that game is the production of those two fucking wheels. It's absolutely retarded, but if you were a betting man, 27 would be a very good bet.
98000	112000	Very good odds on that bet, alright. You know, maybe one thing that the game has been, because it was originally supposed to come out late last year, right? Wasn't it originally a Christmas release that got pushed back a little bit? Something like that, our first quarter, I don't know.
112000	123000	Well, anyhow, perhaps one reason they pushed it back is because, guess what guys, Mario Kart Wii, it looks like Nintendo has finally caught on, Mario Kart Wii is going to have online chat in it.
123000	135000	It's about time, I mean, Xbox has been doing this for years, right? Oh, I see. Mario Kart Wii will be supporting online text chat.
135000	146000	That's right, you'll be able to send text messages to your friends over Mario Kart Wii, provided that they are on your friends list, you have their friend codes and all that stuff, you will be able to text.
146000	155000	And you can do it before matches, it's assumed you can do it after matches. Not quite. Well, how does that work?
155000	169000	You see, it's not like you would think at an IRC chat room or something like that. You can send them little pre-determined messages, like, I'm sad, or good game, and stuff like that.
169000	172000	Oh my god, for real? For real.
172000	179000	Yeah, it's not, like, as cool as you would think. Is there a way, I think, of trying to control the game right now?
