start	end	text
589	5151	Orange Lounge Radio is an Orange Lounge production.
5631	14295	To join us for a live show, visit www.allgames.com Sunday nights at 6pm Pacific Time.
14775	26379	The views and opinions expressed on Orange Lounge Radio do not necessarily reflect those of the entire staff of Orange Lounge Radio or AllGames.com, but we're probably right anyway.
26960	27780	See you next week!
50396	59564	And welcome to Orange Lounge Radio, the afterbirth, where we always start off with a ritual saving of Part B, ever since the Part B to that one episode a couple weeks ago was lost forever.
60265	62747	Tonight on the afterbirth, sadly, I believe Jamie is leaving us.
62787	65349	She has another commitment she's got to get to early in the morning.
65890	66510	It's called work.
66670	69993	She did will us a cage match pick, so we'll be taking care of that for her.
71955	74157	But first, we have another edition of...
77711	79293	Secret Club Secret Club Secret Club
94232	104398	Meaning that if you hear it here on this program, great, you're in the know, but you don't go posting about it to websites saying, hey, I heard it on OrangeLawnTrader.com or I heard it on AllAllGames.com because we're at this point.
104618	110261	We used to be that way where we were like, hey, you know, it makes our EP-ness bigger when OLR brings you the exclusive.
110541	113683	But then we got the smackdown that one time and it's just kind of like, you know what, fuck it.
113943	116505	We're just going to start Secret Club and start giving out secrets.
117285	118386	KONAMI TITLES
139184	150654	And this isn't a big surprise with each year seeing a new release of certain games that we'd be seeing an announcement for something that hasn't quite been announced yet.
152416	155879	Brand new DDR game coming to the PlayStation 2.
158181	160843	Although right now the title has got me a little confused.
161724	164306	DDRX or Dance Dance Revolution X.
165447	166248	DJ Ranma S, Actdeft, Drew, Carameldansen
178674	179955	Is it their 10th release, maybe?
180775	181516	I don't think so.
181536	188702	If you add all the games together from PlayStation 1... No, because Extreme was the 8th one, and then there would have been... Extreme 2, Supernova, and Supernova 2.
188842	189102	Yeah.
189382	189883	Oh, alright.
190383	190964	So, I don't know.
191524	194126	Maybe they just ran out of funky titles for it, I guess.
194146	194467	Who knows?
194847	197009	And then Hottest Part 2, of course, because, you know...
200010	202232	AJ Mix says X is for 10th anniversary.
202412	203132	That's a good thought.
203933	206354	Because 98 was the first year of DDR, hence the song.
206734	207235	Maybe.
207415	207995	There you go.
208916	209796	Props to you, AJ.
211357	213438	And then Lost in Blue coming to the Wii as well.
214859	215940	Lost in Blue on the Wii?
216400	218381	So I can be bored out of my mind on the Wii too?
218481	218781	Yes.
221078	223739	and then totally on a different topic here.
224439	234944	Got some more news talking about the whole... Remember a while back we were talking about the whole Gibson suing Activision and Harmonix for Guitar Hero?
235424	240866	Well, it's interesting because people were speculating, oh, it's probably over money or something like that.
242227	245368	I think this might clear it up and you'd be surprised.
246448	249570	This is actually... This was an email that we got from...
251496	260068	As you may know, Activision is involved in litigation with Gibson Guitar Corporation relating to the sales of Guitar Hero games.
260128	268779	In connection with such, Gibson has asserted to Activision that Gibson has the exclusive right to sell Guitar Hero games to music specialty stores.
270560	290877	Such as Guitar Center stores Although Activision does not agree with Gibson on this issue Until this issue is resolved with Gibson, Activision is requesting that its distributors refrain from selling Guitar Hero games to any music specialty store So that sounds like it's over money After all, and not some sort of patent infringement
291860	294282	Well, I think we all kind of guessed that, to be honest.
295043	297285	I hate to say it that way, but I think we all kind of did.
297305	302389	But, I mean, is this really a big surprise, brand new DDR game coming out for the PlayStation 2 this year?
302429	304291	I mean, what, there's like one every year anyways?
305252	306033	I don't know.
306433	306573	Yeah.
306713	308215	If that's a surprise to you, then...
309156	309516	I don't know.
330407	348933	but typically those games though, if I remember last year, Supernova 2 and Hottest Party came out in September and then the Xbox 360 one came out in November so it might just not be announced yet, that may be too far ahead but I don't know how well they've done
351394	353315	All right, now with that said, I've got to find a cage match to pick.
353555	354895	All right, yeah, you better look for that.
355536	358497	Well, thank you, everybody, for participating in another week of Secret Class.
358517	364159	Yes, I like sharing this stuff with you guys, but I like having a job, too, so please keep it that way.
364479	366380	All right, so we'll see what happens.
368581	370942	All right, I guess at this point we do get into the cage.
372372	375773	Thinking I might have one more thing for Secret Club tonight.
376173	378393	You should play this thing that we posted.
378453	382314	It's that Separated at Birth, We Fit Balance Board and Aperture Science Turret.
382634	384955	Oh yeah, I didn't want to do it because it was audio.
385515	386315	Let me see if I can get that.
386395	387516	Let me go to the forums real quick.
388136	388656	It was funny.
394077	396598	After birth part of the show, I don't have to be as professional.
396918	397858	Where was it here?
398478	400639	Here's the show role in the Super Secret Forum.
400659	401639	Let's see, it was We...
403709	403949	Deploying.
403969	406350	Target lost.
406590	408311	Are you still there?
408331	408751	Hibernating.
455778	458959	Sounds like just another stupid Wii voice to me.
460300	460640	I don't know.
460680	462081	I don't know if I see the similarities.
464264	464845	But that's that.
467348	470071	Okay, I can give you one more thing for Secret Club.
472483	478165	Super Dodgeball and Virtual Console at some point in the not too distant future.
478765	479745	I wouldn't see that.
479825	480185	Why not?
480265	483346	Especially with River City Ransom just coming out.
483566	488628	That and Super Dodgeball Brawlers, I think that's what it was called.
488768	491208	Super Dodgeball Brawlers or something like that.
491248	493489	That was coming to DS at the end of next month.
494529	494909	Makes sense.
495249	499310	I'm just waiting for that Wii Fit thing in that little high-pitched voice to go, Measuring!
499350	499851	Measuring!
500491	500951	Measuring!
501532	501992	Measuring.
502634	503335	Still measuring.
