start	end	text
0	2000	you
18480	21800	Orange Lounge radio will be closing after April 12th
22080	27060	Thanks to all who have supported us in our five and a half years of broadcasting on April 13th
27060	29960	Please join us in our future projects at our new home
36000	38960	They work in the music business march to the corporate beat
39160	45720	But after hours they go online and make radio the way they feel it should be these are DJs on live
46160	50280	365 VIP members have part of their fees kicked back to these broadcasters
50280	57680	So when you listen to these guys you tell them they're right. It's a revolution join today at live 365 comm slash VIP
57680	81380	Y365
111380	116380	Wherever you are you're gonna see me fly
119380	125380	Across the midnight sky
127380	130380	Where were you to hold my hand
130380	133380	To the things that we had planned
133380	136380	Yes I need you by my side
136380	138380	When things go crazy
138380	141380	I just need to know you here
141380	144380	Guarantee that you'll be there
144380	147380	When I wake up in the night
147380	150380	Will you be my guiding light
150380	153380	I don't care how far I'll take a place
153380	155380	Tonight
155380	160380	Tell me where you are and everything's gonna be alright
160380	163380	Like a shooting star
163380	168380	Across the midnight sky
168380	171380	Just to be with you tonight
171380	174380	Like a shooting star
174380	179380	Across the midnight sky
179380	195380	Just to be with you tonight
201380	204380	To a crazy friend
204380	208380	We wrote this song specially for you
208380	210380	It's for everything you do
210380	212380	You are the best
212380	214380	Now get undressed
214380	216380	You are the cutest
216380	217380	That's why far
217380	219380	You took a risk
219380	221380	And brought our disses
221380	223380	You play it loudly in your car
223380	225380	You tell your friends
225380	227380	What about our band
227380	228380	We're intimate
228380	229380	This is what you are
229380	242380	F-U-C-E-R
248380	251380	When we play a show
251380	252380	It's good to know
252380	255380	You are in the crowd
255380	257380	We hear you scream so loud
257380	259380	You like to dance
259380	261380	And take a chance
261380	264380	So throw your undies on the stage
264380	265380	No wait
265380	267380	You're underage
267380	270380	You send us e-mail everyday
270380	272380	Sharp and touchy
272380	273380	You make your freak
273380	274380	So uber chic
274380	275380	You know what they're for
275380	287380	F-U-C-E-R
287380	288380	You're super sperm
288380	290380	And it's what you are
290380	291380	So super sperm
291380	293380	You just dance by far
293380	294380	You're super sperm
294380	296380	And it's what you are
296380	297380	So super sperm
297380	308380	So super sperm
308380	310380	To our future fans
310380	312380	And for our fans
312380	314380	Do you want to join our club?
314380	316380	We're on the road
316380	319380	It's super sperm
319380	321380	We'll just ask for one thing more
321380	323380	Come see our tour
323380	325380	You will agree
325380	327380	Let's make a long, long, long will
327380	332380	F-U-C-E-R
332380	333380	You're super sperm
333380	335380	And it's what you are
335380	336380	So super sperm
336380	338380	You just dance by far
338380	339380	This is what you are
339380	347380	F-U-C-E-R
347380	349380	You're super sperm
349380	351380	And it's what you are
351380	352380	You know it oh what you are
352380	358220	S U T E R
358180	360960	You're super sprung, that is what you are
360960	364400	So super sprung, Jesus plans by far
364400	367460	You're super sprung, that is what you are
367460	370820	So super sprung, Jesus plans by far
370820	373840	You're super sprung, that is what you are
373840	377040	So super sprung, Jesus plans by far
377040	380260	You're super sprung, that is what you are
380260	382760	So keep this ring and chain, just dance that song
382760	385760	I know, I know, I know, I know
390760	393760	Hey, you're listening to Orange Lounge Radio.
393760	394760	It is the end, guys.
394760	398760	30 minutes before we officially pull the plug on Orange Lounge Radio
398760	401760	and five and a half years of memories on Live 365.
401760	403760	But no tears, no crying, dammit.
403760	405760	There's no crying in internet radio
405760	409260	because the future begins at AllGames.com this Sunday.
409260	411260	The new chapter of Orange Lounge Radio.
411260	413260	But we take a look back at some of the important things
413260	414760	that have happened over the past five years.
414760	416260	And you gotta love this guy.
416260	418760	He was one of the first very accessible people on it.
418760	421260	Oh, actually, we're gonna take a quick little detour here.
421260	422760	Somebody's calling me a little early here.
422760	424760	We're gonna go Skype line.
424760	426760	Hello, are you there?
426760	427760	I'm here.
427760	429760	Hello, how are you, Jamie?
430760	431760	Tired.
431760	433760	Been all day at IKEA.
433760	434760	How was IKEA?
434760	436760	What were you going shopping for at IKEA?
436760	438260	It was Swedish.
438260	439760	It was very Swedish.
439760	441760	Were you going for meatballs or what?
441760	443260	We actually had meatballs.
443260	446760	And then I saw the herring and decided that it was disgusting.
447760	449760	And I bought shelves.
449760	452760	What are you gonna be organizing later?
454260	455760	The computer room.
455760	456760	Fun.
456760	458760	It's a wreck.
459760	460760	Sounds like fun.
460760	461760	It's a freaking wreck.
461760	462760	A freaking wreck.
462760	464760	Well, hey, we're at the end, Jamie.
464760	467760	This is 30 minutes before we pull the plug on the station.
467760	469260	And it's all over.
469260	470760	Are you sad?
470760	471760	No.
471760	472760	No?
474760	476760	Me neither, really.
476760	478760	We have a few people joining us.
478760	480760	The chat is filled up a little bit.
480760	481760	Chat.orangelaundry.com.
481760	483760	We have a handful of people here.
483760	485760	This is really the loyalist we have here tonight.
485760	488760	The people that have been with us through thick and thin, through five and a half years.
