start	end	text
0	1000	All right
1000	5740	And we're not gonna do much of an after-birth tonight because the show went on so long or having stream problems
5740	9000	And and I don't I think I have a cage match pick from Jamie
9000	12620	But I'm not sure so we're just gonna say screw it and kind of move quickly tonight
12620	14620	But Victoria did walk back in studio
14800	19120	So I wanted to give her a chance to say any last things she wants to say to the listeners
19600	21160	It was fun
21160	23160	Being on the show I Rob's been
23160	29840	Trying to get me to come on the show for a you know be on the show for a while and
31560	35840	Yeah, it was just it was fun. I've never really never really tuned in to listen
36440	42440	How nerdy is this seriously it is like your nerd factor? You just got deeper into the nerd forest my friend
42440	43920	Do you think we'll have a?
43920	50040	Camera next yes, we should have a camera next show we got sent one from one of our listeners. Thank you. Thank you one law
50040	53320	and Akuma JP I believe was one to send it and
54080	58680	Dark Sakura has it though. She's gonna bring it with her next week. I'm hoping I mean they're gonna leave us
59000	63160	like I said, I'm checking out of the game scratch this week, and they're leaving us a
63880	65780	it's a
65780	67000	presentation
67000	72020	Deck it's basically the DJ deck, but I think it's missing all the internals out of it
72160	75560	So you know cuz they wouldn't give me the actual deck that would be kind of
75560	83440	a generous of them no, but yeah, so I don't know if I'm able to bring that in but it may if I can
83960	85960	I'll be sweet. They don't care
86120	92600	All right, so yeah, it's just been it was fun. I did kind of get a headache from all the nerdiness. I'm sorry
94120	99200	But you know I love you, and this is fun. I've you know I got to hang out with Irene and Matt some more
99200	106160	So yeah, thanks for letting me be on your show muchas gracias, and you know all that
106160	108700	We've done this you can't believe we've done this almost seven years now
108700	113880	You have the life very first night we ever did this do you know how many people listened how many twelve nice?
114400	116960	Twelve people and honestly it's not it's we've probably
116960	130640	You about seventy that listen live it's more than twelve yeah, but I mean now
130640	133560	Thanks to the podcast we have hundreds or two weeks ago
133560	137800	We would have done it tonight you can be anybody you want, but two weeks ago
137800	141720	We did video game match game, and you missed it. You don't have to really know anything about video game
141720	144920	So people say random shit, and I know you love match game
144920	149560	I fucking love matching Rob and I are gonna be Brett Summers and Charles Nelson Riley for Halloween
149560	151560	Yeah, that's what your Halloween costume this year
152520	155920	Alright, so there's no cage match tonight. I'm sorry to say we got a wrap-up
155920	159680	I mean it's already almost 10 o'clock. We've been on air for hours the podcast gonna be huge this week
159680	164280	It's over three hours. I don't think we've had one clock past three hours in a long time, but we had a fun time
164400	170320	Thank you guys very much. I do have a fortune cookie message of the day for you all so here. It is
170320	174540	Does it say go fuck yourself? No here's the fortune cookie message of the day
201080	203880	That's it that's it for my fortune key message of the day I
204640	209840	Love the syphilis Ollie show it's awesome, so there you have it. Did you see Romeo and Michelle you wanted me to do the Romeo?
209840	211160	Michelle
211160	216440	All right, we'll do two fortune key. We'll do two fortune cookie messages today. Just because I love you that much
217160	222060	I love you that much. No I posted this in my life journal, and I said watching Romeo Michelle yesterday
222060	231160	Yes, I said, I don't know why but this clip just seems to sum up my life, so here it is
234260	235980	Hi
235980	241820	Hey great suit is that an Armani yes, yes, it is I thought so
242380	245300	So what do you do? I'm a suit salesman
245300	251980	I cut my foot before my shoes filling up with blood
256300	261140	Be funny I know you have you have to you have to actually watch it because of the limp she has as she walks away
261140	263140	It's kind of crappy
263140	268980	So say everybody so that's it. We're pulling the plug. We're done. Bye guys right here
269020	273820	So we'll see you next week same bat time same bat channel Jamie will be back. We'll talk more
273820	277440	I know the friend of mine wants to come on the show who so we'll see bat
278100	281220	So we'll see the one the one that was here for New Year's. Oh
282100	286700	So he wants to talk about PC games, so we'll have that be fun
287220	290760	So it'll be cool. All right. That's it. We're done. We're out of here
290760	311080	bye, bye
320760	323760	I don't care if you don't know why
323760	325760	The clear sky is blue
325760	329760	But I want you to know why
329760	332760	I don't want my cheeks
332760	334760	Or feet
334760	336760	Darling, darling
336760	338760	Come here, my baby
338760	339760	Can't you see?
339760	341760	Can't you see?
341760	342760	Darling, darling
342760	344760	Don't you remember?
344760	345760	Look at that
345760	347760	You can't remember
347760	348760	Darling, darling
348760	350760	But I'll take your profile
350760	352760	Look at me
352760	355760	Please look at me
372760	377760	All Games Radio is currently switching between our station and our live feed
377760	379760	Which may take several moments
379760	407760	Please stay tuned
