start	end	text
0	3000	Orange Lounge Radio
7000	13000	We the hosts, Dark Sakura, Sky and Loco.
13000	16000	Orange Lounge Radio
27000	30000	Orange Lounge Radio
31000	34000	Is that Sim Topless? What is the deal over there?
34000	36000	Do you have naked sims on your computer?
36000	38000	No, he's not naked, he's just wearing shorts.
38000	40000	Oh hi, we're live. Hi, we're live.
40000	43000	Actually, we're not live, we're taped tonight.
43000	45000	It's a little special edition of Orange Lounge Radio.
45000	47000	This is the voice from the past!
47000	50000	That's right, scary ghost of Christmas past.
50000	52000	No, we're pre-taping tonight.
52000	56000	Obviously, if you've been following OLR, we're out this week.
56000	59000	As you guys are hearing this live on All Games Radio,
59000	65000	I am far, far away in a strange, mystical land that they call LA.
65000	67000	Or LA.
67000	68000	Dork.
68000	71000	So yes, we're having a little bit of a pre-taped show tonight.
71000	74000	So let me introduce ourselves if you've never heard Orange Lounge Radio before.
74000	76000	I'm very sorry this had to be your first episode,
76000	79000	but regardless, my name is Rob Roberts,
79000	81000	and joining me is always say hello to the one and only,
81000	83000	Dark Sakura, Jamie Summers.
83000	87000	Not here tonight, who plays with naked sims, just so you know.
87000	89000	I'm not playing with naked sims.
89000	92000	Not here tonight is the one and only tech master, Loki.
92000	95000	We're taping not live on a Tuesday night,
95000	98000	and Loki just isn't here.
98000	100000	He didn't show up.
100000	103000	And to be fair, I didn't call him tonight.
103000	106000	I was going to say, shouldn't you have called?
106000	108000	Well, probably I should have,
108000	111000	but here's the thing is that then we'd have to wait 30 minutes for him to show up,
111000	114000	and I'm just like, I want to get the hell out of here and get some dinner tonight.
114000	116000	He missed the boat.
116000	117000	I want dinner.
117000	119000	Should we call Matt and see where he's at?
119000	120000	Nah.
120000	122000	No? Let him have his peace?
122000	124000	He could be being intimate with the wife right now.
124000	125000	That's true. I don't know.
125000	129000	So Loki, I guess, just forgot that we were going to pre-tape a show Tuesday night.
129000	131000	Technically, we're just taping.
131000	132000	He's missed.
132000	134000	Our aim is always improving, though.
134000	136000	How do you pre-tape?
136000	137000	Silly little...
137000	139000	That's what they call it. That's industry speak for...
139000	141000	Silly little prefixes.
141000	145000	Now, I think we were going to do a best of tonight or something.
145000	147000	I think we're going to roll that over until later,
147000	151000	because one of our listeners slash staff members,
151000	154000	in other words, he listened so long we decided to just make him a staff member,
154000	160000	Dar Tetsuya, is like putting something together out of some really old episodes.
160000	162000	And, of course, this wouldn't be...
162000	166000	It just wouldn't be OLR if the music I didn't intend to play started playing.
166000	170000	There we go.
170000	174000	How does that happen, even when we're not live?
174000	176000	I had two songs queued up tonight.
176000	181000	The open and the Twitter topic song, which we'll get into a little later.
181000	183000	I fail.
183000	185000	Isn't it nice to know that even when we're not live,
185000	187000	we can still have technical difficulties?
187000	188000	Amazing.
188000	189000	It wouldn't be us if we didn't.
189000	190000	That's right.
