start	end	text
19707	20427	Okay, guys.
21888	22468	Shut up.
24468	26129	I didn't intend for that to happen, I swear.
26229	26469	All right.
26589	27909	That was a couple of shit.
28069	28370	Shut up.
28810	29130	All right.
29190	30550	That was too good.
30570	31070	All right.
31090	35212	We got to save part B. In order to do that, I have to stop the recording for a minute and play some music.
35232	37292	So we'll be right back in two minutes with the afterbirth.
37792	39613	And yes, right, Dan, there's even more show to go.
40173	40553	Sweet.
40673	40873	All right.
40893	41553	We'll be right back, guys.
41573	42414	It's the sticky part.
42554	42694	Ew.
42714	44394	Ew.
47652	49573	My thoughts exactly We'll be right back
181598	183500	Hi, we're back with the Orange Launch Radio Afterbirth.
183520	188303	This is the part of the show that's too hot to podcast, and I really apologize that we don't have a webcam anymore.
188323	188884	Way too hot.
189064	190845	You guys missed it during the break there.
191486	192947	Dan was doing the lasso.
194608	196390	Mystique was trying to white people dance.
198030	199611	I was white people dancing.
201031	201952	And it was pretty scary.
201972	203932	You were trying to... I did the sprinkler.
203952	204272	It was fun.
204292	206733	You were trying to glow stick rave without glow sticks.
206773	206953	Yes.
207273	208114	And with the lights on.
208134	209534	That was a very rave-y song.
209774	210654	It was fun.
211034	213095	And meanwhile, I'm over here sitting... I don't know these people.
213115	213775	I don't know these people.
213935	214435	All these people.
214475	215716	Somebody's confused!
215956	217476	You were kind of wagging your finger a little bit.
217516	220377	She was over there trying to get more viruses off her computer.
221078	221438	Dan!
223638	224619	Where's my treble? !
226630	227871	In the closet with Rob.
229312	231293	Rob is not in the closet.
231333	233775	So I ain't in the closet.
234095	234555	True that.
235496	235856	All right.
236036	238678	Usually we would do the cage match right about now.
238998	241019	But we don't have a cage match right now because Loki ain't here.
242400	243641	They wouldn't let me pick a song.
244061	244381	No, we will.
244902	246323	And they banned my idea of a song.
246563	248404	I would have been afraid of what Dan would pick for a song.
248924	250645	But we will do some FUs.
250665	251886	Did we get sufficient chat remains?
251926	252307	Six.
252747	253487	I thought you said four.
253687	254528	Well, I've been nice.
255008	256029	I like even numbers, Rob.
257506	258307	You're never nice.
258627	260009	Play the music!
261210	262272	She's trying to confuse people.
270441	275608	The first one is... Mike's out.
276008	276429	F you to the mic.
279425	294897	Heihachi Suendoshi, who's also Alpha Kananagram, F you to Hatsune Miku Project Diva 2nd for not including the song Far Away by KZ, my favorite song from Diva 1, yet including the level, stage, elements, and edit mode.
295358	296639	Maybe it's a special unlock.
297119	298740	Dan, have you ever played Project Diva?
299541	301322	I have no idea what you're talking about.
301362	303284	It's a Hatsune Miku.
303304	304865	It can't be the game I'd play if I still had PSP.
304885	305946	That makes me want to kill you.
308925	311306	Ranma, F you to my friend's husband.
311346	315749	Be thankful I didn't slap you out at Otakon last weekend.
316089	317310	You ungrateful piece of trash.
317570	318770	Yeah, fuck that guy.
318930	322813	You should get on the knees and worship that woman because she does a lot more than you think.
323193	326475	And also stop blowing your paycheck on frivolous shit and take care of your kids.
326895	328015	Dude, seriously.
330417	336200	DJ Blaze Kid, F you to Westroads Mall Arcade for fixing everything else but in the groove.
337753	338934	Twigak.
338954	339955	Can't fix a broken game.
342237	342757	I'm terrible.
343157	345519	F you to my computer for being the slowest piece of crap ever.
345619	349102	I will smash you to the ground if you don't shape up Twigak's computer.
349542	350623	Thanks for scaring my computer.
350643	352504	Yeah, fuck that computer.
353946	354486	Jodea.
354506	359270	F you to you for demanding F you to you, you demanding wench, you heart.
360050	361391	Yeah, fuck that wench.
363293	363793	You know what?
365919	368920	Patty, that was amazingly hot.
370400	371620	I can't stop thinking about you now.
372741	374181	I have no idea what happened.
375841	378722	Last one, Emei Satsuma, F you for getting jury duty.
379142	382903	At least I was able to request a postponement because of school is coming up.
383543	387484	Dan just got a look on his face like, oh, I think I got jury duty this week.
389773	390534	Jury duty.
391014	392315	Fuck it right in the ear.
392335	393215	You do have jury duty?
393235	395497	Fuck it with something hard and sandpaper.
396697	397598	You do have jury duty?
397618	398278	I don't know.
399279	400540	You might want to find out.
400580	402481	You kind of like have to go.
402982	406063	Or you call them and tell them you have severe diarrhea and you can't do it.
406164	408065	I have to call in.
408985	410286	Tell them that you've died of dysentery.
410326	413628	Tell them you were in the fucking hospital last week and they'll probably do it.
413648	414429	No, it wasn't last week.
414469	415349	I think it's this week.
415630	415750	Oh.
416590	417491	Like starting tomorrow.
417911	418191	Shit.
418231	418872	So you better call in.
419622	426245	Thanks to my wife for telling me what I already knew.
426265	426845	Fuck her!
427185	428406	I thought that was kind of the point.
428666	429806	That's what got you in trouble.
432687	434728	I like mustard on my french fries.
437389	441811	What the hell is happening to this program?
441871	442691	It imploded.
443131	444732	You know what the show needs more of?
446413	446953	Structure.
448874	453478	I swear to God, if she put on that Vuvuzela thing, I was going to throw her phone in the toilet.
453778	454259	Me too.
454359	454639	What?
455240	456201	Nothing.
456221	457362	Why did I forget my ferret?
457982	459323	What are you talking about, the Vuvuzela?
459744	462226	I have fucking no idea what you're talking about.
462266	462907	Don't do it.
463387	464168	I'll unplug your mic.
465729	467931	She's doing it here.
468251	469372	What are you grabbing me for?
471341	478947	For your information, Dan, for your information, Dan, four square, bitch.
479147	482270	Well, I forgot to check in because I want to become the mayor of the house.
482450	483931	You're never going to be the mayor of the house, Rob.
484011	484552	I check in every day.
484572	486013	Yes, I'm the mayor of Walgreens.
487514	491317	We went right by the Walgreens near my house, and I said, I should check in here.
491677	492738	Rob is the mayor.
492858	495581	Rob lives nowhere near the damn Walgreens by my house.
495941	497622	Yeah, Rob is the mayor of Walgreens.
498843	499444	Don't feel bad.
499464	500745	How does this happen?
500945	501405	Don't feel bad.
501425	503207	I'm the mayor of the Walgreens across from my work.
503547	504388	And naturally my work.
504608	507570	I'm the mayor of a Chinese restaurant over by my house.
508231	509272	Aren't you the mayor of Cowschwitz?
509992	512694	I got dethroned as the mayor of Cowschwitz, which pissed me off.
512775	513215	Actually, no.
513535	517739	Melody was the mayor of Cowschwitz, and I was the mayor of Near the Stinky Cows on I-5.
517759	518960	That's right.
519020	519700	That's right.
520941	521341	And let's see.
521362	522062	What else am I the mayor of?
522082	523023	I'm the mayor of one other place.
523578	524418	and I can't remember what it is.
524439	524839	Walgreens.
525219	525919	No, it's not Walgreens.
526099	528641	I'm the mayor of Walgreens, the Chinese restaurant and one other place.
528681	529141	I can't remember.
529161	530342	Another Walgreens.
531182	533364	Hold on.
533464	535965	Rob, you should create a place that calls the chair in Jamie's house.
537446	538567	The chair at Jamie's house.
539447	540608	I will let you be the mayor of the chair.
541488	542669	Practically in the closet.
543449	545451	In the closet at Jamie's house.
548089	548669	That's right, Ranma.
548689	550070	The fabulous OLR Studios.
550110	553252	Ranma in our chatroom says, Rob is the fabulous mayor of Walgreens.
553292	554393	Fabulous.
556794	558315	Am I really that gay, you guys?
558415	558855	Come on.
559656	561577	You are wearing a shirt with a hot dog on it.
561617	562838	No, no, no.
563358	565499	It's not just a shirt with a hot dog on it.
565659	566900	It has a rainbow, too.
567440	567841	It does.
568061	568421	It does.
569222	572423	You should take a picture of my shirt, but I just don't want my fat old gut to be out there.
572704	574285	It just needs glitter to make it complete.
574325	574545	Hold on.
574585	575565	I'm trying to see where I'm the mayor.
575585	576446	I'm the mayor of three places.
577236	578137	Jack in the Box!
578437	580999	You're the mayor of Jack in the Box.
581239	585122	A week ago, Jack in the Box sent out the most amazing coupon sheet.
585182	586764	It had all sorts of cool freebies on it.
588865	590527	Rob totally made the Pee Wee Herman face.
592408	592689	Let's see.
592769	593549	Oh, I'm checking in.
593589	593910	Hold on.
593950	594530	Places.
597192	598313	I gotta be careful how I do this.
598333	599434	I don't want to tell the listeners where you live.
599454	600735	This is so too hot for the podcast.
600815	601336	I know, right?
601376	602657	This is amazing radio right now.
604778	606260	As Rob plays with his iPhone.
606320	606700	Live!
607256	607916	On the air.
608436	609717	Jamie is the mayor.
609877	610277	Let's see.
610317	611017	Check in here.
611037	611878	Fuck yes, I'm the mayor.
611898	612398	You're the mayor of where?
612718	613218	This house.
614979	615319	Really?
615339	616539	Yes.
616679	617640	That's just pathetic.
618440	619560	At least on Foursquare.
619580	629524	I just had to check to make sure my zipper was up when she took... All Games Radio is switching between its live and on-demand feed.
629804	631005	This may take several moments.
631365	631805	Visit all...
660649	669855	What happened?
679662	680142	Be back.
685146	685426	Alright.
685606	685926	Alright.
687958	688839	Mad Libs Mad Libs
720268	721228	Pretty good timing, though.
721248	722889	The claw.
723029	723929	It is our master.
725110	726830	It decides who will go and who will stay.
726850	729912	You can ask us anything you want.
730372	730992	Within reason.
731732	732753	Ask Orange Lounge.
732893	733253	Type.
733693	734353	Message.
734653	737774	You can ask anything unreasonable, but we may not answer it.
737915	739615	That's right.
740075	741316	Ask what color Misty's undies are.
741456	743237	I'm going to tell her.
743297	744177	I'm going to have to speak.
744197	745537	Because she'll tell you.
746838	747138	All right.
748556	749437	She's checking.
754020	755101	I just looked over.
758364	759805	Panties were hanging out.
762027	763468	It was all for you, Rob.
763488	764929	Jamie's taking pictures.
767776	768096	What?
768256	769557	I can't even turn around.
770617	771377	Rob, Rob, Rob.
771437	773778	Dan gets on the show, all hell breaks loose.
774359	775339	I'm making shit happen.
775379	777580	I've got girls taking their pants off.
777620	778260	It's crazy.
779100	780741	It's crazy around here.
780941	781521	Dan, dude.
781541	782782	Rob, it's fine.
782862	784682	It's misty.
785623	788664	It's misty and misty being on the same time.
790085	791245	Do not put that on the internet.
