start	end	text
0	19320	Today, September 5th, 2010, the 360 is set to get a new controller.
19320	23720	News from PAX includes the return of a long forgotten game franchise, and could comic
23720	32280	books be coming to the PS3?
32280	36960	Hello everybody out there on the internet, and welcome to another week of Orange Lounge
36960	37960	Radio.
37960	43880	We are that show where every gamer has a voice, and joining you over the next several, many,
43880	45160	long hours.
45160	49240	My name is Rob Roberts, sometimes going by Skye in our chatroom and so forth.
49240	52840	Joining me as always, say hello to the one and only Dark Sakura, Jamie Summers.
52840	53840	Hi.
53840	54840	How are you?
54840	56440	I'm on podcast number two for the day.
56440	58040	I know, yes.
58040	61480	You're having quite the podcasting day, but we'll get to that in a minute.
61480	65200	But we also have to introduce the one and only tech master, Loki.
65200	66200	Hello.
66200	67200	How are you?
67200	68200	I'm good.
68200	70200	I made an observation this morning, I was trying to confirm.
70200	71960	What is that?
71960	76300	I don't know if anybody remembers the guy, Reginald Vell-Johnson.
76300	77300	You may remember him.
77300	78300	Was he the dad on Family Matters?
78300	79560	He was the dad on Family Matters.
79560	80560	Oh!
80560	83080	Dude, I'm a pop culture sponge!
83080	88120	Anyways, I was watching Ghostbusters today because they were playing it on Comedy Central,
88120	89120	and he was a cop in that.
89120	93760	I'm like, how many fucking movies and shows has he been a damn police officer in?
93760	97320	Because he's always a goddamn police officer in everything.
97320	98880	Quite a few, actually.
98880	103320	Die Hard 1, Die Hard 2, and Ghostbusters, as well as Family Matters.
103320	107720	And of course I'd have to go through the rest of these to figure out which ones of these
107720	111000	he's actually a police officer, but it just has his name on there.
111000	112000	But it's just weird.
112000	113000	Orange Round Studio.
113000	114000	Talk about...
114000	115000	I know, what has he done lately?
115000	118360	Can we get him on the show, maybe, to do some voiceovers?
118360	121440	He was also in Die Hard Vendetta, the video game, as his character.
121440	122440	Oh, hey!
122440	123440	Oh, bringing it back to games.
123440	124440	There you go.
124440	125440	Love it.
125440	126440	Alright.
126440	127440	Over the next many hours, we are going to be talking about video games.
127440	131880	Look, it is a, if you haven't heard, it's a special episode today, tonight, and so forth.
131880	135700	We decided that, and I don't know why we decided this, it was really just one of those kind
