start	end	text
0	14000	And welcome back, everybody, to the Orange Lounge Radio Marathon. That's right, we're doing a marathon podcast this week, basically just because we can.
14000	21000	We're gonna podcast as long as we possibly can here on this Saturday, September the 5th of 2010. It won't be anything that impressive, you guys.
21000	26000	We're thinking about going about for 12 hours or so, just, you know, talking about video games and reminiscing about old games and all that good stuff.
26000	34000	So, we just finished the normal show, so if this is the first thing that you're hearing on the podcast feed, you're gonna wanna go back.
34000	41000	The actual show show was put up earlier this week, so just, you know, double check your podcast feed to make sure you kinda have everything.
41000	50000	At the very end of the show, we had some problems with our chat room. Our internet went down right in the middle of everything and we ended up getting booted from our server.
50000	57000	And all this stuff, it was terrible, but we think we've got that all worked out. Thank you to Alan, who is, like, a bigger nerd than me.
57000	63000	I never thought I would be able to say that, but yes, he's a bigger nerd than me. He knew how to set this whole thing up.
63000	65000	What are we doing right now, Alan? How are we getting an IRC?
65000	73000	My roommate has a domain name that he uses for a little Linux box that we run out of our spare bedroom. It's a little mail server.
73000	80000	So we're SSH'd into that box and we're running IRC from there. So we're just shelled into my computer at home.
80000	81000	Alright.
81000	83000	I got a little OCD with the mic cord.
83000	94000	Okay, well, we'll fix it later, but we're gonna go into the vault. Jamie and Arkadia42 are on their way into the vault and gonna take over for a little bit here, talking about old stuff.
94000	96000	Dark Soccer, everybody.
96000	98000	Dark Soccer, tell us a little bit about the vault.
98000	105000	It's a room in the back of my house. A room in the back of my house that has all of our game crap in it.
105000	111000	And I totally meant to grab my iPhone so that I could actually, you know, take pictures and put them up on the website.
111000	117000	I could try doing the Ustream thing real fast. I don't know how well this is gonna work, but I'll try it.
117000	119000	Alright.
119000	124000	You know, actually, Alan, you could read chat for a little bit. Oh, you wanna be cameraman? I'll do cameraman for a minute here.
124000	128000	This is all live radio, folks.
128000	132000	So, everyone has to come in here and pick one thing.
132000	135000	Alright, we'll come in here in a minute.
135000	138000	I'm gonna see if I can do this broadcasting. Okay, let's see.
138000	142000	Well, since we're already in here, Bradley, why don't you pick something?
142000	145000	Dark Soccer, I'm gonna bring in the camera, okay?
145000	147000	I'm gonna bring in the camera, is that okay?
147000	149000	Okay, just so long as it's not me on it.
149000	151000	I'll try my best. Just dodge my phone.
151000	152000	Then I better put my phone back in here.
152000	153000	Alright.
153000	155000	I had Bradley pick something.
155000	156000	Yeah, yeah.
156000	161000	Alright, we're live, and I don't even know where we're at.
161000	167000	We're at Ustream slash Orange Lounge, I think, is where we're broadcasting at.
167000	170000	So, I'm gonna go make my way into the vault.
170000	173000	I'll give my mic to Alan while I walk over there.
173000	180000	Right now, we have Bradley going through the Saturn section of my house, which is pretty much our domestic Saturn stuff.
180000	182000	Yeah, at the moment.
182000	186000	The dusty little things here.
186000	188000	It always takes me a while to decide on these things.
188000	192000	Let's look here.
192000	194000	Which voices?
194000	199000	Well, is it like candy?
199000	200000	What was that?
200000	201000	Is it like candy?
201000	203000	Yeah.
203000	206000	Let's see.
206000	208000	I saw one up here.
208000	215000	Blazing Dragons. That was a fun game, because it's like a puzzle game where you control the dragon and...
215000	216000	Let's go ahead and pull it out.
216000	217000	Oh, where'd it go?
217000	218000	Put it on the camera.
218000	220000	Oh, there's some top, I think.
