start	end	text
6451	9013	Welcome back, everybody, to Orange Lounge Radio.
9053	14578	We are live on September the 5th of 2010, a Sunday here with our Orange Lounge Radio Marathon.
15058	18201	We are almost, what, about seven hours in at this point now?
19762	24266	We started at about 2.05, and it's now 8.50 on the West Coast here where we tape.
24906	32733	You can listen live, of course, at All Games Radio, www.allgames.com, and I imagine that's what most of you are doing, because the podcast, you'd have to be way, way, way into that now to get to this point.
33253	33393	So...
34734	39917	Anyhow, we were going to do some news here, and I was going to open the Skype line again here in just a moment, so we'll have that again open.
40537	42818	If you want to give us a call at 1-877-GAME-OLR.
42938	43779	Not just yet.
43859	44900	I'm going to open it here in a moment.
45840	56225	But we had another question, I guess, come in on Ask Orange Lounge or something that slipped through the cracks, and I thought it was a pretty good question, so I apologize to bother Alan mid-chew there, but do you remember what that question was all about?
56506	57326	The extra question we got?
57806	62849	Which game or system did you pass up on when it came out that you never bought that you now regret?
63922	67144	I thought there was also a question, what system do you regret buying, too?
68044	69625	Okay, well, let's do both.
70265	77348	What system do you regret buying, and what thing do you wish you hadn't passed up, I guess that would be?
78989	79049	Um...
80646	82888	Saga Dreamcast Saga Dreamcast Saga Dreamcast
103584	105505	So that would probably be my answer.
106205	107185	I did get one when they were like $40.
107365	108906	Remember when they cut the price down to like $40?
109006	112267	Or at least GameStop was just trying to unload them or something.
112847	116408	Because at that point you could do all the NES emulators on the Dreamcast and all that stuff.
116448	117789	It was really cool.
118229	120470	So that's when I finally got on the Dreamcast bandwagon.
120490	121950	But it was a little bit too late.
123491	125531	And keep in mind, guys, the Skype line is not open yet.
125571	126872	So if you're calling in, hold off.
127192	128992	We'll get to the calls a little later here in the program.
129793	129953	Alan?
133896	143399	I actually was able to buy an original edition of Panzer Dragoon Saga for the Saturn, which came out well after the Saturn was dead.
145279	151421	I bought it, took the bus after school to go to the mall, dropped the 70 or 80 bucks for it.
153027	179319	I ended up selling it for a killing on eBay like two years later I never touched it so I bought it never played it and Panzer Dragoon Saga is one of the greatest RPGs especially for the Saturn and I sold it on eBay for like 200 something bucks and I needed the money but it's like why did I do that like I had I just walked into the store and bought it I never touched it you could play ours if you want
180559	192767	The N64 I got for Ocarina of Time because at that age I was very elitist and snobby about CD-ROM versus card and how Nintendo was making the wrong decision.
194568	200212	I bought an N64 just for Ocarina of Time and I never really played any other game aside from that.
200252	202314	I bought a bunch of games for the N64 and never touched them.
203014	204795	So that was probably a waste of money.
205416	205556	Okay.
208294	210936	Now you're talking the games you regret buying, right?
211276	212437	Yeah, those are my two for that.
212577	218282	Do you have any for the one that I had answered about the system or game you regret not buying?
220684	226248	I really wish I could have checked out the TurboGrafx, but that was a bit out of my league at the time.
226690	229031	My friend had one, and at the time, I thought it was kind of stupid.
229271	229911	I gotta be honest.
230091	231652	The games I played on it were not that great.
232452	238695	We played Splatterhouse, which was kind of cool, in the fact that it was Splatterhouse, and it was kind of like a horror movie type game.
238735	241396	But otherwise, I didn't find the games on it to be that great.
242656	246638	And to this day, I gotta admit, I know DarkSakura's got a lot of love for it.
246678	247698	Maybe it's because she's out of the room.
247738	248698	I'll dare to say this.
249118	250939	I still kind of think the whole thing was kind of overrated.
251119	253080	It wasn't that great of a system, I don't think.
253308	261572	Well, it was the only system that got the original Street Fighter, and it also got, you know, Castlevania X, the lost Castlevania game until recently.
261980	265383	And that's cool, but, you know, how many of us actually played that?
265543	267805	I mean, sure, Jamie did, but she's, you know, cray-cray.
268226	268486	Yeah.
268506	268906	In a good way.
269106	274111	Aside from that, all the systems that were even a little bit relevant, I had at one point, I did get a Genesis.
274251	279055	I got it years after everyone else, but I got it before the PlayStation 1 came out.
281037	284240	The 32X and the Sega CD were all considered failures, so...
285905	288267	You know, don't really have much regrets there.
289108	291169	I have the original Lunar on a ROM.
291209	292230	I can play it on my computer.
294452	305020	For me, the system that I regret buying, like not, don't, or regret not buying, but the system I regret buying that I kind of wish I hadn't was a second DS.
306281	311065	I had a DS Fat and then the original DS and then I bought a DS Lite and I don't think I really needed that Lite.
311085	312046	You don't handheld game at all.
