start	end	text
0	10000	Alright, welcome back everybody to Rob Roberts and Cals here on the Orange Moms Radio feed.
10000	11480	It's our E3 wrap up show.
11480	15960	The final day, yes sadly E3 2010 is all done.
15960	18720	And today we're not coming to you from a hotel room.
18720	22920	Actually right now we are in the parking lot of In-N-Out Burger where I've taken the one
22920	27520	and only Bobby Blackwolf to his first In-N-Out experience.
27520	30360	And Bobby, hyped.
30360	31360	Too much, not enough.
31360	33260	What did you think of In-N-Out?
33260	36920	It was a burger.
36920	42080	It's better than Wendy's and McDonald's and stuff but I'm, you know, being from the east
42080	44560	coast I'm partial to five guys myself.
44560	47800	I was expecting him to go, mmm that is a tasty burger.
47800	50200	He did a little bit, he did have a little bit of that I gotta say.
50200	54640	Alright, there's your Orange Lounge Foodio for those of you guys that have had your withdrawals
54640	55640	during the week.
55640	59880	We will be back of course Sunday to do the E3 wrap up with Dark Sakura and Loki.
59880	64840	That'll all be Sunday night at All Games Radio, 6 o'clock Pacific, 9 o'clock Eastern.
64840	69300	But I really do urge you to tune in to the Bobby Blackwolf show who's right beforehand
69300	71780	at 5 Pacific, 8 o'clock Eastern.
71780	74720	I don't know if that gets picked up on the mic but there was literally a plane flying
74720	75720	over us just now.
75720	79720	We're right by the airport to take Bobby over to the airport.
79720	82440	We'll give you a quick little preview though of what's coming up on Bobby's show because
82440	87200	we wanted to start the recording today before Bobby had to get on a plane and go and kind
87200	89640	of ask Bobby, you know, what did you think of your final day?
89640	94400	What kind of stuff did you see and what were your impressions on some of the games, Bobby?
94400	97400	Okay, so Rock Band 3.
97400	99360	That blew me away.
99360	100360	All the stuff that they added.
100360	101480	I didn't realize how much they added.
101480	106300	I know you guys covered it already so I'm not really going to add to it right now but
106300	110160	I will say one of the things I was able to, I played the keyboard and I played pro mode
110160	114820	on medium, which basically means that they add, you have two notes at a time.
114820	119080	So two note chords and everything and one thing that they don't tell a lot of people
119080	125360	and one thing that you don't realize is that they actually do have bumps on the keys to
125360	131640	denote where the color changes so you don't have to look at the keyboard when they shift
131640	134360	because you can actually feel where the colors are.
134360	138200	So I thought that was, that's like one little tiny thing, they don't really mention it,
138200	142280	they don't say it but that adds a lot.
142280	147920	So there was that and I also did an interview and it's going to be on E3coverage.com and
147920	153800	I actually stumped the guy about the MIDI port because the Guitar Hero drum set has
153800	161320	a MIDI input, kind of like what they're saying but it's not going to work for the pro mode.
